;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.0;0.004;0.0;0.005;0.005;0.004;0.004;0.0;0.0;0.004;0.004;0.0;0.0;0.0
ENST00000311089_90_90;0.0;1.0;0.405;0.74;0.0;0.748;0.51;0.426;0.0;0.828;0.4;0.322;0.0;0.745;0.0
ENST00000553645_90_90;0.004;0.405;1.0;0.3;0.353;0.542;0.795;0.728;0.275;0.337;0.718;0.741;0.317;0.341;0.262
ENST00000554113_90_90;0.0;0.74;0.3;1.0;0.0;0.553;0.377;0.412;0.0;0.877;0.377;0.301;0.0;0.551;0.0
ENST00000554159_90_90;0.005;0.0;0.353;0.0;1.0;0.109;0.275;0.297;0.393;0.0;0.276;0.265;0.28;0.0;0.407
ENST00000554339_90_90;0.005;0.748;0.542;0.553;0.109;1.0;0.671;0.588;0.022;0.621;0.555;0.447;0.0;0.582;0.0
ENST00000554871_90_90;0.004;0.51;0.795;0.377;0.275;0.671;1.0;0.916;0.347;0.424;0.736;0.601;0.175;0.409;0.1
ENST00000555631_90_90;0.004;0.426;0.728;0.412;0.297;0.588;0.916;1.0;0.378;0.463;0.782;0.631;0.184;0.347;0.105
ENST00000555919_90_90;0.0;0.0;0.275;0.0;0.393;0.022;0.347;0.378;1.0;0.0;0.251;0.203;0.319;0.0;0.193
ENST00000559993_90_90;0.0;0.828;0.337;0.877;0.0;0.621;0.424;0.463;0.0;1.0;0.424;0.338;0.0;0.64;0.0
ENSMUST00000046340_90_90;0.004;0.4;0.718;0.377;0.276;0.555;0.736;0.782;0.251;0.424;1.0;0.795;0.239;0.321;0.102
ENSMUST00000123491_90_90;0.004;0.322;0.741;0.301;0.265;0.447;0.601;0.631;0.203;0.338;0.795;1.0;0.429;0.262;0.293
ENSMUST00000136159_90_90;0.0;0.0;0.317;0.0;0.28;0.0;0.175;0.184;0.319;0.0;0.239;0.429;1.0;0.0;0.513
ENSMUST00000140812_90_90;0.0;0.745;0.341;0.551;0.0;0.582;0.409;0.347;0.0;0.64;0.321;0.262;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.0;0.0;0.262;0.0;0.407;0.0;0.1;0.105;0.193;0.0;0.102;0.293;0.513;0.0;1.0
