;ENSBTAT00000007622_98;ENSBTAT00000075748_98;ENSBTAT00000018554_98;ENSCAFT00000002468_98;ENSCAFT00000048312_98;ENSCAFT00000079929_98;ENSCAFT00000020246_98;ENSCAFT00000049661_98;ENSCAFT00000079467_98;ENSCAFT00000083645_98;ENSCAFT00020019293_98;ENSCAFT00020036390_98;ENSCAFT00020036397_98;ENSCAFT00020036970_98;ENST00000347159_98;ENST00000376588_98;ENST00000307503_98;ENSGALT00000024496_98;ENSGALT00000033625_98;ENSMUST00000025542_98;ENSMUST00000162053_98;ENSMUST00000162416_98;ENSMUST00000027491_98
ENSBTAT00000007622_98;1.0;0.891;0.821;0.79;0.873;0.811;0.921;0.645;0.994;0.615;0.997;0.938;0.327;0.953;0.769;0.848;0.904;0.847;0.967;0.861;0.849;0.413;0.994
ENSBTAT00000075748_98;0.891;1.0;0.726;0.692;0.774;0.714;0.843;0.578;0.925;0.549;0.952;0.835;0.366;0.918;0.672;0.751;0.807;0.75;0.891;0.763;0.752;0.312;0.924
ENSBTAT00000018554_98;0.821;0.726;1.0;0.865;0.952;0.925;0.857;0.731;0.777;0.708;0.998;1.0;0.301;0.887;0.885;0.975;0.889;0.99;0.858;0.865;0.922;0.384;0.885
ENSCAFT00000002468_98;0.79;0.692;0.865;1.0;0.908;0.77;0.821;0.749;0.766;0.74;0.66;0.901;0.208;0.795;1.0;0.908;0.79;0.908;0.783;0.847;0.904;0.46;0.829
ENSCAFT00000048312_98;0.873;0.774;0.952;0.908;1.0;0.853;0.905;0.836;0.842;0.826;0.974;0.994;0.301;0.897;0.908;1.0;0.881;1.0;0.862;0.939;0.998;0.416;0.914
ENSCAFT00000079929_98;0.811;0.714;0.925;0.77;0.853;1.0;0.885;0.765;0.782;0.756;1.0;0.942;0.318;0.91;0.821;0.908;0.885;0.927;0.822;0.857;0.88;0.412;0.871
ENSCAFT00000020246_98;0.921;0.843;0.857;0.821;0.905;0.885;1.0;0.686;0.782;0.794;0.997;0.999;0.332;0.999;0.783;0.861;0.863;0.852;0.911;0.853;0.853;0.389;0.93
ENSCAFT00000049661_98;0.645;0.578;0.731;0.749;0.836;0.765;0.686;1.0;0.456;0.841;0.823;0.862;0.233;0.637;0.696;0.774;0.566;0.764;0.496;0.764;0.766;0.439;0.651
ENSCAFT00000079467_98;0.994;0.925;0.777;0.766;0.842;0.782;0.782;0.456;1.0;0.412;0.997;0.958;0.332;0.886;0.737;0.807;0.873;0.798;0.974;0.798;0.8;0.367;1.0
ENSCAFT00000083645_98;0.615;0.549;0.708;0.74;0.826;0.756;0.794;0.841;0.412;1.0;0.823;0.862;0.233;0.707;0.677;0.752;0.541;0.732;0.474;0.733;0.735;0.419;0.619
ENSCAFT00020019293_98;0.997;0.952;0.998;0.66;0.974;1.0;0.997;0.823;0.997;0.823;1.0;1.0;0.873;0.998;0.678;0.998;0.997;0.998;0.998;0.998;0.998;0.061;0.997
ENSCAFT00020036390_98;0.938;0.835;1.0;0.901;0.994;0.942;0.999;0.862;0.958;0.862;1.0;1.0;0.294;1.0;0.907;1.0;0.978;1.0;1.0;0.956;0.998;0.416;0.987
ENSCAFT00020036397_98;0.327;0.366;0.301;0.208;0.301;0.318;0.332;0.233;0.332;0.233;0.873;0.294;1.0;0.396;0.208;0.301;0.363;0.301;0.321;0.321;0.307;0.0;0.324
ENSCAFT00020036970_98;0.953;0.918;0.887;0.795;0.897;0.91;0.999;0.637;0.886;0.707;0.998;1.0;0.396;1.0;0.788;0.887;0.925;0.883;0.952;0.883;0.883;0.353;0.962
ENST00000347159_98;0.769;0.672;0.885;1.0;0.908;0.821;0.783;0.696;0.737;0.677;0.678;0.907;0.208;0.788;1.0;0.908;0.794;0.908;0.776;0.859;0.904;0.46;0.804
ENST00000376588_98;0.848;0.751;0.975;0.908;1.0;0.908;0.861;0.774;0.807;0.752;0.998;1.0;0.301;0.887;0.908;1.0;0.885;1.0;0.854;0.952;0.998;0.416;0.887
ENST00000307503_98;0.904;0.807;0.889;0.79;0.881;0.885;0.863;0.566;0.873;0.541;0.997;0.978;0.363;0.925;0.794;0.885;1.0;0.879;0.914;0.883;0.883;0.4;0.913
ENSGALT00000024496_98;0.847;0.75;0.99;0.908;1.0;0.927;0.852;0.764;0.798;0.732;0.998;1.0;0.301;0.883;0.908;1.0;0.879;1.0;0.847;0.952;0.998;0.416;0.885
ENSGALT00000033625_98;0.967;0.891;0.858;0.783;0.862;0.822;0.911;0.496;0.974;0.474;0.998;1.0;0.321;0.952;0.776;0.854;0.914;0.847;1.0;0.847;0.847;0.377;0.974
ENSMUST00000025542_98;0.861;0.763;0.865;0.847;0.939;0.857;0.853;0.764;0.798;0.733;0.998;0.956;0.321;0.883;0.859;0.952;0.883;0.952;0.847;1.0;0.905;0.41;0.887
ENSMUST00000162053_98;0.849;0.752;0.922;0.904;0.998;0.88;0.853;0.766;0.8;0.735;0.998;0.998;0.307;0.883;0.904;0.998;0.883;0.998;0.847;0.905;1.0;0.417;0.886
ENSMUST00000162416_98;0.413;0.312;0.384;0.46;0.416;0.412;0.389;0.439;0.367;0.419;0.061;0.416;0.0;0.353;0.46;0.416;0.4;0.416;0.377;0.41;0.417;1.0;0.408
ENSMUST00000027491_98;0.994;0.924;0.885;0.829;0.914;0.871;0.93;0.651;1.0;0.619;0.997;0.987;0.324;0.962;0.804;0.887;0.913;0.885;0.974;0.887;0.886;0.408;1.0
