;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;;0.227;0.688;0.042;0.02;0.821;0.195;0.452;0.797;0.105;0.47;0.086;0.766;0.701;0.669;0.669;0.778;0.195;0.649;0.669
ENST00000297447_90_90;0.227;;;;;;;;;;;;;0.257;0.216;0.216;0.214;0.873;0.176;0.216
ENST00000312046_90_90;0.688;;;;;;;;;;;;;0.636;0.656;0.656;0.61;0.186;0.64;0.656
ENST00000435082_90_90;0.042;;;;;;;;;;;;;0.033;0.034;0.034;0.027;0.082;0.045;0.034
ENST00000438229_90_90;0.02;;;;;;;;;;;;;0.0;0.0;0.0;0.021;0.0;0.04;0.0
ENST00000442977_90_90;0.821;;;;;;;;;;;;;0.657;0.625;0.625;0.786;0.177;0.593;0.625
ENST00000449762_90_90;0.195;;;;;;;;;;;;;0.216;0.226;0.226;0.18;1.0;0.182;0.226
ENST00000497705_90_90;0.452;;;;;;;;;;;;;0.4;0.413;0.413;0.395;0.0;0.421;0.413
ENST00000517566_90_90;0.797;;;;;;;;;;;;;0.68;0.647;0.647;0.761;0.185;0.61;0.647
ENST00000517686_90_90;0.105;;;;;;;;;;;;;0.072;0.075;0.075;0.108;0.0;0.13;0.075
ENST00000519415_90_90;0.47;;;;;;;;;;;;;0.478;0.496;0.496;0.411;0.186;0.418;0.496
ENST00000521592_90_90;0.086;;;;;;;;;;;;;0.103;0.107;0.107;0.088;0.359;0.09;0.107
ENST00000531443_90_90;0.766;;;;;;;;;;;;;0.647;0.668;0.668;0.73;0.192;0.627;0.668
ENSMUST00000022918_90_90;0.701;0.257;0.636;0.033;0.0;0.657;0.216;0.4;0.68;0.072;0.478;0.103;0.647;;;;;;;
ENSMUST00000090095_90_90;0.669;0.216;0.656;0.034;0.0;0.625;0.226;0.413;0.647;0.075;0.496;0.107;0.668;;;;;;;
ENSMUST00000090096_90_90;0.669;0.216;0.656;0.034;0.0;0.625;0.226;0.413;0.647;0.075;0.496;0.107;0.668;;;;;;;
ENSMUST00000110297_90_90;0.778;0.214;0.61;0.027;0.021;0.786;0.18;0.395;0.761;0.108;0.411;0.088;0.73;;;;;;;
ENSMUST00000166917_90_90;0.195;0.873;0.186;0.082;0.0;0.177;1.0;0.0;0.185;0.0;0.186;0.359;0.192;;;;;;;
ENSMUST00000170127_90_90;0.649;0.176;0.64;0.045;0.04;0.593;0.182;0.421;0.61;0.13;0.418;0.09;0.627;;;;;;;
ENSMUST00000179393_90_90;0.669;0.216;0.656;0.034;0.0;0.625;0.226;0.413;0.647;0.075;0.496;0.107;0.668;;;;;;;
