;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.943;0.587;0.939;0.807;0.385;0.971;0.807;0.972;0.807;0.972;0.605;0.285;0.08;0.12
ENST00000360194_90_90;0.943;1.0;0.587;0.942;0.79;0.385;0.949;0.79;0.897;0.739;0.897;0.618;0.253;0.083;0.124
ENST00000525338_90_90;0.587;0.587;1.0;0.59;0.678;0.455;0.56;0.678;0.535;0.65;0.535;0.58;0.319;0.147;0.125
ENST00000528985_90_90;0.939;0.942;0.59;1.0;0.742;0.387;0.898;0.742;0.893;0.734;0.893;0.621;0.254;0.083;0.125
ENST00000529731_90_90;0.807;0.79;0.678;0.742;1.0;0.311;0.842;1.0;0.79;0.943;0.79;0.431;0.37;0.09;0.142
ENST00000530043_90_90;0.385;0.385;0.455;0.387;0.311;1.0;0.368;0.311;0.343;0.284;0.343;0.563;0.225;0.222;0.0
ENST00000533050_90_90;0.971;0.949;0.56;0.898;0.842;0.368;1.0;0.842;0.949;0.79;0.949;0.592;0.306;0.076;0.117
ENST00000627851_90_90;0.807;0.79;0.678;0.742;1.0;0.311;0.842;1.0;0.79;0.943;0.79;0.431;0.37;0.09;0.142
ENSMUST00000059057_90_90;0.972;0.897;0.535;0.893;0.79;0.343;0.949;0.79;1.0;0.842;1.0;0.607;0.299;0.045;0.115
ENSMUST00000063782_90_90;0.807;0.739;0.65;0.734;0.943;0.284;0.79;0.943;0.842;1.0;0.842;0.449;0.362;0.054;0.139
ENSMUST00000121564_90_90;0.972;0.897;0.535;0.893;0.79;0.343;0.949;0.79;1.0;0.842;1.0;0.607;0.299;0.045;0.115
ENSMUST00000125087_90_90;0.605;0.618;0.58;0.621;0.431;0.563;0.592;0.431;0.607;0.449;0.607;1.0;0.291;0.075;0.0
ENSMUST00000133739_90_90;0.285;0.253;0.319;0.254;0.37;0.225;0.306;0.37;0.299;0.362;0.299;0.291;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.08;0.083;0.147;0.083;0.09;0.222;0.076;0.09;0.045;0.054;0.045;0.075;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.12;0.124;0.125;0.125;0.142;0.0;0.117;0.142;0.115;0.139;0.115;0.0;0.0;0.0;1.0
