;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.893;0.893;0.982;0.982;0.921;0.928;0.674;0.982;0.921;0.921;0.921;0.688;0.633;0.362;0.951;0.951
transcript2_ENSPCIG00000036398;1.0;1.0;0.893;0.893;0.982;0.982;0.921;0.928;0.674;0.982;0.921;0.921;0.921;0.688;0.633;0.362;0.951;0.951
transcript8_ENSHGLG00100003156;0.893;0.893;1.0;1.0;0.875;0.875;0.969;0.851;0.567;0.875;0.969;0.969;0.969;0.723;0.691;0.379;0.845;0.845
transcript8_ENSHGLG00000019563;0.893;0.893;1.0;1.0;0.875;0.875;0.969;0.851;0.567;0.875;0.969;0.969;0.969;0.723;0.691;0.379;0.845;0.845
transcript16_ENSHGLG00100003156;0.982;0.982;0.875;0.875;1.0;1.0;0.905;0.944;0.657;1.0;0.905;0.905;0.905;0.67;0.616;0.345;0.924;0.924
transcript16_ENSHGLG00000019563;0.982;0.982;0.875;0.875;1.0;1.0;0.905;0.944;0.657;1.0;0.905;0.905;0.905;0.67;0.616;0.345;0.924;0.924
transcript18_ENSHGLG00100003156;0.921;0.921;0.969;0.969;0.905;0.905;1.0;0.85;0.597;0.905;1.0;1.0;1.0;0.754;0.693;0.41;0.863;0.863
transcript21_ENSHGLG00100003156;0.928;0.928;0.851;0.851;0.944;0.944;0.85;1.0;0.603;0.944;0.85;0.85;0.85;0.616;0.652;0.29;0.955;0.955
transcript22_ENSHGLG00100003156;0.674;0.674;0.567;0.567;0.657;0.657;0.597;0.603;1.0;0.657;0.597;0.597;0.597;0.362;0.307;0.486;0.651;0.651
transcript23_ENSHGLG00100003156;0.982;0.982;0.875;0.875;1.0;1.0;0.905;0.944;0.657;1.0;0.905;0.905;0.905;0.67;0.616;0.345;0.924;0.924
transcript13_ENSHGLG00000019563;0.921;0.921;0.969;0.969;0.905;0.905;1.0;0.85;0.597;0.905;1.0;1.0;1.0;0.754;0.693;0.41;0.863;0.863
transcript19_ENSHGLG00000019563;0.921;0.921;0.969;0.969;0.905;0.905;1.0;0.85;0.597;0.905;1.0;1.0;1.0;0.754;0.693;0.41;0.863;0.863
transcript19_ENSPCIG00000036398;0.921;0.921;0.969;0.969;0.905;0.905;1.0;0.85;0.597;0.905;1.0;1.0;1.0;0.754;0.693;0.41;0.863;0.863
transcript26_ENSHGLG00000019563;0.688;0.688;0.723;0.723;0.67;0.67;0.754;0.616;0.362;0.67;0.754;0.754;0.754;1.0;0.921;0.497;0.657;0.657
transcript27_ENSHGLG00000019563;0.633;0.633;0.691;0.691;0.616;0.616;0.693;0.652;0.307;0.616;0.693;0.693;0.693;0.921;1.0;0.418;0.681;0.681
transcript28_ENSHGLG00000019563;0.362;0.362;0.379;0.379;0.345;0.345;0.41;0.29;0.486;0.345;0.41;0.41;0.41;0.497;0.418;1.0;0.355;0.355
transcript7_ENSHGLG00100006079;0.951;0.951;0.845;0.845;0.924;0.924;0.863;0.955;0.651;0.924;0.863;0.863;0.863;0.657;0.681;0.355;1.0;1.0
transcript14_ENSHGLG00100006079;0.951;0.951;0.845;0.845;0.924;0.924;0.863;0.955;0.651;0.924;0.863;0.863;0.863;0.657;0.681;0.355;1.0;1.0
