;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;0.721;0.259;0.259;0.204;0.116;0.713;0.712;0.681;0.705;0.329;0.289;0.309;0.289;0.424;0.424;0.334;0.438;0.278;0.265;0.283;0.283;0.278;0.275;0.275
transcript9_ENSXMAG00000026005;0.721;1.0;0.259;0.259;0.205;0.121;0.705;0.704;0.676;0.713;0.336;0.336;0.309;0.309;0.422;0.422;0.335;0.436;0.278;0.265;0.302;0.302;0.278;0.296;0.283
transcript14_ENSAPOG00000016134;0.259;0.259;1.0;1.0;0.669;0.669;0.185;0.185;0.185;0.185;0.772;0.772;0.837;0.837;0.611;0.611;0.775;0.591;0.931;0.918;0.857;0.857;0.931;0.876;0.917
transcript14_ENSAPOG00000023408;0.259;0.259;1.0;1.0;0.669;0.669;0.185;0.185;0.185;0.185;0.772;0.772;0.837;0.837;0.611;0.611;0.775;0.591;0.931;0.918;0.857;0.857;0.931;0.876;0.917
transcript21_ENSAPOG00000016134;0.204;0.205;0.669;0.669;1.0;0.718;0.11;0.11;0.104;0.112;0.848;0.632;0.799;0.695;0.653;0.653;0.864;0.626;0.718;0.685;0.697;0.697;0.719;0.659;0.709
transcript21_ENSPNYG00000024266;0.116;0.121;0.669;0.669;0.718;1.0;0.033;0.033;0.027;0.034;0.635;0.599;0.635;0.624;0.467;0.467;0.647;0.483;0.718;0.685;0.646;0.646;0.719;0.659;0.715
transcript7_ENSAPOG00000023408;0.713;0.705;0.185;0.185;0.11;0.033;1.0;0.997;0.948;0.987;0.239;0.239;0.22;0.221;0.302;0.302;0.238;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSAOCG00000015695;0.712;0.704;0.185;0.185;0.11;0.033;0.997;1.0;0.948;0.985;0.239;0.239;0.22;0.221;0.302;0.302;0.238;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSPNYG00000024266;0.681;0.676;0.185;0.185;0.104;0.027;0.948;0.948;1.0;0.941;0.239;0.239;0.213;0.221;0.292;0.292;0.231;0.302;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSXMAG00000026005;0.705;0.713;0.185;0.185;0.112;0.034;0.987;0.985;0.941;1.0;0.239;0.239;0.221;0.221;0.3;0.3;0.239;0.31;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript23_ENSAPOG00000023408;0.329;0.336;0.772;0.772;0.848;0.635;0.239;0.239;0.239;0.239;1.0;0.755;0.91;0.811;0.773;0.773;0.984;0.747;0.828;0.79;0.811;0.811;0.829;0.77;0.834
transcript23_ENSPNYG00000024266;0.289;0.336;0.772;0.772;0.632;0.599;0.239;0.239;0.239;0.239;0.755;1.0;0.752;0.875;0.566;0.566;0.751;0.56;0.828;0.789;0.899;0.899;0.828;0.881;0.829
transcript28_ENSAPOG00000023408;0.309;0.309;0.837;0.837;0.799;0.635;0.22;0.22;0.213;0.221;0.91;0.752;1.0;0.841;0.728;0.728;0.925;0.704;0.897;0.856;0.841;0.841;0.898;0.839;0.883
transcript28_ENSAOCG00000015695;0.289;0.309;0.837;0.837;0.695;0.624;0.221;0.221;0.221;0.221;0.811;0.875;0.841;1.0;0.639;0.639;0.814;0.617;0.898;0.856;0.976;0.976;0.897;0.838;0.891
transcript29_ENSAPOG00000023408;0.424;0.422;0.611;0.611;0.653;0.467;0.302;0.302;0.292;0.3;0.773;0.566;0.728;0.639;1.0;1.0;0.787;0.947;0.655;0.625;0.633;0.633;0.656;0.597;0.65
transcript29_ENSAOCG00000015695;0.424;0.422;0.611;0.611;0.653;0.467;0.302;0.302;0.292;0.3;0.773;0.566;0.728;0.639;1.0;1.0;0.787;0.947;0.655;0.625;0.633;0.633;0.656;0.597;0.65
