;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.698;0.726;0.365;0.145;0.091;0.091;0.262;0.133;0.109;0.349;0.036;0.185;0.254;0.196;0.78;0.717;0.864;0.831;0.78;0.717;0.864;0.817;0.767;0.073;0.109;0.466;0.13;0.603;0.182;0.298;0.164;0.055
ENST00000323180_90_90;0.698;1.0;0.927;0.545;0.17;0.093;0.113;0.434;0.264;0.111;0.527;0.057;0.167;0.217;0.245;0.705;0.729;0.787;0.754;0.705;0.729;0.787;0.831;0.78;0.094;0.132;0.424;0.132;0.484;0.208;0.217;0.189;0.075
ENST00000418153_90_90;0.726;0.927;1.0;0.545;0.17;0.093;0.113;0.434;0.264;0.111;0.527;0.057;0.189;0.217;0.245;0.733;0.7;0.817;0.783;0.733;0.7;0.817;0.77;0.721;0.094;0.132;0.424;0.111;0.533;0.185;0.217;0.189;0.075
ENST00000524497_90_90;0.365;0.545;0.545;1.0;0.281;0.0;0.188;0.719;0.438;0.0;0.969;0.094;0.0;0.333;0.406;0.407;0.421;0.443;0.458;0.407;0.421;0.443;0.45;0.448;0.156;0.219;0.615;0.083;0.203;0.0;0.405;0.312;0.125
ENST00000525438_90_90;0.145;0.17;0.17;0.281;1.0;0.0;0.667;0.391;0.045;0.0;0.29;0.333;0.0;0.45;0.692;0.176;0.184;0.161;0.167;0.176;0.184;0.161;0.164;0.173;0.556;0.778;0.212;0.0;0.0;0.0;0.45;0.9;0.444
ENST00000525676_90_90;0.091;0.093;0.093;0.0;0.0;1.0;0.0;0.0;0.0;0.444;0.0;0.0;0.455;0.0;0.0;0.096;0.1;0.088;0.091;0.096;0.1;0.088;0.089;0.094;0.0;0.0;0.0;0.0;0.125;0.133;0.0;0.0;0.0
ENST00000527782_90_90;0.091;0.113;0.113;0.188;0.667;0.0;1.0;0.261;0.0;0.0;0.194;0.5;0.0;0.3;0.462;0.118;0.122;0.107;0.111;0.118;0.122;0.107;0.109;0.115;0.833;0.857;0.121;0.0;0.0;0.0;0.3;0.6;0.667
ENST00000529734_90_90;0.262;0.434;0.434;0.719;0.391;0.0;0.261;1.0;0.609;0.0;0.742;0.13;0.0;0.433;0.565;0.37;0.385;0.339;0.351;0.37;0.385;0.339;0.345;0.364;0.217;0.304;0.5;0.0;0.148;0.0;0.433;0.435;0.174
ENST00000529782_90_90;0.133;0.264;0.264;0.438;0.045;0.0;0.0;0.609;1.0;0.0;0.452;0.0;0.0;0.172;0.227;0.204;0.212;0.186;0.193;0.204;0.212;0.186;0.19;0.2;0.0;0.0;0.324;0.0;0.152;0.0;0.172;0.091;0.0
ENST00000530587_90_90;0.109;0.111;0.111;0.0;0.0;0.444;0.0;0.0;0.0;1.0;0.0;0.0;0.417;0.0;0.0;0.115;0.12;0.105;0.109;0.115;0.12;0.105;0.107;0.113;0.0;0.0;0.0;0.0;0.15;0.286;0.0;0.0;0.0
ENST00000531959_90_90;0.349;0.527;0.527;0.969;0.29;0.0;0.194;0.742;0.452;0.0;1.0;0.097;0.0;0.342;0.419;0.414;0.429;0.426;0.441;0.414;0.429;0.426;0.433;0.431;0.161;0.226;0.59;0.056;0.207;0.0;0.417;0.323;0.129
ENST00000532010_90_90;0.036;0.057;0.057;0.094;0.333;0.0;0.5;0.13;0.0;0.0;0.097;1.0;0.0;0.15;0.231;0.059;0.061;0.054;0.056;0.059;0.061;0.054;0.055;0.058;0.6;0.429;0.03;0.0;0.0;0.0;0.15;0.3;0.75
ENST00000532028_90_90;0.185;0.167;0.189;0.0;0.0;0.455;0.0;0.0;0.0;0.417;0.0;0.0;1.0;0.0;0.0;0.173;0.157;0.158;0.164;0.173;0.157;0.158;0.14;0.148;0.0;0.0;0.0;0.0;0.225;0.167;0.0;0.0;0.0
