;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;1.0;0.965;1.0;0.966;1.0;0.07;1.0;1.0;0.963;0.964
ENST00000307972_90_90;1.0;1.0;0.968;1.0;0.928;0.96;0.064;1.0;0.956;0.963;0.918
ENST00000373057_90_90;0.965;0.968;1.0;0.968;0.895;0.927;0.065;0.963;0.918;1.0;0.881
ENST00000373060_90_90;1.0;1.0;0.968;1.0;0.928;0.96;0.064;1.0;0.956;0.963;0.918
ENST00000373063_90_90;0.966;0.928;0.895;0.928;1.0;0.966;0.068;0.918;0.961;0.881;1.0
ENST00000409208_90_90;1.0;0.96;0.927;0.96;0.966;1.0;0.066;0.956;1.0;0.918;0.961
ENST00000451305_90_90;0.07;0.064;0.065;0.064;0.068;0.066;1.0;0.071;0.075;0.074;0.078
ENSMUST00000097311_90_90;1.0;1.0;0.963;1.0;0.918;0.956;0.071;1.0;0.964;0.972;0.938
ENSMUST00000113262_90_90;1.0;0.956;0.918;0.956;0.961;1.0;0.075;0.964;1.0;0.938;0.972
ENSMUST00000113263_90_90;0.963;0.963;1.0;0.963;0.881;0.918;0.074;0.972;0.938;1.0;0.91
ENSMUST00000113265_90_90;0.964;0.918;0.881;0.918;1.0;0.961;0.078;0.938;0.972;0.91;1.0
