;transcript9_ENSAPOG00000016134;transcript14_ENSAPOG00000016134;transcript21_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript28_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005
transcript9_ENSAPOG00000016134;1.0;0.105;0.125;0.077;0.105;0.062;0.111;0.067;0.067;0.071;0.125;0.118;0.125;0.059;0.059;0.133;0.062;0.333;0.118;0.059;0.125;0.125;0.133;0.111;0.105
transcript14_ENSAPOG00000016134;0.105;1.0;0.842;0.632;1.0;0.789;0.947;0.737;0.737;0.684;0.842;0.895;0.842;0.842;0.842;0.789;0.789;0.111;0.944;0.889;0.889;0.889;0.833;0.947;1.0
transcript21_ENSAPOG00000016134;0.125;0.842;1.0;0.75;0.842;0.938;0.789;0.875;0.875;0.812;0.882;0.941;0.684;0.882;0.882;0.824;0.824;0.059;0.941;0.882;0.882;0.882;0.824;0.789;0.842
transcript7_ENSAPOG00000023408;0.077;0.632;0.75;1.0;0.632;0.8;0.667;0.733;0.857;0.667;0.75;0.706;0.474;0.75;0.75;0.588;0.688;0.077;0.706;0.647;0.647;0.647;0.588;0.579;0.632
transcript14_ENSAPOG00000023408;0.105;1.0;0.842;0.632;1.0;0.789;0.947;0.737;0.737;0.684;0.842;0.895;0.842;0.842;0.842;0.789;0.789;0.111;0.944;0.889;0.889;0.889;0.833;0.947;1.0
transcript23_ENSAPOG00000023408;0.062;0.789;0.938;0.8;0.789;1.0;0.737;0.933;0.933;0.867;0.824;0.882;0.632;0.938;0.938;0.765;0.875;0.062;0.882;0.824;0.824;0.824;0.765;0.737;0.789
transcript28_ENSAPOG00000023408;0.111;0.947;0.789;0.667;0.947;0.737;1.0;0.684;0.778;0.632;0.789;0.842;0.789;0.789;0.789;0.737;0.737;0.118;0.889;0.833;0.833;0.833;0.778;0.895;0.947
transcript29_ENSAPOG00000023408;0.067;0.737;0.875;0.733;0.737;0.933;0.684;1.0;0.867;0.929;0.765;0.824;0.579;0.875;0.875;0.706;0.812;0.067;0.824;0.765;0.765;0.765;0.706;0.684;0.737
transcript30_ENSAPOG00000023408;0.067;0.737;0.875;0.857;0.737;0.933;0.778;0.867;1.0;0.8;0.765;0.824;0.579;0.875;0.875;0.706;0.812;0.067;0.824;0.765;0.765;0.765;0.706;0.684;0.737
transcript31_ENSAPOG00000023408;0.071;0.684;0.812;0.667;0.684;0.867;0.632;0.929;0.8;1.0;0.706;0.765;0.526;0.812;0.812;0.75;0.75;0.071;0.765;0.706;0.706;0.706;0.647;0.632;0.684
transcript7_ENSAOCG00000015695;0.125;0.842;0.882;0.75;0.842;0.824;0.789;0.765;0.765;0.706;1.0;0.941;0.684;0.882;0.882;0.824;0.824;0.059;0.941;0.882;0.882;0.882;0.824;0.789;0.842
transcript17_ENSAOCG00000015695;0.118;0.895;0.941;0.706;0.895;0.882;0.842;0.824;0.824;0.765;0.941;1.0;0.737;0.941;0.941;0.882;0.882;0.056;1.0;0.941;0.941;0.941;0.882;0.842;0.895
transcript18_ENSAOCG00000015695;0.125;0.842;0.684;0.474;0.842;0.632;0.789;0.579;0.579;0.526;0.684;0.737;1.0;0.684;0.684;0.632;0.722;0.133;0.778;0.722;0.722;0.722;0.765;0.889;0.842
transcript26_ENSAOCG00000015695;0.059;0.842;0.882;0.75;0.842;0.938;0.789;0.875;0.875;0.812;0.882;0.941;0.684;1.0;1.0;0.824;0.938;0.059;0.941;0.882;0.882;0.882;0.824;0.789;0.842
transcript27_ENSAOCG00000015695;0.059;0.842;0.882;0.75;0.842;0.938;0.789;0.875;0.875;0.812;0.882;0.941;0.684;1.0;1.0;0.824;0.938;0.059;0.941;0.882;0.882;0.882;0.824;0.789;0.842
transcript28_ENSAOCG00000015695;0.133;0.789;0.824;0.588;0.789;0.765;0.737;0.706;0.706;0.75;0.824;0.882;0.632;0.824;0.824;1.0;0.765;0.062;0.882;0.824;0.824;0.824;0.765;0.737;0.789
