;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.55;0.534;0.591;0.524;0.26;0.523;0.524;0.526;0.508;0.514;0.774;0.774
transcript17_ENSMUGG00000013649;0.55;1.0;0.965;0.866;0.798;0.29;0.481;0.48;0.476;0.494;0.488;0.624;0.624
transcript17_ENSMUGG00000013592;0.534;0.965;1.0;0.894;0.769;0.286;0.47;0.469;0.465;0.482;0.477;0.603;0.603
transcript29_ENSMUGG00000013592;0.591;0.866;0.894;1.0;0.842;0.26;0.515;0.514;0.51;0.529;0.523;0.674;0.674
transcript8_ENSPEMG00000024651;0.524;0.798;0.769;0.842;1.0;0.246;0.453;0.452;0.448;0.465;0.459;0.606;0.606
transcript7_ENSNGAG00000018584;0.26;0.29;0.286;0.26;0.246;1.0;0.336;0.339;0.432;0.386;0.447;0.298;0.298
transcript8_ENSNGAG00000018584;0.523;0.481;0.47;0.515;0.453;0.336;1.0;0.997;0.865;0.821;0.835;0.691;0.691
transcript9_ENSNGAG00000018584;0.524;0.48;0.469;0.514;0.452;0.339;0.997;1.0;0.868;0.824;0.838;0.694;0.694
transcript10_ENSNGAG00000018584;0.526;0.476;0.465;0.51;0.448;0.432;0.865;0.868;1.0;0.953;0.968;0.69;0.69
transcript18_ENSNGAG00000018584;0.508;0.494;0.482;0.529;0.465;0.386;0.821;0.824;0.953;1.0;0.922;0.658;0.658
transcript19_ENSNGAG00000018584;0.514;0.488;0.477;0.523;0.459;0.447;0.835;0.838;0.968;0.922;1.0;0.668;0.668
transcript2_ENSSTOG00000019743;0.774;0.624;0.603;0.674;0.606;0.298;0.691;0.694;0.69;0.658;0.668;1.0;1.0
transcript15_ENSSTOG00000019743;0.774;0.624;0.603;0.674;0.606;0.298;0.691;0.694;0.69;0.658;0.668;1.0;1.0
