;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.936;0.936;0.447;0.17;0.106;0.106;0.319;0.128;0.128;0.426;0.043;0.213;0.255;0.234;0.87;0.826;0.978;0.935;0.87;0.826;0.978;0.957;0.891;0.087;0.13;0.457;0.152;0.63;0.239;0.283;0.196;0.065
ENST00000323180_90_90;0.936;1.0;0.9;0.469;0.167;0.102;0.104;0.333;0.146;0.122;0.449;0.042;0.184;0.22;0.229;0.796;0.851;0.898;0.857;0.796;0.851;0.898;0.979;0.915;0.087;0.13;0.447;0.152;0.571;0.283;0.25;0.196;0.065
ENST00000418153_90_90;0.936;0.9;1.0;0.479;0.17;0.104;0.106;0.34;0.149;0.125;0.458;0.043;0.213;0.224;0.234;0.851;0.792;0.957;0.915;0.851;0.792;0.957;0.878;0.816;0.089;0.133;0.457;0.13;0.652;0.234;0.255;0.2;0.067
ENST00000524497_90_90;0.447;0.469;0.479;1.0;0.333;0.0;0.208;0.667;0.292;0.0;0.958;0.083;0.0;0.423;0.458;0.413;0.422;0.458;0.478;0.413;0.422;0.458;0.458;0.457;0.174;0.261;0.8;0.111;0.2;0.0;0.542;0.391;0.13
ENST00000525438_90_90;0.17;0.167;0.17;0.333;1.0;0.0;0.625;0.5;0.071;0.0;0.348;0.25;0.0;0.615;0.727;0.19;0.195;0.17;0.178;0.19;0.195;0.17;0.17;0.182;0.5;0.75;0.304;0.0;0.0;0.0;0.571;0.889;0.375
ENST00000525676_90_90;0.106;0.102;0.104;0.0;0.0;1.0;0.0;0.0;0.0;0.444;0.0;0.0;0.455;0.0;0.0;0.119;0.122;0.106;0.111;0.119;0.122;0.106;0.106;0.114;0.0;0.0;0.0;0.0;0.161;0.125;0.0;0.0;0.0
ENST00000527782_90_90;0.106;0.104;0.106;0.208;0.625;0.0;1.0;0.312;0.0;0.0;0.217;0.4;0.0;0.385;0.455;0.119;0.122;0.106;0.111;0.119;0.122;0.106;0.106;0.114;0.8;0.833;0.174;0.0;0.0;0.0;0.357;0.556;0.6
ENST00000529734_90_90;0.319;0.333;0.34;0.667;0.5;0.0;0.312;1.0;0.438;0.0;0.696;0.125;0.0;0.611;0.688;0.357;0.366;0.319;0.333;0.357;0.366;0.319;0.319;0.341;0.267;0.4;0.609;0.0;0.122;0.0;0.706;0.6;0.2
ENST00000529782_90_90;0.128;0.146;0.149;0.292;0.071;0.0;0.0;0.438;1.0;0.0;0.304;0.0;0.0;0.25;0.286;0.143;0.146;0.128;0.133;0.143;0.146;0.128;0.128;0.136;0.0;0.0;0.273;0.0;0.088;0.0;0.333;0.154;0.0
ENST00000530587_90_90;0.128;0.122;0.125;0.0;0.0;0.444;0.0;0.0;0.0;1.0;0.0;0.0;0.417;0.0;0.0;0.143;0.146;0.128;0.133;0.143;0.146;0.128;0.128;0.136;0.0;0.0;0.0;0.0;0.194;0.267;0.0;0.0;0.0
ENST00000531959_90_90;0.426;0.449;0.458;0.958;0.348;0.0;0.217;0.696;0.304;0.0;1.0;0.087;0.0;0.44;0.478;0.422;0.432;0.438;0.457;0.422;0.432;0.438;0.438;0.435;0.182;0.273;0.76;0.074;0.205;0.0;0.565;0.409;0.136
ENST00000532010_90_90;0.043;0.042;0.043;0.083;0.25;0.0;0.4;0.125;0.0;0.0;0.087;1.0;0.0;0.154;0.182;0.048;0.049;0.043;0.044;0.048;0.049;0.043;0.043;0.045;0.5;0.333;0.043;0.0;0.0;0.0;0.143;0.222;0.667
ENST00000532028_90_90;0.213;0.184;0.213;0.0;0.0;0.455;0.0;0.0;0.0;0.417;0.0;0.0;1.0;0.0;0.0;0.214;0.19;0.191;0.2;0.214;0.19;0.191;0.167;0.178;0.0;0.0;0.0;0.0;0.29;0.158;0.0;0.0;0.0
ENST00000532883_90_90;0.255;0.22;0.224;0.423;0.615;0.0;0.385;0.611;0.25;0.0;0.44;0.154;0.0;1.0;0.846;0.286;0.293;0.255;0.267;0.286;0.293;0.255;0.255;0.273;0.333;0.5;0.478;0.0;0.049;0.0;0.857;0.75;0.25
ENST00000533757_90_90;0.234;0.229;0.234;0.458;0.727;0.0;0.455;0.688;0.286;0.0;0.478;0.182;0.0;0.846;1.0;0.262;0.268;0.234;0.244;0.262;0.268;0.234;0.234;0.25;0.364;0.545;0.435;0.0;0.024;0.0;0.786;0.818;0.273
ENSMUST00000044036_90_90;0.87;0.796;0.851;0.413;0.19;0.119;0.119;0.357;0.143;0.143;0.422;0.048;0.214;0.286;0.262;1.0;0.889;0.896;0.854;1.0;0.889;0.896;0.82;0.796;0.093;0.14;0.435;0.064;0.727;0.244;0.295;0.209;0.07
ENSMUST00000068702_90_90;0.826;0.851;0.792;0.422;0.195;0.122;0.122;0.366;0.146;0.146;0.432;0.049;0.19;0.293;0.268;0.889;1.0;0.8;0.76;0.889;1.0;0.8;0.875;0.851;0.095;0.143;0.444;0.043;0.667;0.31;0.302;0.214;0.071
ENSMUST00000090586_90_90;0.978;0.898;0.957;0.458;0.17;0.106;0.106;0.319;0.128;0.128;0.438;0.043;0.191;0.255;0.234;0.896;0.8;1.0;0.958;0.896;0.8;1.0;0.92;0.86;0.083;0.125;0.479;0.146;0.653;0.22;0.265;0.188;0.062
ENSMUST00000111290_90_90;0.935;0.857;0.915;0.478;0.178;0.111;0.111;0.333;0.133;0.133;0.457;0.044;0.2;0.267;0.244;0.854;0.76;0.958;1.0;0.854;0.76;0.958;0.88;0.896;0.087;0.13;0.5;0.152;0.612;0.18;0.277;0.196;0.065
ENSMUST00000111291_90_90;0.87;0.796;0.851;0.413;0.19;0.119;0.119;0.357;0.143;0.143;0.422;0.048;0.214;0.286;0.262;1.0;0.889;0.896;0.854;1.0;0.889;0.896;0.82;0.796;0.093;0.14;0.435;0.064;0.727;0.244;0.295;0.209;0.07
