;repository;id;newick;computing_time;reconciliation
0;1;1;"((((((transcript20_ppan,transcript12_ppan),transcript19_ppan),transcript12_ptro),((((transcript21_hsap,transcript12_hsap),transcript20_hsap),transcript19_hsap),transcript18_hsap)),(((((transcript19_ggor,transcript11_ggor),transcript18_ggor),transcript17_ggor),transcript16_ggor),transcript12_ggor)),transcript8_pabe);";0.011439800262451172;"((((((transcript20_ppan:1[&&NHX:evol=speciation],transcript12_ppan:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript19_ppan:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript12_ptro:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],((((transcript21_hsap:1[&&NHX:evol=speciation],transcript12_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript20_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript19_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript18_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(((((transcript19_ggor:1[&&NHX:evol=speciation],transcript11_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript18_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript17_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript12_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript8_pabe:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
1;2;2;"((transcript11_hsap,transcript11_ggor),(((transcript9_ptro,(transcript31_hsap,transcript13_hsap)),transcript12_ggor),(transcript18_pabe,transcript8_pabe)));";0.00574493408203125;"((transcript11_hsap:1[&&NHX:evol=speciation],transcript11_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(((transcript9_ptro:1[&&NHX:evol=speciation],(transcript31_hsap:1[&&NHX:evol=speciation],transcript13_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript12_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript18_pabe:1[&&NHX:evol=speciation],transcript8_pabe:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation]):1[&&NHX:evol=creation];"
2;3;3;"((((transcript0_ppan,transcript0_ptro),transcript0_hsap),transcript0_ggor),transcript0_pabe);";0.0032706260681152344;"((((transcript0_ppan:1[&&NHX:evol=speciation],transcript0_ptro:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript0_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript0_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript0_pabe:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
3;4;4;"(((((transcript15_ppan,transcript17_ptro),(transcript9_ppan,transcript9_ptro)),(transcript10_ppan,transcript10_ptro)),transcript10_hsap),((((transcript18_ggor,transcript9_ggor),transcript17_ggor),transcript14_ggor),transcript10_ggor));";0.0038466453552246094;"(((((transcript15_ppan:1[&&NHX:evol=speciation],transcript17_ptro:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript9_ppan:1[&&NHX:evol=speciation],transcript9_ptro:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript10_ppan:1[&&NHX:evol=speciation],transcript10_ptro:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript10_hsap:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],((((transcript18_ggor:1[&&NHX:evol=speciation],transcript9_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript17_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript14_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript10_ggor:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
4;5;5;"((((((transcript20_ENSHGLG00100003156,transcript25_ENSHGLG00000019563),(transcript10_ENSHGLG00100003156,((transcript27_ENSHGLG00000019563,transcript13_ENSHGLG00000019563),transcript26_ENSHGLG00000019563))),(transcript17_ENSHGLG00100003156,transcript17_ENSHGLG00000019563)),((((transcript22_ENSHGLG00100006079,transcript0_ENSHGLG00100006079),transcript21_ENSHGLG00100006079),transcript20_ENSHGLG00100006079),transcript13_ENSHGLG00100006079)),((transcript22_ENSMUNG00000002391,transcript0_ENSMUNG00000002391),transcript21_ENSMUNG00000002391)),((transcript0_ENSPNYG00000024266,(((((transcript20_ENSAPOG00000016134,transcript24_ENSAPOG00000023408),(transcript8_ENSAPOG00000016134,transcript7_ENSAPOG00000023408)),(transcript17_ENSAPOG00000016134,transcript23_ENSAPOG00000023408)),(transcript12_ENSAPOG00000016134,transcript22_ENSAPOG00000023408)),(transcript10_ENSAPOG00000016134,transcript12_ENSAPOG00000023408))),transcript0_ENSXMAG00000026005));";0.023860931396484375;"((((((transcript20_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript25_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript10_ENSHGLG00100003156:1[&&NHX:evol=speciation],((transcript27_ENSHGLG00000019563:1[&&NHX:evol=speciation],transcript13_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript17_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript17_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],((((transcript22_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript0_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript21_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript20_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript13_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],((transcript22_ENSMUNG00000002391:1[&&NHX:evol=speciation],transcript0_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript21_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],((transcript0_ENSPNYG00000024266:1[&&NHX:evol=speciation],(((((transcript20_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript24_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],(transcript8_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript7_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript17_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript23_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript12_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript22_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript10_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript12_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript0_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
5;6;6;"(((transcript7_ENSPCIG00000036398,transcript7_ENSXMAG00000026005),transcript8_ENSHGLG00100006079),(((transcript6_ENSPCIG00000036398,transcript2_ENSHGLG00100006079),((((transcript23_ENSMUNG00000007775,transcript7_ENSMUNG00000007775),transcript16_ENSMUNG00000007775),transcript16_ENSMUNG00000002377),transcript10_ENSMUNG00000002391)),(((transcript10_ENSXMAG00000026005,transcript2_ENSXMAG00000026005),transcript9_ENSXMAG00000026005),transcript8_ENSXMAG00000026005)));";0.007502079010009766;"(((transcript7_ENSPCIG00000036398:1[&&NHX:evol=speciation],transcript7_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript8_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(((transcript6_ENSPCIG00000036398:1[&&NHX:evol=speciation],transcript2_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],((((transcript23_ENSMUNG00000007775:1[&&NHX:evol=speciation],transcript7_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],transcript10_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=speciation],(((transcript10_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript2_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation]):1[&&NHX:evol=creation];"
6;7;7;"((((((transcript20_ENSHGLG00100003156,transcript11_ENSHGLG00000019563),(transcript8_ENSHGLG00100003156,((((transcript28_ENSHGLG00000019563,transcript8_ENSHGLG00000019563),transcript27_ENSHGLG00000019563),transcript26_ENSHGLG00000019563),transcript13_ENSHGLG00000019563))),(transcript10_ENSHGLG00100003156,transcript10_ENSHGLG00000019563)),(transcript10_ENSHGLG00100006079,transcript7_ENSHGLG00100006079)),((((transcript18_ENSPCIG00000036398,transcript3_ENSPCIG00000036398),transcript15_ENSPCIG00000036398),transcript8_ENSPCIG00000036398),transcript7_ENSPCIG00000036398)),((transcript3_ENSMUNG00000007775,((((transcript23_ENSMUNG00000002377,transcript8_ENSMUNG00000002377),transcript22_ENSMUNG00000002377),transcript16_ENSMUNG00000002377),transcript15_ENSMUNG00000002377)),(transcript10_ENSMUNG00000002391,transcript3_ENSMUNG00000002391)));";0.02319645881652832;"((((((transcript20_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript11_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript8_ENSHGLG00100003156:1[&&NHX:evol=speciation],((((transcript28_ENSHGLG00000019563:1[&&NHX:evol=speciation],transcript8_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript27_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript13_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript10_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript10_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript10_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript7_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],((((transcript18_ENSPCIG00000036398:1[&&NHX:evol=speciation],transcript3_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript15_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript7_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],((transcript3_ENSMUNG00000007775:1[&&NHX:evol=speciation],((((transcript23_ENSMUNG00000002377:1[&&NHX:evol=speciation],transcript8_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript22_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript15_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],(transcript10_ENSMUNG00000002391:1[&&NHX:evol=speciation],transcript3_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication]):1[&&NHX:evol=speciation];"
7;8;8;"((((((((((transcript38_ENSAPOG00000016134,transcript42_ENSAPOG00000023408),(transcript36_ENSAPOG00000016134,transcript40_ENSAPOG00000023408)),(transcript37_ENSAPOG00000016134,transcript41_ENSAPOG00000023408)),(transcript35_ENSAPOG00000016134,transcript32_ENSAPOG00000023408)),(transcript33_ENSAPOG00000016134,transcript30_ENSAPOG00000023408)),(transcript32_ENSAPOG00000016134,transcript27_ENSAPOG00000023408)),(transcript27_ENSAPOG00000016134,transcript8_ENSAPOG00000023408)),(transcript7_ENSAPOG00000016134,(transcript43_ENSAPOG00000023408,transcript7_ENSAPOG00000023408))),((((((transcript37_ENSAOCG00000015695,transcript38_ENSAOCG00000015695),transcript36_ENSAOCG00000015695),transcript26_ENSAOCG00000015695),transcript25_ENSAOCG00000015695),transcript8_ENSAOCG00000015695),transcript1_ENSAOCG00000015695)),transcript22_ENSPNYG00000024266);";0.04033017158508301;"((((((((((transcript38_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript42_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],(transcript36_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript40_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript37_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript41_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript35_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript32_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript33_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript30_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript32_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript27_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript27_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript8_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript7_ENSAPOG00000016134:1[&&NHX:evol=speciation],(transcript43_ENSAPOG00000023408:1[&&NHX:evol=speciation],transcript7_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],((((((transcript37_ENSAOCG00000015695:1[&&NHX:evol=speciation],transcript38_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript36_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript25_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript1_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript22_ENSPNYG00000024266:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
8;9;9;"((((((((((transcript33_ENSMUNG00000007775,transcript32_ENSMUNG00000007775),transcript31_ENSMUNG00000007775),transcript30_ENSMUNG00000007775),transcript26_ENSMUNG00000007775),transcript25_ENSMUNG00000007775),transcript23_ENSMUNG00000007775),transcript21_ENSMUNG00000007775),transcript9_ENSMUNG00000007775),(((((((transcript38_ENSMUNG00000002377,transcript36_ENSMUNG00000002377),transcript37_ENSMUNG00000002377),transcript35_ENSMUNG00000002377),transcript27_ENSMUNG00000002377),transcript23_ENSMUNG00000002377),transcript13_ENSMUNG00000002377),transcript9_ENSMUNG00000002377)),(((transcript33_ENSMUNG00000002391,transcript10_ENSMUNG00000002391),transcript30_ENSMUNG00000002391),transcript23_ENSMUNG00000002391));";0.027730464935302734;"((((((((((transcript33_ENSMUNG00000007775:1[&&NHX:evol=speciation],transcript32_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript31_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript30_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript25_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript23_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript21_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((((((transcript38_ENSMUNG00000002377:1[&&NHX:evol=speciation],transcript36_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript37_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript35_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript27_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript23_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript13_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],(((transcript33_ENSMUNG00000002391:1[&&NHX:evol=speciation],transcript10_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript30_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript23_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=duplication];"
9;10;10;"((((transcript30_ENSHGLG00100006079,transcript5_ENSHGLG00100006079),(((((transcript35_ENSHGLG00100003156,transcript36_ENSHGLG00100003156),transcript34_ENSHGLG00100003156),transcript33_ENSHGLG00100003156),transcript18_ENSHGLG00100003156),transcript5_ENSHGLG00100003156)),transcript5_ENSPCIG00000036398),(transcript7_ENSXMAG00000026005,transcript5_ENSXMAG00000026005));";0.008592605590820312;"((((transcript30_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript5_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((((transcript35_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript36_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript34_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript33_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript18_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript5_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],transcript5_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript7_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript5_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
