;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.937;0.9;0.999;0.9;0.999;0.999;0.091;0.999;0.961;0.999;0.961
ENSCAFT00000027252_90_90;0.937;1.0;0.837;0.936;0.837;0.936;0.936;0.097;0.936;0.897;0.936;0.897
ENST00000327028_90_90;0.9;0.837;1.0;0.901;1.0;0.901;0.855;0.102;0.901;0.866;0.904;0.866
ENST00000343765_90_90;0.999;0.936;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.961;1.0;0.961
ENST00000448935_90_90;0.9;0.837;1.0;0.901;1.0;0.901;0.855;0.102;0.901;0.866;0.904;0.866
ENST00000553888_90_90;0.999;0.936;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.961;1.0;0.961
ENST00000556412_90_90;0.999;0.936;0.855;0.95;0.855;0.95;1.0;0.087;0.95;0.921;0.958;0.921
ENST00000557466_90_90;0.091;0.097;0.102;0.092;0.102;0.092;0.087;1.0;0.092;0.096;0.092;0.096
ENST00000557658_90_90;0.999;0.936;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.961;1.0;0.961
ENSMUST00000021426_90_90;0.961;0.897;0.866;0.961;0.866;0.961;0.921;0.096;0.961;1.0;0.961;1.0
ENSMUST00000072744_90_90;0.999;0.936;0.904;1.0;0.904;1.0;0.958;0.092;1.0;0.961;1.0;0.961
ENSMUST00000179379_90_90;0.961;0.897;0.866;0.961;0.866;0.961;0.921;0.096;0.961;1.0;0.961;1.0
