;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.627;0.901;1.0;1.0;0.857;0.393;0.867;0.894;1.0;0.813;0.738
transcript15_ENSSTOG00000019743;1.0;1.0;0.627;0.901;1.0;1.0;0.857;0.393;0.867;0.894;1.0;0.813;0.738
transcript8_ENSNGAG00000018584;0.627;0.627;1.0;0.697;0.639;0.952;0.657;0.354;0.648;0.629;0.884;0.889;0.822
transcript9_ENSNGAG00000018584;0.901;0.901;0.697;1.0;0.909;0.954;0.885;0.389;0.897;0.925;0.891;0.761;0.693
transcript2_ENSMLUG00000027828;1.0;1.0;0.639;0.909;1.0;1.0;0.865;0.402;0.877;0.902;1.0;0.813;0.736
transcript8_ENSPEMG00000024651;1.0;1.0;0.952;0.954;1.0;1.0;0.901;0.409;0.901;0.901;1.0;0.998;0.916
transcript18_ENSNGAG00000018584;0.857;0.857;0.657;0.885;0.865;0.901;1.0;0.414;0.931;0.958;0.881;0.762;0.694
transcript7_ENSNGAG00000018584;0.393;0.393;0.354;0.389;0.402;0.409;0.414;1.0;0.456;0.442;0.465;0.398;0.43
transcript19_ENSNGAG00000018584;0.867;0.867;0.648;0.897;0.877;0.901;0.931;0.456;1.0;0.97;0.881;0.76;0.691
transcript10_ENSNGAG00000018584;0.894;0.894;0.629;0.925;0.902;0.901;0.958;0.442;0.97;1.0;0.881;0.752;0.682
transcript17_ENSMUGG00000013649;1.0;1.0;0.884;0.891;1.0;1.0;0.881;0.465;0.881;0.881;1.0;0.996;0.996
transcript29_ENSMUGG00000013592;0.813;0.813;0.889;0.761;0.813;0.998;0.762;0.398;0.76;0.752;0.996;1.0;0.921
transcript17_ENSMUGG00000013592;0.738;0.738;0.822;0.693;0.736;0.916;0.694;0.43;0.691;0.682;0.996;0.921;1.0
