;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;;;0.798;0.84;0.254;0.841;0.295;0.269;0.705;0.25;0.326;0.345;0.216;0.093;0.326;0.163;0.767;0.133;0.093;0.163;0.784;0.665;0.74;0.8;0.404;0.117;0.727;0.816;0.744
ENSCAFT00000044406_90_90;;;0.762;0.804;0.266;0.804;0.278;0.283;0.77;0.283;0.397;0.304;0.299;0.087;0.346;0.186;0.878;0.151;0.087;0.186;0.781;0.623;0.81;0.799;0.516;0.133;0.831;0.779;0.851
ENST00000356360_90_90;0.798;0.762;;;;;;;;;;;;;;;;;;;0.886;0.755;0.805;0.905;0.41;0.132;0.789;0.923;0.808
ENST00000393346_90_90;0.84;0.804;;;;;;;;;;;;;;;;;;;0.93;0.8;0.852;0.95;0.456;0.126;0.835;0.969;0.853
ENST00000525162_90_90;0.254;0.266;;;;;;;;;;;;;;;;;;;0.249;0.207;0.284;0.244;0.0;0.468;0.276;0.249;0.27
ENST00000526033_90_90;0.841;0.804;;;;;;;;;;;;;;;;;;;0.896;0.765;0.882;0.914;0.47;0.13;0.863;0.933;0.883
ENST00000526961_90_90;0.295;0.278;;;;;;;;;;;;;;;;;;;0.389;0.433;0.314;0.382;0.463;0.0;0.337;0.36;0.33
ENST00000528256_90_90;0.269;0.283;;;;;;;;;;;;;;;;;;;0.264;0.167;0.302;0.259;0.0;0.452;0.294;0.265;0.287
ENST00000528398_90_90;0.705;0.77;;;;;;;;;;;;;;;;;;;0.751;0.766;0.85;0.77;0.552;0.154;0.831;0.785;0.851
ENST00000529016_90_90;0.25;0.283;;;;;;;;;;;;;;;;;;;0.287;0.348;0.323;0.305;0.544;0.0;0.316;0.312;0.338
ENST00000529760_90_90;0.326;0.397;;;;;;;;;;;;;;;;;;;0.422;0.474;0.444;0.415;0.689;0.0;0.469;0.394;0.459
ENST00000530542_90_90;0.345;0.304;;;;;;;;;;;;;;;;;;;0.418;0.506;0.324;0.41;0.513;0.0;0.317;0.419;0.311
ENST00000530692_90_90;0.216;0.299;;;;;;;;;;;;;;;;;;;0.256;0.275;0.236;0.252;0.48;0.0;0.259;0.231;0.255
ENST00000531558_90_90;0.093;0.087;;;;;;;;;;;;;;;;;;;0.099;0.039;0.114;0.097;0.0;0.0;0.111;0.1;0.109
ENST00000531930_90_90;0.326;0.346;;;;;;;;;;;;;;;;;;;0.323;0.229;0.369;0.317;0.0;0.371;0.36;0.324;0.352
ENST00000532041_90_90;0.163;0.186;;;;;;;;;;;;;;;;;;;0.156;0.044;0.177;0.153;0.0;0.308;0.172;0.156;0.169
ENST00000532317_90_90;0.767;0.878;;;;;;;;;;;;;;;;;;;0.855;0.688;0.922;0.873;0.491;0.136;0.946;0.853;0.966
ENST00000532603_90_90;0.133;0.151;;;;;;;;;;;;;;;;;;;0.164;0.2;0.185;0.162;0.266;0.0;0.181;0.164;0.178
ENST00000534412_90_90;0.093;0.087;;;;;;;;;;;;;;;;;;;0.099;0.039;0.114;0.097;0.0;0.0;0.111;0.1;0.109
ENST00000630913_90_90;0.163;0.186;;;;;;;;;;;;;;;;;;;0.156;0.044;0.177;0.153;0.0;0.308;0.172;0.156;0.169
ENSMUST00000049537_90_90;0.784;0.781;0.886;0.93;0.249;0.896;0.389;0.264;0.751;0.287;0.422;0.418;0.256;0.099;0.323;0.156;0.855;0.164;0.099;0.156;;;;;;;;;
ENSMUST00000207084_90_90;0.665;0.623;0.755;0.8;0.207;0.765;0.433;0.167;0.766;0.348;0.474;0.506;0.275;0.039;0.229;0.044;0.688;0.2;0.039;0.044;;;;;;;;;
ENSMUST00000207225_90_90;0.74;0.81;0.805;0.852;0.284;0.882;0.314;0.302;0.85;0.323;0.444;0.324;0.236;0.114;0.369;0.177;0.922;0.185;0.114;0.177;;;;;;;;;
