;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.923;0.846;0.917;0.923;0.917;0.833;0.273;0.727;0.273;0.636;0.583;0.909;0.182
ENSCAFT00000005583_90_90;0.923;1.0;0.923;0.846;1.0;1.0;0.917;0.25;0.667;0.25;0.583;0.667;0.833;0.167
ENST00000272238_90_90;0.846;0.923;1.0;0.923;0.867;0.857;1.0;0.25;0.75;0.25;0.667;0.75;0.917;0.167
ENST00000381661_90_90;0.917;0.846;0.923;1.0;0.8;0.786;0.917;0.273;0.818;0.273;0.727;0.667;1.0;0.182
ENST00000635370_90_90;0.923;1.0;0.867;0.8;1.0;1.0;0.857;0.214;0.643;0.214;0.571;0.643;0.786;0.143
ENSMUST00000020884_90_90;0.917;1.0;0.857;0.786;1.0;1.0;0.867;0.267;0.625;0.267;0.6;0.6;0.8;0.188
ENSMUST00000095820_90_90;0.833;0.917;1.0;0.917;0.857;0.867;1.0;0.308;0.714;0.308;0.692;0.692;0.923;0.214
ENSMUST00000127185_90_90;0.273;0.25;0.25;0.273;0.214;0.267;0.308;1.0;0.364;0.6;0.444;0.083;0.333;0.333
ENSMUST00000140751_90_90;0.727;0.667;0.75;0.818;0.643;0.625;0.714;0.364;1.0;0.364;0.818;0.429;0.769;0.25
ENSMUST00000143131_90_90;0.273;0.25;0.25;0.273;0.214;0.267;0.308;0.6;0.364;1.0;0.444;0.0;0.333;0.6
ENSMUST00000153090_90_90;0.636;0.583;0.667;0.727;0.571;0.6;0.692;0.444;0.818;0.444;1.0;0.385;0.75;0.3
ENSMUST00000156727_90_90;0.583;0.667;0.75;0.667;0.643;0.6;0.692;0.083;0.429;0.0;0.385;1.0;0.615;0.0
ENSMUST00000221129_90_90;0.909;0.833;0.917;1.0;0.786;0.8;0.923;0.333;0.769;0.333;0.75;0.615;1.0;0.231
ENSMUST00000222103_90_90;0.182;0.167;0.167;0.182;0.143;0.188;0.214;0.333;0.25;0.6;0.3;0.0;0.231;1.0
