;transcript7_ENSMSIG00000000513;transcript50_ENSMSIG00000000513;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript59_MGP-SPRETEiJ-G0021131;transcript61_MGP-SPRETEiJ-G0021131;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript50_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript60_MGP-CAROLIEiJ-G0020234;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.938;0.95;0.917;0.9;0.936;0.78;0.802;0.802;0.802;0.795;0.754;0.788;0.779;0.728;0.729;0.784;0.747;0.705;0.745;0.811;0.811
transcript50_ENSMSIG00000000513;0.938;1.0;0.987;0.954;0.94;0.998;0.738;0.759;0.759;0.759;0.752;0.713;0.745;0.737;0.782;0.783;0.838;0.801;0.759;0.799;0.865;0.865
transcript55_ENSMSIG00000000513;0.95;0.987;1.0;0.967;0.952;0.985;0.746;0.767;0.767;0.767;0.76;0.722;0.753;0.745;0.771;0.772;0.827;0.79;0.748;0.788;0.854;0.854
transcript60_ENSMSIG00000000513;0.917;0.954;0.967;1.0;0.986;0.952;0.754;0.776;0.776;0.776;0.769;0.729;0.762;0.753;0.751;0.752;0.799;0.762;0.72;0.76;0.825;0.825
transcript64_ENSMSIG00000000513;0.9;0.94;0.952;0.986;1.0;0.937;0.734;0.757;0.757;0.757;0.75;0.708;0.742;0.733;0.733;0.732;0.781;0.743;0.752;0.741;0.809;0.809
transcript67_ENSMSIG00000000513;0.936;0.998;0.985;0.952;0.937;1.0;0.736;0.757;0.757;0.757;0.753;0.712;0.743;0.735;0.78;0.781;0.836;0.799;0.757;0.797;0.863;0.863
transcript7_MGP-SPRETEiJ-G0021131;0.78;0.738;0.746;0.754;0.734;0.736;1.0;0.976;0.976;0.976;0.969;0.926;0.961;0.999;0.834;0.836;0.839;0.803;0.761;0.8;0.87;0.87
transcript59_MGP-SPRETEiJ-G0021131;0.802;0.759;0.767;0.776;0.757;0.757;0.976;1.0;1.0;1.0;0.992;0.949;0.985;0.975;0.856;0.857;0.86;0.824;0.782;0.821;0.891;0.891
transcript61_MGP-SPRETEiJ-G0021131;0.802;0.759;0.767;0.776;0.757;0.757;0.976;1.0;1.0;1.0;0.992;0.949;0.985;0.975;0.856;0.857;0.86;0.824;0.782;0.821;0.891;0.891
transcript62_MGP-SPRETEiJ-G0021131;0.802;0.759;0.767;0.776;0.757;0.757;0.976;1.0;1.0;1.0;0.992;0.949;0.985;0.975;0.856;0.857;0.86;0.824;0.782;0.821;0.891;0.891
transcript69_MGP-SPRETEiJ-G0021131;0.795;0.752;0.76;0.769;0.75;0.753;0.969;0.992;0.992;0.992;1.0;0.941;0.977;0.967;0.849;0.85;0.853;0.817;0.775;0.815;0.884;0.884
transcript70_MGP-SPRETEiJ-G0021131;0.754;0.713;0.722;0.729;0.708;0.712;0.926;0.949;0.949;0.949;0.941;1.0;0.934;0.924;0.81;0.811;0.815;0.778;0.736;0.776;0.846;0.846
transcript71_MGP-SPRETEiJ-G0021131;0.788;0.745;0.753;0.762;0.742;0.743;0.961;0.985;0.985;0.985;0.977;0.934;1.0;0.96;0.842;0.843;0.868;0.831;0.789;0.829;0.878;0.878
transcript72_MGP-SPRETEiJ-G0021131;0.779;0.737;0.745;0.753;0.733;0.735;0.999;0.975;0.975;0.975;0.967;0.924;0.96;1.0;0.833;0.834;0.838;0.802;0.76;0.799;0.869;0.869
transcript7_ENSMUSG00000054036;0.728;0.782;0.771;0.751;0.733;0.78;0.834;0.856;0.856;0.856;0.849;0.81;0.842;0.833;1.0;0.999;0.885;0.91;0.869;0.908;0.916;0.916
transcript54_ENSMUSG00000054036;0.729;0.783;0.772;0.752;0.732;0.781;0.836;0.857;0.857;0.857;0.85;0.811;0.843;0.834;0.999;1.0;0.886;0.911;0.868;0.909;0.917;0.917
transcript50_MGP-CAROLIEiJ-G0020234;0.784;0.838;0.827;0.799;0.781;0.836;0.839;0.86;0.86;0.86;0.853;0.815;0.868;0.838;0.885;0.886;1.0;0.962;0.919;0.96;0.966;0.966
transcript59_MGP-CAROLIEiJ-G0020234;0.747;0.801;0.79;0.762;0.743;0.799;0.803;0.824;0.824;0.824;0.817;0.778;0.831;0.802;0.91;0.911;0.962;1.0;0.955;0.998;0.93;0.93
transcript60_MGP-CAROLIEiJ-G0020234;0.705;0.759;0.748;0.72;0.752;0.757;0.761;0.782;0.782;0.782;0.775;0.736;0.789;0.76;0.869;0.868;0.919;0.955;1.0;0.953;0.888;0.888
transcript61_MGP-CAROLIEiJ-G0020234;0.745;0.799;0.788;0.76;0.741;0.797;0.8;0.821;0.821;0.821;0.815;0.776;0.829;0.799;0.908;0.909;0.96;0.998;0.953;1.0;0.928;0.928
transcript50_MGP-PahariEiJ-G0020237;0.811;0.865;0.854;0.825;0.809;0.863;0.87;0.891;0.891;0.891;0.884;0.846;0.878;0.869;0.916;0.917;0.966;0.93;0.888;0.928;1.0;1.0
transcript57_MGP-PahariEiJ-G0020237;0.811;0.865;0.854;0.825;0.809;0.863;0.87;0.891;0.891;0.891;0.884;0.846;0.878;0.869;0.916;0.917;0.966;0.93;0.888;0.928;1.0;1.0
