;transcript6_ENSMPUG00000020072;transcript8_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript8_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.586;0.887;0.995;0.527;0.529;0.505;0.505;0.423;0.483;0.486;0.529;0.423;0.423;0.481;0.505
transcript8_ENSMPUG00000020072;0.586;1.0;0.5;0.581;0.313;0.311;0.301;0.301;0.266;0.271;0.274;0.311;0.266;0.266;0.268;0.301
transcript10_ENSMPUG00000020072;0.887;0.5;1.0;0.881;0.482;0.479;0.495;0.495;0.373;0.528;0.531;0.479;0.373;0.373;0.47;0.495
transcript13_ENSMPUG00000020072;0.995;0.581;0.881;1.0;0.524;0.526;0.503;0.503;0.425;0.48;0.483;0.526;0.425;0.425;0.479;0.503
transcript4_ENSECAG00000007947;0.527;0.313;0.482;0.524;1.0;0.997;0.959;0.959;0.689;0.888;0.891;0.997;0.689;0.689;0.874;0.959
transcript6_ENSECAG00000007947;0.529;0.311;0.479;0.526;0.997;1.0;0.956;0.956;0.687;0.885;0.888;1.0;0.687;0.687;0.872;0.956
transcript7_ENSECAG00000007947;0.505;0.301;0.495;0.503;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
transcript8_ENSECAG00000007947;0.505;0.301;0.495;0.503;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
transcript14_ENSECAG00000007947;0.423;0.266;0.373;0.425;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript15_ENSECAG00000007947;0.483;0.271;0.528;0.48;0.888;0.885;0.929;0.929;0.59;1.0;0.997;0.885;0.59;0.59;0.844;0.929
transcript16_ENSECAG00000007947;0.486;0.274;0.531;0.483;0.891;0.888;0.932;0.932;0.593;0.997;1.0;0.888;0.593;0.593;0.847;0.932
transcript17_ENSECAG00000007947;0.529;0.311;0.479;0.526;0.997;1.0;0.956;0.956;0.687;0.885;0.888;1.0;0.687;0.687;0.872;0.956
transcript18_ENSECAG00000007947;0.423;0.266;0.373;0.425;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript19_ENSECAG00000007947;0.423;0.266;0.373;0.425;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript20_ENSECAG00000007947;0.481;0.268;0.47;0.479;0.874;0.872;0.915;0.915;0.577;0.844;0.847;0.872;0.577;0.577;1.0;0.915
transcript21_ENSECAG00000007947;0.505;0.301;0.495;0.503;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
