;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.929;0.571;0.857;0.571;0.786;0.571;0.857;0.857;0.929;1.0;0.929;0.214
ENST00000320672_90_90;0.929;1.0;0.562;0.933;0.562;0.867;0.412;0.933;0.875;0.938;0.923;0.846;0.167
ENST00000504985_90_90;0.571;0.562;1.0;0.5;0.25;0.438;0.583;0.5;0.562;0.625;0.615;0.538;0.0
ENST00000505980_90_90;0.857;0.933;0.5;1.0;0.5;0.8;0.353;0.867;0.812;0.875;0.846;0.769;0.182
ENST00000509013_90_90;0.571;0.562;0.25;0.5;1.0;0.533;0.267;0.5;0.471;0.529;0.538;0.462;0.125
ENST00000509053_90_90;0.786;0.867;0.438;0.8;0.533;1.0;0.294;0.929;0.867;0.812;0.769;0.833;0.2
ENST00000512923_90_90;0.571;0.412;0.583;0.353;0.267;0.294;1.0;0.353;0.333;0.389;0.615;0.538;0.0
ENST00000514493_90_90;0.857;0.933;0.5;0.867;0.5;0.929;0.353;1.0;0.933;0.875;0.846;0.917;0.182
ENST00000515395_90_90;0.857;0.875;0.562;0.812;0.471;0.867;0.333;0.933;1.0;0.938;0.846;0.917;0.182
ENST00000615665_90_90;0.929;0.938;0.625;0.875;0.529;0.812;0.389;0.875;0.938;1.0;0.923;0.846;0.167
ENSMUST00000004094_90_90;1.0;0.923;0.615;0.846;0.538;0.769;0.615;0.846;0.846;0.923;1.0;0.933;0.188
ENSMUST00000042122_90_90;0.929;0.846;0.538;0.769;0.462;0.833;0.538;0.917;0.917;0.846;0.933;1.0;0.2
ENSMUST00000138488_90_90;0.214;0.167;0.0;0.182;0.125;0.2;0.0;0.182;0.182;0.167;0.188;0.2;1.0
