;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.997;0.17;1.0;0.412;0.392;0.848;0.383;0.997;1.0;0.889;0.376
ENST00000316856_90_90;0.997;1.0;0.167;0.997;0.414;0.392;0.846;0.383;1.0;0.997;0.886;0.382
ENST00000586375_90_90;0.17;0.167;1.0;0.17;0.099;0.012;0.2;0.0;0.167;0.17;0.191;0.201
ENST00000586534_90_90;1.0;0.997;0.17;1.0;0.413;0.391;0.848;0.382;0.997;1.0;0.889;0.385
ENST00000590881_90_90;0.412;0.414;0.099;0.413;1.0;0.0;0.301;0.0;0.414;0.413;0.343;0.64
ENST00000591499_90_90;0.392;0.392;0.012;0.391;0.0;1.0;0.461;0.977;0.392;0.391;0.44;0.0
ENST00000592268_90_90;0.848;0.846;0.2;0.848;0.301;0.461;1.0;0.45;0.846;0.848;0.848;0.233
ENST00000593114_90_90;0.383;0.383;0.0;0.382;0.0;0.977;0.45;1.0;0.383;0.382;0.43;0.0
ENSMUST00000003911_90_90;0.997;1.0;0.167;0.997;0.414;0.392;0.846;0.383;1.0;0.997;0.886;0.375
ENSMUST00000109761_90_90;1.0;0.997;0.17;1.0;0.413;0.391;0.848;0.382;0.997;1.0;0.889;0.377
ENSMUST00000128035_90_90;0.889;0.886;0.191;0.889;0.343;0.44;0.848;0.43;0.886;0.889;1.0;0.336
ENSMUST00000144675_90_90;0.376;0.382;0.201;0.385;0.64;0.0;0.233;0.0;0.375;0.377;0.336;1.0
