;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;0.67;0.789;0.679;0.679;0.657;0.725;0.676;0.725;0.49;0.857;0.857;0.857;0.781;0.65
transcript6_ENSMPUG00000020072;0.67;1.0;0.807;0.745;0.745;0.724;0.712;0.68;0.743;0.51;0.775;0.775;0.775;0.734;0.654
transcript25_ENSCPOG00000024843;0.789;0.807;1.0;0.816;0.816;0.781;0.754;0.711;0.86;0.57;0.921;0.921;0.921;0.851;0.702
transcript6_ENSECAG00000007947;0.679;0.745;0.816;1.0;1.0;0.957;0.925;0.871;0.736;0.505;0.768;0.768;0.768;0.727;0.68
transcript20_ENSECAG00000007947;0.679;0.745;0.816;1.0;1.0;0.957;0.925;0.871;0.736;0.505;0.768;0.768;0.768;0.727;0.68
transcript7_ENSECAG00000007947;0.657;0.724;0.781;0.957;0.957;1.0;0.882;0.828;0.764;0.467;0.732;0.732;0.732;0.691;0.641
transcript19_ENSECAG00000007947;0.725;0.712;0.754;0.925;0.925;0.882;1.0;0.942;0.688;0.452;0.819;0.819;0.819;0.777;0.729
transcript21_ENSECAG00000007947;0.676;0.68;0.711;0.871;0.871;0.828;0.942;1.0;0.657;0.475;0.771;0.771;0.771;0.816;0.713
transcript7_ENSMLUG00000027828;0.725;0.743;0.86;0.736;0.736;0.764;0.688;0.657;1.0;0.598;0.829;0.829;0.829;0.806;0.648
transcript13_ENSMLUG00000027828;0.49;0.51;0.57;0.505;0.505;0.467;0.452;0.475;0.598;1.0;0.532;0.532;0.532;0.573;0.436
transcript15_ENSCGRG00015005362;0.857;0.775;0.921;0.768;0.768;0.732;0.819;0.771;0.829;0.532;1.0;1.0;1.0;0.924;0.762
transcript15_ENSCGRG00000018457;0.857;0.775;0.921;0.768;0.768;0.732;0.819;0.771;0.829;0.532;1.0;1.0;1.0;0.924;0.762
transcript15_ENSCGRG00001010245;0.857;0.775;0.921;0.768;0.768;0.732;0.819;0.771;0.829;0.532;1.0;1.0;1.0;0.924;0.762
transcript36_ENSCGRG00000018457;0.781;0.734;0.851;0.727;0.727;0.691;0.777;0.816;0.806;0.573;0.924;0.924;0.924;1.0;0.752
transcript15_ENSSTOG00000019743;0.65;0.654;0.702;0.68;0.68;0.641;0.729;0.713;0.648;0.436;0.762;0.762;0.762;0.752;1.0
