;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.9;0.6;0.8;0.1;0.2;0.4;0.2;0.8;1.0;0.9;0.9;0.5;0.1
ENST00000339582_90_90;0.9;1.0;0.636;0.818;0.1;0.182;0.5;0.083;0.818;0.9;0.727;0.727;0.4;0.111
ENST00000341617_90_90;0.6;0.636;1.0;0.636;0.125;0.0;0.625;0.1;0.636;0.6;0.6;0.6;0.571;0.167
ENST00000358373_90_90;0.8;0.818;0.636;1.0;0.1;0.083;0.5;0.083;1.0;0.727;0.9;0.9;0.4;0.111
ENST00000412160_90_90;0.1;0.1;0.125;0.1;1.0;0.0;0.2;0.0;0.1;0.1;0.1;0.1;0.2;1.0
ENST00000444921_90_90;0.2;0.182;0.0;0.083;0.0;1.0;0.0;0.0;0.083;0.2;0.091;0.091;0.0;0.0
ENST00000457830_90_90;0.4;0.5;0.625;0.5;0.2;0.0;1.0;0.143;0.5;0.4;0.4;0.4;0.8;0.25
ENST00000465844_90_90;0.2;0.083;0.1;0.083;0.0;0.0;0.143;1.0;0.083;0.2;0.2;0.2;0.4;0.0
ENST00000472701_90_90;0.8;0.818;0.636;1.0;0.1;0.083;0.5;0.083;1.0;0.727;0.9;0.9;0.4;0.111
ENSMUST00000090512_90_90;1.0;0.9;0.6;0.727;0.1;0.2;0.4;0.2;0.727;1.0;0.818;0.818;0.5;0.1
ENSMUST00000115323_90_90;0.9;0.727;0.6;0.9;0.1;0.091;0.4;0.2;0.9;0.818;1.0;1.0;0.5;0.1
ENSMUST00000115324_90_90;0.9;0.727;0.6;0.9;0.1;0.091;0.4;0.2;0.9;0.818;1.0;1.0;0.5;0.1
ENSMUST00000131897_90_90;0.5;0.4;0.571;0.4;0.2;0.0;0.8;0.4;0.4;0.5;0.5;0.5;1.0;0.2
ENSMUST00000132755_90_90;0.1;0.111;0.167;0.111;1.0;0.0;0.25;0.0;0.111;0.1;0.1;0.1;0.2;1.0
