;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.923;0.621;0.922;0.478;0.312;0.466;0.125;0.162;0.028;0.028;0.028;0.0;0.028;0.071;0.036;0.018;0.103;0.028;0.286;0.028;0.028;0.028;0.065;0.157;0.464;0.142;0.09;0.585;0.198;0.585;0.007;0.148;0.909;0.993;0.879;0.907;0.587;0.959;0.939;0.565;0.413;0.376;0.433;0.294;0.978;0.946;0.722;0.041;0.732;0.355;0.025;0.576;0.196;0.722;0.025;0.053;0.416;0.025;0.058;0.0;0.025;0.574;0.574;0.55;0.147;0.062;0.146;0.485;0.574;0.141;0.117
ENSCAFT00000045695_90_90;0.923;1.0;0.686;0.959;0.483;0.318;0.471;0.131;0.169;0.005;0.005;0.005;0.014;0.005;0.077;0.043;0.025;0.109;0.005;0.283;0.005;0.005;0.005;0.064;0.154;0.469;0.141;0.135;0.611;0.253;0.611;0.0;0.166;0.877;0.921;0.91;0.904;0.538;0.954;0.871;0.573;0.427;0.39;0.417;0.354;0.948;0.982;0.718;0.041;0.728;0.352;0.004;0.573;0.195;0.718;0.004;0.053;0.413;0.004;0.058;0.012;0.004;0.59;0.59;0.605;0.161;0.067;0.139;0.46;0.59;0.163;0.085
ENSCAFT00000013241_90_90;0.621;0.686;1.0;0.662;0.221;0.227;0.221;0.239;0.308;0.111;0.111;0.111;0.127;0.076;0.219;0.113;0.096;0.242;0.111;0.0;0.111;0.111;0.111;0.0;0.0;0.222;0.0;0.175;0.714;0.283;0.687;0.041;0.291;0.393;0.494;0.436;0.474;0.537;0.538;0.43;0.582;0.661;0.631;0.222;0.57;0.651;0.706;0.373;0.103;0.373;0.392;0.119;0.382;0.328;0.373;0.119;0.123;0.0;0.119;0.122;0.137;0.119;0.69;0.716;0.61;0.294;0.085;0.205;0.415;0.69;0.301;0.087
ENSCAFT00000019370_90_90;0.922;0.959;0.662;1.0;0.527;0.309;0.516;0.126;0.1;0.021;0.021;0.021;0.0;0.021;0.051;0.03;0.0;0.095;0.021;0.32;0.021;0.021;0.021;0.062;0.123;0.499;0.123;0.017;0.637;0.123;0.637;0.0;0.045;0.906;0.92;0.948;0.954;0.526;0.963;0.912;0.568;0.338;0.299;0.403;0.246;0.927;0.969;0.742;0.029;0.75;0.371;0.014;0.564;0.195;0.742;0.014;0.018;0.445;0.014;0.035;0.0;0.014;0.587;0.587;0.561;0.042;0.03;0.163;0.53;0.587;0.042;0.158
ENST00000253363_90_90;0.478;0.483;0.221;0.527;1.0;0.725;0.982;0.416;0.066;0.04;0.04;0.04;0.039;0.0;0.17;0.074;0.075;0.348;0.04;0.595;0.04;0.04;0.04;0.09;0.343;0.964;0.277;0.066;0.256;0.062;0.277;0.126;0.091;0.463;0.418;0.458;0.435;0.159;0.413;0.44;0.152;0.098;0.099;0.42;0.077;0.476;0.471;0.722;0.056;0.713;0.318;0.053;0.515;0.182;0.722;0.053;0.054;0.399;0.053;0.053;0.051;0.053;0.289;0.267;0.283;0.096;0.0;0.391;0.322;0.289;0.053;0.059
ENST00000338163_90_90;0.312;0.318;0.227;0.309;0.725;1.0;0.738;0.528;0.081;0.05;0.05;0.05;0.048;0.0;0.215;0.092;0.096;0.441;0.05;0.474;0.05;0.05;0.05;0.114;0.427;0.691;0.348;0.069;0.264;0.065;0.285;0.13;0.095;0.296;0.269;0.293;0.279;0.192;0.267;0.282;0.183;0.117;0.119;0.541;0.093;0.313;0.31;0.504;0.079;0.497;0.433;0.074;0.651;0.253;0.504;0.074;0.076;0.361;0.074;0.075;0.071;0.074;0.297;0.275;0.291;0.099;0.0;0.405;0.33;0.297;0.056;0.06
ENST00000361162_90_90;0.466;0.471;0.221;0.516;0.982;0.738;1.0;0.424;0.067;0.041;0.041;0.041;0.04;0.0;0.172;0.075;0.077;0.355;0.041;0.578;0.041;0.041;0.041;0.092;0.349;0.947;0.281;0.066;0.257;0.062;0.277;0.126;0.091;0.451;0.407;0.446;0.424;0.161;0.403;0.428;0.153;0.099;0.1;0.427;0.079;0.464;0.46;0.734;0.057;0.724;0.323;0.054;0.5;0.185;0.734;0.054;0.056;0.405;0.054;0.054;0.052;0.054;0.29;0.268;0.283;0.096;0.0;0.392;0.322;0.29;0.053;0.059
ENST00000374038_90_90;0.125;0.131;0.239;0.126;0.416;0.528;0.424;1.0;0.134;0.088;0.088;0.088;0.083;0.0;0.409;0.17;0.179;0.819;0.088;0.193;0.088;0.088;0.088;0.0;0.168;0.382;0.0;0.08;0.286;0.074;0.308;0.146;0.106;0.111;0.104;0.11;0.104;0.166;0.103;0.105;0.168;0.156;0.159;0.343;0.125;0.13;0.128;0.261;0.144;0.258;0.597;0.133;0.342;0.445;0.261;0.133;0.14;0.134;0.133;0.134;0.12;0.133;0.321;0.297;0.316;0.111;0.0;0.456;0.356;0.321;0.064;0.063
ENST00000397370_90_90;0.162;0.169;0.308;0.1;0.066;0.081;0.067;0.134;1.0;0.144;0.144;0.144;0.129;0.0;0.125;0.294;0.321;0.151;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.068;0.0;0.317;0.165;0.27;0.177;0.212;0.42;0.091;0.152;0.09;0.1;0.266;0.151;0.101;0.272;0.403;0.411;0.0;0.438;0.154;0.153;0.076;0.598;0.075;0.165;0.202;0.099;0.264;0.076;0.202;0.675;0.0;0.202;0.416;0.176;0.202;0.183;0.17;0.162;0.442;0.268;0.0;0.0;0.183;0.346;0.076
ENST00000403542_90_90;0.028;0.005;0.111;0.021;0.04;0.05;0.041;0.088;0.144;1.0;1.0;1.0;0.205;0.6;0.038;0.243;0.278;0.103;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.041;0.0;0.0;0.102;0.0;0.11;0.539;0.183;0.0;0.033;0.0;0.036;0.063;0.033;0.036;0.045;0.0;0.0;0.0;0.0;0.037;0.037;0.044;0.284;0.044;0.093;1.0;0.057;0.146;0.044;1.0;0.27;0.0;1.0;0.246;0.205;1.0;0.119;0.11;0.0;0.204;0.0;0.0;0.0;0.119;0.099;0.467
