;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.382;0.216;0.773;0.632;0.854;0.439;0.215;0.845;0.764;0.699;0.623
ENST00000261210_90_90;0.382;1.0;0.25;0.501;0.594;0.459;0.358;0.249;0.401;0.436;0.468;0.513
ENST00000266732_90_90;0.216;0.25;1.0;0.205;0.221;0.196;0.114;0.996;0.195;0.204;0.211;0.22
ENST00000343315_90_90;0.773;0.501;0.205;1.0;0.833;0.912;0.574;0.204;0.779;0.849;0.778;0.695
ENST00000393053_90_90;0.632;0.594;0.221;0.833;1.0;0.76;0.525;0.22;0.638;0.695;0.748;0.822
ENST00000556029_90_90;0.854;0.459;0.196;0.912;0.76;1.0;0.523;0.195;0.862;0.779;0.714;0.638
ENST00000556678_90_90;0.439;0.358;0.114;0.574;0.525;0.523;1.0;0.114;0.423;0.461;0.497;0.407
ENSMUST00000020123_90_90;0.215;0.249;0.996;0.204;0.22;0.195;0.114;1.0;0.196;0.204;0.212;0.221
ENSMUST00000072239_90_90;0.845;0.401;0.195;0.779;0.638;0.862;0.423;0.196;1.0;0.912;0.841;0.759
ENSMUST00000092219_90_90;0.764;0.436;0.204;0.849;0.695;0.779;0.461;0.204;0.912;1.0;0.922;0.833
ENSMUST00000099355_90_90;0.699;0.468;0.211;0.778;0.748;0.714;0.497;0.212;0.841;0.922;1.0;0.903
ENSMUST00000105293_90_90;0.623;0.513;0.22;0.695;0.822;0.638;0.407;0.221;0.759;0.833;0.903;1.0
