;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;1.0;0.267;0.931;0.944;0.875;0.842;0.158;0.0;0.17
ENST00000419482_90_90;1.0;1.0;0.249;0.931;0.944;0.875;0.842;0.158;0.0;0.17
ENST00000438570_90_90;0.267;0.249;1.0;0.268;0.21;0.227;0.108;0.557;0.0;0.0
ENST00000444564_90_90;0.931;0.931;0.268;1.0;0.875;0.937;0.774;0.173;0.0;0.186
ENSMUST00000074301_90_90;0.944;0.944;0.21;0.875;1.0;0.931;0.843;0.09;0.0;0.17
ENSMUST00000114186_90_90;0.875;0.875;0.227;0.937;0.931;1.0;0.78;0.096;0.0;0.186
ENSMUST00000114188_90_90;0.842;0.842;0.108;0.774;0.843;0.78;1.0;0.0;0.062;0.174
ENSMUST00000129630_90_90;0.158;0.158;0.557;0.173;0.09;0.096;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.062;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.17;0.17;0.0;0.186;0.17;0.186;0.174;0.0;0.0;1.0
