;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.654;0.6;0.646;0.666;0.639;0.571;0.917;0.919;0.956;0.654;0.946;0.956;0.864;0.905;0.856;0.654;0.864;0.8;0.886;0.886;0.627;0.825;0.876;0.81;0.836;0.823;0.669;0.805;0.819;0.819;0.819;0.805;0.903;0.745;0.819
transcript37_ENSMUGG00000013649;0.654;1.0;0.927;0.99;0.952;0.981;0.887;0.716;0.718;0.683;1.0;0.672;0.683;0.669;0.639;0.661;1.0;0.669;0.642;0.689;0.689;0.962;0.628;0.679;0.61;0.644;0.626;0.432;0.632;0.826;0.826;0.826;0.81;0.701;0.87;0.826
transcript57_ENSMUGG00000013649;0.6;0.927;1.0;0.916;0.879;0.911;0.817;0.655;0.657;0.623;0.927;0.611;0.623;0.608;0.579;0.6;0.927;0.608;0.58;0.629;0.629;0.888;0.567;0.618;0.549;0.583;0.565;0.384;0.587;0.766;0.766;0.766;0.749;0.641;0.805;0.766
transcript58_ENSMUGG00000013649;0.646;0.99;0.916;1.0;0.962;0.97;0.876;0.707;0.709;0.675;0.99;0.663;0.675;0.66;0.631;0.652;0.99;0.66;0.634;0.681;0.681;0.952;0.62;0.671;0.602;0.636;0.618;0.436;0.624;0.818;0.818;0.818;0.801;0.693;0.86;0.818
transcript59_ENSMUGG00000013649;0.666;0.952;0.879;0.962;1.0;0.933;0.839;0.73;0.732;0.696;0.952;0.684;0.696;0.681;0.651;0.673;0.952;0.681;0.655;0.703;0.703;0.915;0.639;0.693;0.621;0.656;0.638;0.45;0.644;0.787;0.787;0.787;0.771;0.715;0.827;0.787
transcript37_ENSMUGG00000013592;0.639;0.981;0.911;0.97;0.933;1.0;0.904;0.7;0.702;0.668;0.981;0.657;0.668;0.654;0.625;0.646;0.981;0.654;0.627;0.674;0.674;0.944;0.612;0.675;0.597;0.63;0.611;0.424;0.62;0.81;0.81;0.81;0.796;0.687;0.854;0.81
transcript51_ENSMUGG00000013592;0.571;0.887;0.817;0.876;0.839;0.904;1.0;0.622;0.624;0.59;0.887;0.597;0.59;0.576;0.547;0.568;0.887;0.576;0.547;0.596;0.596;0.849;0.534;0.597;0.648;0.551;0.533;0.367;0.567;0.733;0.733;0.733;0.718;0.609;0.771;0.733
transcript8_ENSCGRG00015005362;0.917;0.716;0.655;0.707;0.73;0.7;0.622;1.0;0.998;0.959;0.716;0.946;0.959;0.943;0.91;0.934;0.716;0.943;0.863;0.957;0.957;0.684;0.888;0.946;0.868;0.906;0.886;0.658;0.879;0.89;0.89;0.89;0.873;0.98;0.805;0.89
transcript9_ENSCGRG00015005362;0.919;0.718;0.657;0.709;0.732;0.702;0.624;0.998;1.0;0.961;0.718;0.948;0.961;0.945;0.912;0.936;0.718;0.945;0.865;0.959;0.959;0.686;0.89;0.948;0.87;0.908;0.889;0.66;0.882;0.892;0.892;0.892;0.875;0.982;0.807;0.892
transcript38_ENSCGRG00015005362;0.956;0.683;0.623;0.675;0.696;0.668;0.59;0.959;0.961;1.0;0.683;0.987;1.0;0.906;0.949;0.897;0.683;0.906;0.831;0.925;0.925;0.655;0.856;0.914;0.836;0.875;0.855;0.686;0.843;0.857;0.857;0.857;0.841;0.943;0.772;0.857
transcript54_ENSCGRG00015005362;0.654;1.0;0.927;0.99;0.952;0.981;0.887;0.716;0.718;0.683;1.0;0.672;0.683;0.669;0.639;0.661;1.0;0.669;0.642;0.689;0.689;0.962;0.628;0.679;0.61;0.644;0.626;0.432;0.632;0.826;0.826;0.826;0.81;0.701;0.87;0.826
transcript8_ENSCGRG00000018457;0.946;0.672;0.611;0.663;0.684;0.657;0.597;0.946;0.948;0.987;0.672;1.0;0.987;0.893;0.936;0.884;0.672;0.893;0.818;0.913;0.913;0.644;0.843;0.901;0.847;0.862;0.842;0.68;0.838;0.845;0.845;0.845;0.829;0.93;0.76;0.845
