;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.895;0.798;0.798;0.534;0.486;0.502;0.827;0.321;0.768;0.08;0.123;0.281;0.128;0.335;0.331;0.926;0.861;0.926;0.8;0.758;0.889;0.486;0.576;0.255
ENSCAFT00000012333_90_90;0.895;1.0;0.832;0.832;0.55;0.447;0.464;0.861;0.331;0.858;0.043;0.127;0.248;0.132;0.296;0.393;0.886;0.896;0.886;0.895;0.792;0.927;0.447;0.658;0.222
ENST00000295951_90_90;0.798;0.832;1.0;1.0;0.536;0.46;0.51;0.968;0.369;0.964;0.044;0.131;0.288;0.136;0.304;0.405;0.801;0.927;0.801;0.921;0.838;0.899;0.46;0.59;0.231
ENST00000295952_90_90;0.798;0.832;1.0;1.0;0.536;0.46;0.51;0.968;0.369;0.964;0.044;0.131;0.288;0.136;0.304;0.405;0.801;0.927;0.801;0.921;0.838;0.899;0.46;0.59;0.231
ENST00000383718_90_90;0.534;0.55;0.536;0.536;1.0;0.137;0.185;0.565;0.154;0.553;0.0;0.041;0.391;0.041;0.032;0.031;0.583;0.534;0.583;0.522;0.397;0.563;0.137;0.258;0.321
ENST00000416658_90_90;0.486;0.447;0.46;0.46;0.137;1.0;0.763;0.446;0.542;0.476;0.166;0.254;0.119;0.263;0.686;0.65;0.502;0.446;0.502;0.476;0.52;0.432;1.0;0.681;0.068
ENST00000417128_90_90;0.502;0.464;0.51;0.51;0.185;0.763;1.0;0.494;0.635;0.529;0.15;0.231;0.175;0.241;0.639;0.612;0.52;0.463;0.52;0.495;0.538;0.45;0.763;0.695;0.028
ENST00000428312_90_90;0.827;0.861;0.968;0.968;0.565;0.446;0.494;1.0;0.358;0.933;0.043;0.127;0.278;0.131;0.295;0.392;0.83;0.958;0.83;0.893;0.812;0.929;0.446;0.621;0.224
ENST00000438794_90_90;0.321;0.331;0.369;0.369;0.154;0.542;0.635;0.358;1.0;0.382;0.101;0.176;0.135;0.324;0.526;0.477;0.332;0.33;0.332;0.352;0.385;0.321;0.542;0.499;0.0
ENST00000449503_90_90;0.768;0.858;0.964;0.964;0.553;0.476;0.529;0.933;0.382;1.0;0.045;0.136;0.254;0.141;0.315;0.419;0.826;0.893;0.826;0.954;0.803;0.867;0.476;0.611;0.197
ENST00000460223_90_90;0.08;0.043;0.044;0.044;0.0;0.166;0.15;0.043;0.101;0.045;1.0;0.0;0.0;0.0;0.244;0.104;0.083;0.043;0.083;0.045;0.051;0.041;0.166;0.066;0.0
ENST00000461354_90_90;0.123;0.127;0.131;0.131;0.041;0.254;0.231;0.127;0.176;0.136;0.0;1.0;0.0;0.452;0.21;0.328;0.127;0.127;0.127;0.136;0.148;0.122;0.254;0.195;0.0
