;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.179;0.514;0.033;0.033;0.588;0.143;0.394;0.667;0.103;0.387;0.037;0.636;0.586;0.552;0.552;0.767;0.143;0.576;0.552
ENST00000297447_90_90;0.179;1.0;0.143;0.111;0.0;0.179;0.833;0.0;0.172;0.0;0.1;0.167;0.138;0.25;0.2;0.2;0.185;0.833;0.148;0.2
ENST00000312046_90_90;0.514;0.143;1.0;0.154;0.154;0.767;0.148;0.607;0.742;0.148;0.556;0.038;0.767;0.452;0.467;0.467;0.444;0.148;0.545;0.467
ENST00000435082_90_90;0.033;0.111;0.154;1.0;0.333;0.033;0.125;0.0;0.032;0.0;0.0;0.0;0.033;0.045;0.048;0.048;0.034;0.125;0.115;0.048
ENST00000438229_90_90;0.033;0.0;0.154;0.333;1.0;0.069;0.0;0.095;0.067;0.286;0.0;0.0;0.069;0.0;0.0;0.0;0.034;0.0;0.074;0.0
ENST00000442977_90_90;0.588;0.179;0.767;0.033;0.069;1.0;0.143;0.586;0.897;0.143;0.536;0.037;0.862;0.484;0.452;0.452;0.514;0.143;0.444;0.452
ENST00000449762_90_90;0.143;0.833;0.148;0.125;0.0;0.143;1.0;0.0;0.138;0.0;0.105;0.2;0.143;0.2;0.211;0.211;0.148;1.0;0.154;0.211
ENST00000497705_90_90;0.394;0.0;0.607;0.0;0.095;0.586;0.0;1.0;0.567;0.2;0.458;0.0;0.586;0.31;0.321;0.321;0.324;0.0;0.333;0.321
ENST00000517566_90_90;0.667;0.172;0.742;0.032;0.067;0.897;0.138;0.567;1.0;0.138;0.517;0.036;0.964;0.469;0.438;0.438;0.588;0.138;0.432;0.438
ENST00000517686_90_90;0.103;0.0;0.148;0.0;0.286;0.143;0.0;0.2;0.138;1.0;0.0;0.0;0.143;0.043;0.045;0.045;0.107;0.0;0.111;0.045
ENST00000519415_90_90;0.387;0.1;0.556;0.0;0.0;0.536;0.105;0.458;0.517;0.0;1.0;0.062;0.536;0.4;0.417;0.417;0.312;0.105;0.323;0.417
ENST00000521592_90_90;0.037;0.167;0.038;0.0;0.0;0.037;0.2;0.0;0.036;0.0;0.062;1.0;0.037;0.053;0.056;0.056;0.038;0.2;0.04;0.056
ENST00000531443_90_90;0.636;0.138;0.767;0.033;0.069;0.862;0.143;0.586;0.964;0.143;0.536;0.037;1.0;0.438;0.452;0.452;0.559;0.143;0.444;0.452
ENSMUST00000022918_90_90;0.586;0.25;0.452;0.045;0.0;0.484;0.2;0.31;0.469;0.043;0.4;0.053;0.438;1.0;0.947;0.947;0.731;0.2;0.692;0.947
ENSMUST00000090095_90_90;0.552;0.2;0.467;0.048;0.0;0.452;0.211;0.321;0.438;0.045;0.417;0.056;0.452;0.947;1.0;1.0;0.692;0.211;0.72;1.0
ENSMUST00000090096_90_90;0.552;0.2;0.467;0.048;0.0;0.452;0.211;0.321;0.438;0.045;0.417;0.056;0.452;0.947;1.0;1.0;0.692;0.211;0.72;1.0
ENSMUST00000110297_90_90;0.767;0.185;0.444;0.034;0.034;0.514;0.148;0.324;0.588;0.107;0.312;0.038;0.559;0.731;0.692;0.692;1.0;0.148;0.7;0.692
ENSMUST00000166917_90_90;0.143;0.833;0.148;0.125;0.0;0.143;1.0;0.0;0.138;0.0;0.105;0.2;0.143;0.2;0.211;0.211;0.148;1.0;0.154;0.211
ENSMUST00000170127_90_90;0.576;0.148;0.545;0.115;0.074;0.444;0.154;0.333;0.432;0.111;0.323;0.04;0.444;0.692;0.72;0.72;0.7;0.154;1.0;0.72
ENSMUST00000179393_90_90;0.552;0.2;0.467;0.048;0.0;0.452;0.211;0.321;0.438;0.045;0.417;0.056;0.452;0.947;1.0;1.0;0.692;0.211;0.72;1.0
