;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.465;0.344;0.607;0.69;0.784;0.353;0.919;0.513;0.602;0.366;0.261;0.357;0.252;0.355;0.487;0.795;0.816;0.78;0.805;0.962;0.962;0.628
transcript7_ENSMSIG00000000513;0.465;1.0;0.606;0.668;0.595;0.493;0.356;0.479;0.586;0.719;0.356;0.412;0.345;0.399;0.606;0.248;0.545;0.534;0.554;0.526;0.46;0.46;0.494
transcript58_ENSMUSG00000054036;0.344;0.606;1.0;0.556;0.491;0.376;0.391;0.309;0.404;0.516;0.372;0.449;0.359;0.433;0.965;0.284;0.357;0.378;0.362;0.372;0.327;0.327;0.338
transcript54_ENSMUSG00000054036;0.607;0.668;0.556;1.0;0.884;0.648;0.317;0.573;0.756;0.854;0.305;0.33;0.296;0.32;0.556;0.474;0.653;0.672;0.663;0.663;0.585;0.585;0.67
transcript55_ENSMUSG00000054036;0.69;0.595;0.491;0.884;1.0;0.74;0.406;0.629;0.687;0.776;0.406;0.293;0.397;0.284;0.491;0.588;0.742;0.762;0.726;0.751;0.666;0.666;0.593
transcript39_MGP-PahariEiJ-G0020237;0.784;0.493;0.376;0.648;0.74;1.0;0.326;0.746;0.583;0.661;0.337;0.242;0.329;0.234;0.386;0.488;0.907;0.928;0.891;0.915;0.783;0.783;0.501
transcript38_ENSMUSG00000054036;0.353;0.356;0.391;0.317;0.406;0.326;1.0;0.308;0.186;0.325;0.961;0.74;0.941;0.719;0.391;0.605;0.32;0.341;0.305;0.336;0.351;0.351;0.174
transcript50_ENSRNOG00000031503;0.919;0.479;0.309;0.573;0.629;0.746;0.308;1.0;0.506;0.585;0.32;0.239;0.311;0.23;0.32;0.425;0.811;0.795;0.825;0.785;0.956;0.956;0.622
transcript8_MGP-CAROLIEiJ-G0020234;0.513;0.586;0.404;0.756;0.687;0.583;0.186;0.506;1.0;0.843;0.186;0.209;0.177;0.199;0.418;0.367;0.593;0.597;0.602;0.589;0.504;0.504;0.773
transcript47_MGP-CAROLIEiJ-G0020234;0.602;0.719;0.516;0.854;0.776;0.661;0.325;0.585;0.843;1.0;0.325;0.366;0.316;0.356;0.531;0.467;0.689;0.709;0.699;0.699;0.596;0.596;0.655
transcript38_ENSMSIG00000000513;0.366;0.356;0.372;0.305;0.406;0.337;0.961;0.32;0.186;0.325;1.0;0.74;0.98;0.719;0.391;0.626;0.33;0.35;0.314;0.345;0.363;0.363;0.174
transcript52_ENSMSIG00000000513;0.261;0.412;0.449;0.33;0.293;0.242;0.74;0.239;0.209;0.366;0.74;1.0;0.719;0.974;0.472;0.448;0.239;0.26;0.242;0.256;0.259;0.259;0.197
transcript38_MGP-SPRETEiJ-G0021131;0.357;0.345;0.359;0.296;0.397;0.329;0.941;0.311;0.177;0.316;0.98;0.719;1.0;0.735;0.378;0.635;0.323;0.343;0.306;0.338;0.354;0.354;0.164
transcript52_MGP-SPRETEiJ-G0021131;0.252;0.399;0.433;0.32;0.284;0.234;0.719;0.23;0.199;0.356;0.719;0.974;0.735;1.0;0.456;0.454;0.232;0.253;0.235;0.249;0.25;0.25;0.185
transcript58_ENSMSIG00000000513;0.355;0.606;0.965;0.556;0.491;0.386;0.391;0.32;0.418;0.531;0.391;0.472;0.378;0.456;1.0;0.297;0.367;0.388;0.373;0.382;0.338;0.338;0.352
transcript63_MGP-SPRETEiJ-G0021131;0.487;0.248;0.284;0.474;0.588;0.488;0.605;0.425;0.367;0.467;0.626;0.448;0.635;0.454;0.297;1.0;0.465;0.486;0.45;0.479;0.466;0.466;0.342
transcript12_ENSMUGG00000013649;0.795;0.545;0.357;0.653;0.742;0.907;0.32;0.811;0.593;0.689;0.33;0.239;0.323;0.232;0.367;0.465;1.0;0.98;0.984;0.966;0.811;0.811;0.502
transcript32_ENSMUGG00000013649;0.816;0.534;0.378;0.672;0.762;0.928;0.341;0.795;0.597;0.709;0.35;0.26;0.343;0.253;0.388;0.486;0.98;1.0;0.964;0.986;0.831;0.831;0.508
transcript50_ENSMUGG00000013649;0.78;0.554;0.362;0.663;0.726;0.891;0.305;0.825;0.602;0.699;0.314;0.242;0.306;0.235;0.373;0.45;0.984;0.964;1.0;0.95;0.795;0.795;0.51
transcript32_ENSMUGG00000013592;0.805;0.526;0.372;0.663;0.751;0.915;0.336;0.785;0.589;0.699;0.345;0.256;0.338;0.249;0.382;0.479;0.966;0.986;0.95;1.0;0.821;0.821;0.502
transcript31_ENSRNOG00000031503;0.962;0.46;0.327;0.585;0.666;0.783;0.351;0.956;0.504;0.596;0.363;0.259;0.354;0.25;0.338;0.466;0.811;0.831;0.795;0.821;1.0;1.0;0.616
transcript32_ENSRNOG00000031503;0.962;0.46;0.327;0.585;0.666;0.783;0.351;0.956;0.504;0.596;0.363;0.259;0.354;0.25;0.338;0.466;0.811;0.831;0.795;0.821;1.0;1.0;0.616
transcript8_ENSRNOG00000031503;0.628;0.494;0.338;0.67;0.593;0.501;0.174;0.622;0.773;0.655;0.174;0.197;0.164;0.185;0.352;0.342;0.502;0.508;0.51;0.502;0.616;0.616;1.0
