;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.794;0.665;0.884;0.884;0.563;0.432;0.265;0.19;0.377;0.186;0.143;0.215;0.784;0.651;0.888;0.888;0.84;0.801;0.888;0.784;0.171
ENST00000319770_90_90;0.794;1.0;0.81;0.905;0.905;0.557;0.541;0.322;0.236;0.448;0.178;0.159;0.267;0.827;0.748;0.802;0.802;0.754;0.881;0.802;0.827;0.19
ENST00000355772_90_90;0.665;0.81;1.0;0.733;0.733;0.39;0.438;0.204;0.129;0.258;0.133;0.136;0.328;0.702;0.893;0.68;0.68;0.714;0.748;0.68;0.702;0.185
ENST00000361959_90_90;0.884;0.905;0.733;1.0;1.0;0.593;0.49;0.291;0.214;0.406;0.162;0.143;0.241;0.757;0.68;0.889;0.889;0.841;0.802;0.889;0.757;0.171
ENST00000396801_90_90;0.884;0.905;0.733;1.0;1.0;0.593;0.49;0.291;0.214;0.406;0.162;0.143;0.241;0.757;0.68;0.889;0.889;0.841;0.802;0.889;0.757;0.171
ENST00000417772_90_90;0.563;0.557;0.39;0.593;0.593;1.0;0.7;0.417;0.307;0.576;0.234;0.21;0.0;0.546;0.363;0.523;0.523;0.478;0.487;0.523;0.546;0.249
ENST00000436774_90_90;0.432;0.541;0.438;0.49;0.49;0.7;1.0;0.595;0.296;0.643;0.206;0.212;0.0;0.439;0.401;0.426;0.426;0.447;0.468;0.426;0.439;0.351
ENST00000535485_90_90;0.265;0.322;0.204;0.291;0.291;0.417;0.595;1.0;0.468;0.73;0.325;0.339;0.0;0.255;0.19;0.246;0.246;0.258;0.271;0.246;0.255;0.588
ENST00000538829_90_90;0.19;0.236;0.129;0.214;0.214;0.307;0.296;0.468;1.0;0.539;0.71;0.659;0.0;0.183;0.123;0.177;0.177;0.129;0.195;0.177;0.183;0.407
ENST00000540915_90_90;0.377;0.448;0.258;0.406;0.406;0.576;0.643;0.73;0.539;1.0;0.411;0.377;0.0;0.356;0.238;0.346;0.346;0.298;0.379;0.346;0.356;0.444
ENST00000542351_90_90;0.186;0.178;0.133;0.162;0.162;0.234;0.206;0.325;0.71;0.411;1.0;0.744;0.0;0.178;0.126;0.172;0.172;0.123;0.19;0.172;0.178;0.441
ENST00000544482_90_90;0.143;0.159;0.136;0.143;0.143;0.21;0.212;0.339;0.659;0.377;0.744;1.0;0.0;0.141;0.129;0.136;0.136;0.105;0.15;0.136;0.141;0.485
ENST00000545946_90_90;0.215;0.267;0.328;0.241;0.241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.232;0.294;0.225;0.225;0.236;0.247;0.225;0.232;0.0
ENSMUST00000046064_90_90;0.784;0.827;0.702;0.757;0.757;0.546;0.439;0.255;0.183;0.356;0.178;0.141;0.232;1.0;0.779;0.859;0.859;0.812;0.936;0.859;1.0;0.167
ENSMUST00000054553_90_90;0.651;0.748;0.893;0.68;0.68;0.363;0.401;0.19;0.123;0.238;0.126;0.129;0.294;0.779;1.0;0.758;0.758;0.796;0.832;0.758;0.779;0.172
ENSMUST00000084275_90_90;0.888;0.802;0.68;0.889;0.889;0.523;0.426;0.246;0.177;0.346;0.172;0.136;0.225;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000088308_90_90;0.888;0.802;0.68;0.889;0.889;0.523;0.426;0.246;0.177;0.346;0.172;0.136;0.225;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000112424_90_90;0.84;0.754;0.714;0.841;0.841;0.478;0.447;0.258;0.129;0.298;0.123;0.105;0.236;0.812;0.796;0.951;0.951;1.0;0.863;0.951;0.812;0.168
ENSMUST00000112425_90_90;0.801;0.881;0.748;0.802;0.802;0.487;0.468;0.271;0.195;0.379;0.19;0.15;0.247;0.936;0.832;0.913;0.913;0.863;1.0;0.913;0.936;0.177
ENSMUST00000112427_90_90;0.888;0.802;0.68;0.889;0.889;0.523;0.426;0.246;0.177;0.346;0.172;0.136;0.225;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000112428_90_90;0.784;0.827;0.702;0.757;0.757;0.546;0.439;0.255;0.183;0.356;0.178;0.141;0.232;1.0;0.779;0.859;0.859;0.812;0.936;0.859;1.0;0.167
ENSMUST00000152752_90_90;0.171;0.19;0.185;0.171;0.171;0.249;0.351;0.588;0.407;0.444;0.441;0.485;0.0;0.167;0.172;0.161;0.161;0.168;0.177;0.161;0.167;1.0
