;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.875;0.875;0.062;0.133;0.067;0.765;0.765;0.75;0.333;0.118
ENST00000318445_90_90;0.875;1.0;0.765;0.062;0.133;0.067;0.875;0.667;0.75;0.333;0.118
ENST00000424469_90_90;0.875;0.765;1.0;0.062;0.133;0.067;0.667;0.765;0.75;0.333;0.118
ENST00000553304_90_90;0.062;0.062;0.062;1.0;0.0;0.0;0.062;0.062;0.071;0.167;0.5
ENST00000555210_90_90;0.133;0.133;0.133;0.0;1.0;0.5;0.133;0.133;0.154;0.0;0.0
ENST00000555892_90_90;0.067;0.067;0.067;0.0;0.5;1.0;0.067;0.067;0.077;0.0;0.0
ENSMUST00000026897_90_90;0.765;0.875;0.667;0.062;0.133;0.067;1.0;0.765;0.647;0.333;0.118
ENSMUST00000098371_90_90;0.765;0.667;0.765;0.062;0.133;0.067;0.765;1.0;0.647;0.333;0.118
ENSMUST00000107453_90_90;0.75;0.75;0.75;0.071;0.154;0.077;0.647;0.647;1.0;0.385;0.133
ENSMUST00000134539_90_90;0.333;0.333;0.333;0.167;0.0;0.0;0.333;0.333;0.385;1.0;0.286
ENSMUST00000138099_90_90;0.118;0.118;0.118;0.5;0.0;0.0;0.118;0.118;0.133;0.286;1.0
