;ENSCAFT00000014390_90_90;ENST00000340417_90_90;ENST00000442461_90_90;ENST00000446851_90_90;ENST00000505397_90_90;ENST00000506560_90_90;ENST00000508171_90_90;ENST00000510557_90_90;ENST00000510877_90_90;ENSMUST00000046154_90_90;ENSMUST00000123572_90_90;ENSMUST00000134439_90_90;ENSMUST00000137750_90_90;ENSMUST00000139234_90_90;ENSMUST00000144030_90_90;ENSMUST00000149714_90_90;ENSMUST00000152387_90_90;ENSMUST00000154921_90_90
ENSCAFT00000014390_90_90;1.0;1.0;0.705;0.705;1.0;0.881;0.324;0.705;0.083;0.999;0.999;0.194;0.704;0.324;0.128;0.704;0.88;0.704
ENST00000340417_90_90;1.0;1.0;0.705;0.705;1.0;0.881;0.324;0.705;0.083;0.999;0.999;0.194;0.704;0.324;0.128;0.704;0.88;0.704
ENST00000442461_90_90;0.705;0.705;1.0;1.0;0.705;0.586;0.029;1.0;0.117;0.704;0.704;0.089;0.999;0.029;0.182;0.999;0.585;0.999
ENST00000446851_90_90;0.705;0.705;1.0;1.0;0.705;0.586;0.029;1.0;0.117;0.704;0.704;0.089;0.999;0.029;0.182;0.999;0.585;0.999
ENST00000505397_90_90;1.0;1.0;0.705;0.705;1.0;0.881;0.324;0.705;0.083;0.999;0.999;0.194;0.704;0.324;0.128;0.704;0.88;0.704
ENST00000506560_90_90;0.881;0.881;0.586;0.586;0.881;1.0;0.338;0.586;0.01;0.88;0.88;0.127;0.585;0.338;0.01;0.585;0.999;0.585
ENST00000508171_90_90;0.324;0.324;0.029;0.029;0.324;0.338;1.0;0.029;0.073;0.324;0.324;0.367;0.029;1.0;0.069;0.029;0.338;0.029
ENST00000510557_90_90;0.705;0.705;1.0;1.0;0.705;0.586;0.029;1.0;0.117;0.704;0.704;0.089;0.999;0.029;0.182;0.999;0.585;0.999
ENST00000510877_90_90;0.083;0.083;0.117;0.117;0.083;0.01;0.073;0.117;1.0;0.083;0.083;0.36;0.117;0.073;0.633;0.117;0.01;0.117
ENSMUST00000046154_90_90;0.999;0.999;0.704;0.704;0.999;0.88;0.324;0.704;0.083;1.0;1.0;0.194;0.705;0.324;0.128;0.705;0.881;0.705
ENSMUST00000123572_90_90;0.999;0.999;0.704;0.704;0.999;0.88;0.324;0.704;0.083;1.0;1.0;0.194;0.705;0.324;0.128;0.705;0.881;0.705
ENSMUST00000134439_90_90;0.194;0.194;0.089;0.089;0.194;0.127;0.367;0.089;0.36;0.194;0.194;1.0;0.089;0.367;0.292;0.089;0.127;0.089
ENSMUST00000137750_90_90;0.704;0.704;0.999;0.999;0.704;0.585;0.029;0.999;0.117;0.705;0.705;0.089;1.0;0.029;0.181;1.0;0.586;1.0
ENSMUST00000139234_90_90;0.324;0.324;0.029;0.029;0.324;0.338;1.0;0.029;0.073;0.324;0.324;0.367;0.029;1.0;0.069;0.029;0.338;0.029
ENSMUST00000144030_90_90;0.128;0.128;0.182;0.182;0.128;0.01;0.069;0.182;0.633;0.128;0.128;0.292;0.181;0.069;1.0;0.181;0.009;0.181
ENSMUST00000149714_90_90;0.704;0.704;0.999;0.999;0.704;0.585;0.029;0.999;0.117;0.705;0.705;0.089;1.0;0.029;0.181;1.0;0.586;1.0
ENSMUST00000152387_90_90;0.88;0.88;0.585;0.585;0.88;0.999;0.338;0.585;0.01;0.881;0.881;0.127;0.586;0.338;0.009;0.586;1.0;0.586
ENSMUST00000154921_90_90;0.704;0.704;0.999;0.999;0.704;0.585;0.029;0.999;0.117;0.705;0.705;0.089;1.0;0.029;0.181;1.0;0.586;1.0
