;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.72;0.792;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.792
ENST00000166534_90_90;0.909;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.792;0.72;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.72
ENST00000360568_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.72;0.792;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.792
ENST00000379086_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.72;0.792;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.792
ENST00000379100_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.72;0.792;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.792
ENST00000379104_90_90;0.909;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.792;0.72;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.72
ENST00000395164_90_90;0.714;0.714;0.714;0.714;0.714;0.714;1.0;0.714;0.467;0.833;0.667;0.8;0.267;0.75;0.938;0.867;0.542;0.542;0.118;0.333;0.056;0.389;0.667;0.118;0.5;0.542
ENST00000401867_90_90;0.909;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.792;0.72;0.087;0.25;0.042;0.292;0.5;0.087;0.375;0.72
ENST00000416053_90_90;0.333;0.333;0.333;0.333;0.333;0.333;0.467;0.333;1.0;0.389;0.7;0.583;0.571;0.35;0.438;0.538;0.208;0.208;0.222;0.455;0.1;0.417;0.294;0.222;0.357;0.208
ENST00000417528_90_90;0.857;0.857;0.857;0.857;0.857;0.857;0.833;0.857;0.389;1.0;0.556;0.667;0.222;0.81;0.889;0.722;0.667;0.667;0.1;0.286;0.048;0.333;0.571;0.1;0.429;0.667
ENST00000418055_90_90;0.476;0.476;0.476;0.476;0.476;0.476;0.667;0.476;0.7;0.556;1.0;0.833;0.4;0.5;0.625;0.769;0.333;0.333;0.167;0.462;0.077;0.538;0.471;0.167;0.571;0.333
ENST00000428369_90_90;0.571;0.571;0.571;0.571;0.571;0.571;0.8;0.571;0.583;0.667;0.833;1.0;0.333;0.6;0.75;0.923;0.417;0.417;0.143;0.4;0.067;0.467;0.588;0.143;0.6;0.417
ENST00000428841_90_90;0.19;0.19;0.19;0.19;0.19;0.19;0.267;0.19;0.571;0.222;0.4;0.333;1.0;0.2;0.25;0.308;0.13;0.13;0.333;0.3;0.143;0.273;0.188;0.143;0.231;0.13
ENST00000431054_90_90;0.708;0.708;0.708;0.708;0.708;0.708;0.75;0.708;0.35;0.81;0.5;0.6;0.2;1.0;0.8;0.65;0.615;0.615;0.143;0.318;0.143;0.364;0.591;0.091;0.455;0.615
ENST00000439698_90_90;0.762;0.762;0.762;0.762;0.762;0.762;0.938;0.762;0.438;0.889;0.625;0.75;0.25;0.8;1.0;0.812;0.583;0.583;0.111;0.316;0.053;0.368;0.632;0.111;0.474;0.583
ENST00000453286_90_90;0.619;0.619;0.619;0.619;0.619;0.619;0.867;0.619;0.538;0.722;0.769;0.923;0.308;0.65;0.812;1.0;0.458;0.458;0.133;0.375;0.062;0.438;0.647;0.133;0.562;0.458
ENSMUST00000019050_90_90;0.72;0.792;0.72;0.72;0.72;0.792;0.542;0.792;0.208;0.667;0.333;0.417;0.13;0.615;0.583;0.458;1.0;0.913;0.083;0.409;0.083;0.455;0.682;0.13;0.545;0.913
ENSMUST00000093107_90_90;0.792;0.72;0.792;0.792;0.792;0.72;0.542;0.72;0.208;0.667;0.333;0.417;0.13;0.615;0.583;0.458;0.913;1.0;0.083;0.409;0.083;0.455;0.682;0.13;0.545;1.0
ENSMUST00000125132_90_90;0.087;0.087;0.087;0.087;0.087;0.087;0.118;0.087;0.222;0.1;0.167;0.143;0.333;0.143;0.111;0.133;0.083;0.083;1.0;0.182;0.333;0.167;0.118;0.0;0.143;0.083
