;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENSCAFT00000014361_90_90;;;0.716;0.773;0.808;0.804;0.81;0.831;0.77;0.87;0.834;0.751;0.749;0.814;0.758;0.777;0.704;0.754;0.734;0.715;0.792;0.754;0.811;0.787;0.79
ENSCAFT00000049149_90_90;;;0.79;0.789;0.826;0.823;0.764;0.851;0.786;0.822;0.786;0.764;0.827;0.767;0.771;0.793;0.771;0.768;0.806;0.781;0.748;0.719;0.829;0.802;0.806
ENST00000258104_90_90;0.716;0.79;;;;;;;;;;;;0.756;0.819;0.782;0.893;0.822;0.861;0.897;0.79;0.823;0.758;0.796;0.793
ENST00000394120_90_90;0.773;0.789;;;;;;;;;;;;0.822;0.893;0.853;0.819;0.756;0.793;0.827;0.859;0.757;0.825;0.735;0.861
ENST00000409366_90_90;0.808;0.826;;;;;;;;;;;;0.796;0.861;0.825;0.793;0.735;0.829;0.802;0.831;0.736;0.863;0.769;0.899
ENST00000409582_90_90;0.804;0.823;;;;;;;;;;;;0.793;0.735;0.754;0.796;0.861;0.833;0.806;0.771;0.801;0.791;0.899;0.769
ENST00000409651_90_90;0.81;0.764;;;;;;;;;;;;0.863;0.859;0.822;0.79;0.794;0.767;0.8;0.899;0.795;0.796;0.771;0.831
ENST00000409744_90_90;0.831;0.851;;;;;;;;;;;;0.821;0.825;0.851;0.758;0.754;0.794;0.769;0.796;0.704;0.893;0.791;0.863
ENST00000409762_90_90;0.77;0.786;;;;;;;;;;;;0.819;0.756;0.778;0.822;0.893;0.796;0.831;0.794;0.827;0.754;0.861;0.735
ENST00000410020_90_90;0.87;0.822;;;;;;;;;;;;0.861;0.796;0.821;0.735;0.793;0.769;0.747;0.835;0.74;0.859;0.829;0.833
ENST00000410041_90_90;0.834;0.786;;;;;;;;;;;;0.893;0.822;0.849;0.756;0.819;0.735;0.767;0.863;0.761;0.821;0.793;0.796
ENST00000413539_90_90;0.751;0.764;;;;;;;;;;;;0.794;0.79;0.756;0.859;0.863;0.831;0.865;0.829;0.863;0.735;0.835;0.767
ENST00000429174_90_90;0.749;0.827;;;;;;;;;;;;0.735;0.793;0.758;0.861;0.796;0.899;0.867;0.767;0.797;0.794;0.833;0.829
ENSMUST00000081904_90_90;0.814;0.767;0.756;0.822;0.796;0.793;0.863;0.821;0.819;0.861;0.893;0.794;0.735;;;;;;;;;;;;
ENSMUST00000089595_90_90;0.758;0.771;0.819;0.893;0.861;0.735;0.859;0.825;0.756;0.796;0.822;0.79;0.793;;;;;;;;;;;;
ENSMUST00000113818_90_90;0.777;0.793;0.782;0.853;0.825;0.754;0.822;0.851;0.778;0.821;0.849;0.756;0.758;;;;;;;;;;;;
ENSMUST00000113821_90_90;0.704;0.771;0.893;0.819;0.793;0.796;0.79;0.758;0.822;0.735;0.756;0.859;0.861;;;;;;;;;;;;
ENSMUST00000113823_90_90;0.754;0.768;0.822;0.756;0.735;0.861;0.794;0.754;0.893;0.793;0.819;0.863;0.796;;;;;;;;;;;;
ENSMUST00000153860_90_90;0.734;0.806;0.861;0.793;0.829;0.833;0.767;0.794;0.796;0.769;0.735;0.831;0.899;;;;;;;;;;;;
ENSMUST00000168387_90_90;0.715;0.781;0.897;0.827;0.802;0.806;0.8;0.769;0.831;0.747;0.767;0.865;0.867;;;;;;;;;;;;
ENSMUST00000203695_90_90;0.792;0.748;0.79;0.859;0.831;0.771;0.899;0.796;0.794;0.835;0.863;0.829;0.767;;;;;;;;;;;;
ENSMUST00000203803_90_90;0.754;0.719;0.823;0.757;0.736;0.801;0.795;0.704;0.827;0.74;0.761;0.863;0.797;;;;;;;;;;;;
ENSMUST00000204354_90_90;0.811;0.829;0.758;0.825;0.863;0.791;0.796;0.893;0.754;0.859;0.821;0.735;0.794;;;;;;;;;;;;
ENSMUST00000204591_90_90;0.787;0.802;0.796;0.735;0.769;0.899;0.771;0.791;0.861;0.829;0.793;0.835;0.833;;;;;;;;;;;;
ENSMUST00000204987_90_90;0.79;0.806;0.793;0.861;0.899;0.769;0.831;0.863;0.735;0.833;0.796;0.767;0.829;;;;;;;;;;;;
