;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.705;0.87;0.705;0.242;0.705;0.454;0.642;0.705;0.705;0.277;0.17
ENST00000329008_90_90;0.705;1.0;0.705;1.0;0.314;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENST00000395275_90_90;0.87;0.705;1.0;0.705;0.242;0.705;0.454;0.743;0.705;0.705;0.277;0.248
ENST00000395276_90_90;0.705;1.0;0.705;1.0;0.314;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENST00000405452_90_90;0.242;0.314;0.242;0.314;1.0;0.314;0.0;0.242;0.314;0.314;0.0;0.0
ENST00000431984_90_90;0.705;1.0;0.705;1.0;0.314;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENST00000446128_90_90;0.454;0.66;0.454;0.66;0.0;0.66;1.0;0.454;0.66;0.66;0.615;0.186
ENSMUST00000086029_90_90;0.642;0.705;0.743;0.705;0.242;0.705;0.454;1.0;0.705;0.705;0.277;0.431
ENSMUST00000111287_90_90;0.705;1.0;0.705;1.0;0.314;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENSMUST00000111288_90_90;0.705;1.0;0.705;1.0;0.314;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENSMUST00000141131_90_90;0.277;0.41;0.277;0.41;0.0;0.41;0.615;0.277;0.41;0.41;1.0;0.253
ENSMUST00000202728_90_90;0.17;0.138;0.248;0.138;0.0;0.138;0.186;0.431;0.138;0.138;0.253;1.0
