;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.875;0.855;0.828;0.237;0.782;0.819;0.819;0.848;0.742
ENSCAFT00000004373_90_90;0.875;1.0;0.956;0.737;0.175;0.695;0.722;0.722;0.956;0.653
ENST00000333896_90_90;0.855;0.956;1.0;0.68;0.179;0.624;0.664;0.664;1.0;0.642
ENST00000356805_90_90;0.828;0.737;0.68;1.0;0.282;0.883;1.0;1.0;0.664;0.792
ENST00000389980_90_90;0.237;0.175;0.179;0.282;1.0;0.271;0.296;0.296;0.181;0.38
ENST00000615901_90_90;0.782;0.695;0.624;0.883;0.271;1.0;0.95;0.95;0.63;0.742
ENSMUST00000006629_90_90;0.819;0.722;0.664;1.0;0.296;0.95;1.0;1.0;0.664;0.792
ENSMUST00000011877_90_90;0.819;0.722;0.664;1.0;0.296;0.95;1.0;1.0;0.664;0.792
ENSMUST00000102838_90_90;0.848;0.956;1.0;0.664;0.181;0.63;0.664;0.664;1.0;0.642
ENSMUST00000124231_90_90;0.742;0.653;0.642;0.792;0.38;0.742;0.792;0.792;0.642;1.0
