;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;;0.965;0.79;0.903;0.87;0.665;0.459;0.55;0.832;0.608;0.504;0.736
ENST00000341376_90_90;0.965;;;0.935;0.903;0.698;0.445;0.583;0.865;0.589;0.49;0.769
ENST00000353205_90_90;0.79;;;0.769;0.791;0.822;0.528;0.51;0.698;0.538;0.58;0.914
ENSMUST00000046719_90_90;0.903;0.935;0.769;;;;;;;;;
ENSMUST00000078800_90_90;0.87;0.903;0.791;;;;;;;;;
ENSMUST00000159063_90_90;0.665;0.698;0.822;;;;;;;;;
ENSMUST00000159237_90_90;0.459;0.445;0.528;;;;;;;;;
ENSMUST00000159535_90_90;0.55;0.583;0.51;;;;;;;;;
ENSMUST00000160319_90_90;0.832;0.865;0.698;;;;;;;;;
ENSMUST00000161117_90_90;0.608;0.589;0.538;;;;;;;;;
ENSMUST00000161256_90_90;0.504;0.49;0.58;;;;;;;;;
ENSMUST00000162460_90_90;0.736;0.769;0.914;;;;;;;;;
