;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.429;0.476;0.35;0.143;0.429;0.1;0.1;0.25;0.429;0.6;0.524;0.476;0.476
ENST00000265651_90_90;0.429;1.0;0.769;0.727;0.333;0.692;0.273;0.273;0.545;0.833;0.391;0.6;0.533;0.533
ENST00000448981_90_90;0.476;0.769;1.0;0.538;0.308;0.917;0.154;0.154;0.5;0.769;0.375;0.786;0.714;0.5
ENST00000526785_90_90;0.35;0.727;0.538;1.0;0.083;0.583;0.375;0.375;0.273;0.583;0.318;0.5;0.538;0.429
ENST00000529137_90_90;0.143;0.333;0.308;0.083;1.0;0.231;0.0;0.0;0.571;0.333;0.13;0.2;0.133;0.214
ENST00000530401_90_90;0.429;0.692;0.917;0.583;0.231;1.0;0.167;0.167;0.417;0.692;0.333;0.714;0.769;0.438
ENST00000531080_90_90;0.1;0.273;0.154;0.375;0.0;0.167;1.0;1.0;0.0;0.167;0.091;0.143;0.154;0.071
ENST00000532057_90_90;0.1;0.273;0.154;0.375;0.0;0.167;1.0;1.0;0.0;0.167;0.091;0.143;0.154;0.071
ENST00000532927_90_90;0.25;0.545;0.5;0.273;0.571;0.417;0.0;0.0;1.0;0.545;0.227;0.357;0.286;0.385
ENST00000534136_90_90;0.429;0.833;0.769;0.583;0.333;0.692;0.167;0.167;0.545;1.0;0.391;0.6;0.533;0.533
ENSMUST00000028603_90_90;0.6;0.391;0.375;0.318;0.13;0.333;0.091;0.091;0.227;0.391;1.0;0.478;0.435;0.571
ENSMUST00000102565_90_90;0.524;0.6;0.786;0.5;0.2;0.714;0.143;0.143;0.357;0.6;0.478;1.0;0.923;0.667
ENSMUST00000111135_90_90;0.476;0.533;0.714;0.538;0.133;0.769;0.154;0.154;0.286;0.533;0.435;0.923;1.0;0.6
ENSMUST00000111136_90_90;0.476;0.533;0.5;0.429;0.214;0.438;0.071;0.071;0.385;0.533;0.571;0.667;0.6;1.0
