;transcript7_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226
transcript7_ENSMPUG00000020072;1.0;0.948;0.911;0.75;0.75;0.75;0.71;0.746;0.041;0.711;0.697;0.579;0.593;0.543;0.513;0.245;0.865
transcript25_ENSMPUG00000020072;0.948;1.0;0.962;0.71;0.71;0.71;0.744;0.718;0.043;0.68;0.666;0.545;0.56;0.57;0.48;0.207;0.82
transcript28_ENSMPUG00000020072;0.911;0.962;1.0;0.681;0.681;0.681;0.715;0.69;0.044;0.655;0.641;0.519;0.534;0.542;0.454;0.214;0.789
transcript12_ENSECAG00000007947;0.75;0.71;0.681;1.0;1.0;1.0;0.948;0.988;0.049;0.734;0.721;0.595;0.609;0.557;0.532;0.256;0.877
transcript23_ENSECAG00000007947;0.75;0.71;0.681;1.0;1.0;1.0;0.948;0.988;0.049;0.734;0.721;0.595;0.609;0.557;0.532;0.256;0.877
transcript31_ENSECAG00000007947;0.75;0.71;0.681;1.0;1.0;1.0;0.948;0.988;0.049;0.734;0.721;0.595;0.609;0.557;0.532;0.256;0.877
transcript32_ENSECAG00000007947;0.71;0.744;0.715;0.948;0.948;0.948;1.0;0.959;0.051;0.703;0.689;0.56;0.576;0.585;0.498;0.216;0.831
transcript33_ENSECAG00000007947;0.746;0.718;0.69;0.988;0.988;0.988;0.959;1.0;0.049;0.727;0.713;0.587;0.601;0.564;0.524;0.243;0.866
transcript7_ENSMLUG00000027828;0.041;0.043;0.044;0.049;0.049;0.049;0.051;0.049;1.0;0.051;0.052;0.064;0.062;0.068;0.073;0.137;0.042
transcript12_ENSMLUG00000027828;0.711;0.68;0.655;0.734;0.734;0.734;0.703;0.727;0.051;1.0;0.979;0.794;0.815;0.746;0.702;0.249;0.835
transcript15_ENSMLUG00000027828;0.697;0.666;0.641;0.721;0.721;0.721;0.689;0.713;0.052;0.979;1.0;0.81;0.794;0.761;0.716;0.23;0.817
transcript16_ENSMLUG00000027828;0.579;0.545;0.519;0.595;0.595;0.595;0.56;0.587;0.064;0.794;0.81;1.0;0.974;0.94;0.885;0.278;0.661
transcript25_ENSMLUG00000027828;0.593;0.56;0.534;0.609;0.609;0.609;0.576;0.601;0.062;0.815;0.794;0.974;1.0;0.915;0.861;0.303;0.679
transcript26_ENSMLUG00000027828;0.543;0.57;0.542;0.557;0.557;0.557;0.585;0.564;0.068;0.746;0.761;0.94;0.915;1.0;0.824;0.238;0.621
transcript27_ENSMLUG00000027828;0.513;0.48;0.454;0.532;0.532;0.532;0.498;0.524;0.073;0.702;0.716;0.885;0.861;0.824;1.0;0.195;0.586
transcript7_ENSSTOG00000019743;0.245;0.207;0.214;0.256;0.256;0.256;0.216;0.243;0.137;0.249;0.23;0.278;0.303;0.238;0.195;1.0;0.256
transcript7_ENSCCNG00000000226;0.865;0.82;0.789;0.877;0.877;0.877;0.831;0.866;0.042;0.835;0.817;0.661;0.679;0.621;0.586;0.256;1.0
