;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.524;0.571;0.81;0.75;0.714;0.053;0.421;0.35;0.105;0.391;0.773;0.682;0.75;0.316
ENST00000347464_90_90;0.524;1.0;0.8;0.684;0.565;0.765;0.077;0.312;0.615;0.0;0.368;0.571;0.632;0.5;0.118
ENST00000373525_90_90;0.571;0.8;1.0;0.737;0.609;0.632;0.071;0.375;0.571;0.0;0.5;0.619;0.524;0.542;0.111
ENST00000392017_90_90;0.81;0.684;0.737;1.0;0.826;0.895;0.053;0.421;0.421;0.105;0.391;0.857;0.762;0.75;0.316
ENST00000392018_90_90;0.75;0.565;0.609;0.826;1.0;0.739;0.043;0.348;0.348;0.087;0.565;0.72;0.64;0.84;0.261
ENST00000392020_90_90;0.714;0.765;0.632;0.895;0.739;1.0;0.059;0.389;0.471;0.118;0.304;0.762;0.842;0.667;0.353
ENST00000392021_90_90;0.053;0.077;0.071;0.053;0.043;0.059;1.0;0.125;0.125;0.0;0.077;0.05;0.056;0.043;0.0
ENST00000417017_90_90;0.421;0.312;0.375;0.421;0.348;0.389;0.125;1.0;0.455;0.111;0.4;0.4;0.368;0.348;0.4
ENST00000419681_90_90;0.35;0.615;0.571;0.421;0.348;0.471;0.125;0.455;1.0;0.0;0.5;0.4;0.444;0.348;0.167
ENST00000431917_90_90;0.105;0.0;0.0;0.105;0.087;0.118;0.0;0.111;0.0;1.0;0.0;0.1;0.111;0.087;0.333
ENST00000444735_90_90;0.391;0.368;0.5;0.391;0.565;0.304;0.077;0.4;0.5;0.0;1.0;0.375;0.292;0.5;0.118
ENSMUST00000027512_90_90;0.773;0.571;0.619;0.857;0.72;0.762;0.05;0.4;0.4;0.1;0.375;1.0;0.9;0.87;0.3
ENSMUST00000113186_90_90;0.682;0.632;0.524;0.762;0.64;0.842;0.056;0.368;0.444;0.111;0.292;0.9;1.0;0.783;0.333
ENSMUST00000113190_90_90;0.75;0.5;0.542;0.75;0.84;0.667;0.043;0.348;0.348;0.087;0.5;0.87;0.783;1.0;0.261
ENSMUST00000144047_90_90;0.316;0.118;0.111;0.316;0.261;0.353;0.0;0.4;0.167;0.333;0.118;0.3;0.333;0.261;1.0
