;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.487;0.511;0.804;0.533;0.796;0.796;0.796;0.741;0.682;0.625;0.234;0.934;0.875;0.345;0.772;0.473;0.503;0.217;0.499;0.52;0.52;0.457;0.12;0.284;0.226;0.566;0.212;0.12;0.331;0.454;0.249;0.363;0.934;0.157;0.149;0.365;0.875;0.893;0.94;0.837;0.772;0.78;0.485;0.515;0.511;0.693;0.809;0.154;0.693;0.461;0.152;0.809;0.08;0.469;0.543;0.543;0.543;0.543;0.543;0.278;0.543;0.022;0.045
ENSCAFT00000013439_90_90;0.487;1.0;0.893;0.444;0.585;0.438;0.438;0.44;0.398;0.47;0.423;0.128;0.467;0.46;0.139;0.502;0.782;0.868;0.225;0.835;0.561;0.561;0.522;0.077;0.248;0.188;0.476;0.172;0.077;0.297;0.549;0.211;0.331;0.467;0.025;0.102;0.152;0.46;0.434;0.462;0.428;0.502;0.345;0.836;0.928;0.893;0.476;0.446;0.107;0.476;0.252;0.025;0.446;0.011;0.52;0.581;0.581;0.581;0.581;0.581;0.242;0.581;0.007;0.007
ENSCAFT00000037016_90_90;0.511;0.893;1.0;0.464;0.615;0.458;0.458;0.46;0.416;0.494;0.446;0.136;0.491;0.481;0.146;0.531;0.829;0.897;0.239;0.935;0.59;0.59;0.551;0.082;0.265;0.201;0.506;0.184;0.082;0.317;0.58;0.226;0.354;0.491;0.027;0.108;0.161;0.481;0.457;0.486;0.449;0.531;0.362;0.887;0.96;1.0;0.501;0.466;0.114;0.501;0.267;0.026;0.466;0.012;0.549;0.611;0.611;0.611;0.611;0.611;0.259;0.611;0.007;0.007
ENSCAFT00000021145_90_90;0.804;0.444;0.464;1.0;0.531;0.99;0.99;0.988;0.933;0.845;0.788;0.227;0.772;0.92;0.277;0.656;0.432;0.458;0.187;0.454;0.525;0.525;0.426;0.103;0.244;0.194;0.498;0.181;0.103;0.284;0.464;0.213;0.312;0.772;0.12;0.127;0.295;0.92;0.736;0.775;0.883;0.656;0.641;0.442;0.468;0.464;0.85;0.994;0.131;0.85;0.417;0.149;0.994;0.086;0.436;0.539;0.539;0.539;0.539;0.539;0.239;0.539;0.019;0.038
ENSCAFT00000025193_90_90;0.533;0.585;0.615;0.531;1.0;0.525;0.525;0.526;0.486;0.561;0.517;0.167;0.515;0.543;0.154;0.55;0.612;0.652;0.229;0.647;0.94;0.94;0.803;0.134;0.292;0.236;0.591;0.223;0.134;0.337;0.833;0.258;0.367;0.515;0.025;0.119;0.166;0.543;0.483;0.51;0.512;0.55;0.397;0.583;0.621;0.615;0.57;0.532;0.124;0.57;0.257;0.025;0.532;0.0;0.783;0.947;0.947;0.947;0.947;0.947;0.286;0.947;0.021;0.042
ENST00000302271_90_90;0.796;0.438;0.458;0.99;0.525;1.0;1.0;0.988;0.942;0.845;0.797;0.227;0.764;0.911;0.277;0.648;0.427;0.452;0.187;0.448;0.519;0.519;0.421;0.103;0.244;0.194;0.491;0.181;0.103;0.278;0.459;0.213;0.306;0.764;0.12;0.127;0.295;0.911;0.728;0.767;0.875;0.648;0.641;0.436;0.462;0.458;0.841;0.984;0.131;0.841;0.41;0.149;0.984;0.086;0.43;0.533;0.533;0.533;0.533;0.533;0.239;0.533;0.019;0.038
ENST00000374612_90_90;0.796;0.438;0.458;0.99;0.525;1.0;1.0;0.988;0.942;0.845;0.797;0.227;0.764;0.911;0.277;0.648;0.427;0.452;0.187;0.448;0.519;0.519;0.421;0.103;0.244;0.194;0.491;0.181;0.103;0.278;0.459;0.213;0.306;0.764;0.12;0.127;0.295;0.911;0.728;0.767;0.875;0.648;0.641;0.436;0.462;0.458;0.841;0.984;0.131;0.841;0.41;0.149;0.984;0.086;0.43;0.533;0.533;0.533;0.533;0.533;0.239;0.533;0.019;0.038
ENST00000374616_90_90;0.796;0.44;0.46;0.988;0.526;0.988;0.988;1.0;0.931;0.857;0.788;0.224;0.763;0.909;0.275;0.648;0.429;0.454;0.185;0.45;0.52;0.52;0.422;0.102;0.241;0.192;0.492;0.179;0.102;0.281;0.46;0.211;0.309;0.763;0.119;0.125;0.292;0.909;0.729;0.767;0.874;0.648;0.633;0.439;0.464;0.46;0.84;0.984;0.13;0.84;0.412;0.147;0.984;0.085;0.432;0.535;0.535;0.535;0.535;0.535;0.236;0.535;0.018;0.037
ENST00000427764_90_90;0.741;0.398;0.416;0.933;0.486;0.942;0.942;0.931;1.0;0.788;0.847;0.24;0.709;0.855;0.221;0.593;0.388;0.41;0.137;0.407;0.48;0.48;0.381;0.078;0.195;0.145;0.444;0.132;0.078;0.229;0.425;0.164;0.258;0.709;0.128;0.081;0.238;0.855;0.673;0.712;0.818;0.593;0.585;0.396;0.42;0.416;0.784;0.927;0.073;0.784;0.353;0.158;0.927;0.091;0.391;0.495;0.495;0.495;0.495;0.495;0.19;0.495;0.02;0.04
ENST00000478691_90_90;0.682;0.47;0.494;0.845;0.561;0.845;0.845;0.857;0.788;1.0;0.92;0.261;0.65;0.796;0.151;0.755;0.486;0.518;0.215;0.513;0.555;0.555;0.448;0.088;0.246;0.191;0.533;0.176;0.088;0.292;0.522;0.213;0.325;0.65;0.0;0.146;0.168;0.796;0.615;0.654;0.76;0.755;0.518;0.468;0.499;0.494;0.981;0.84;0.151;0.981;0.27;0.005;0.84;0.0;0.459;0.572;0.572;0.572;0.572;0.572;0.241;0.572;0.0;0.014
