;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.524;0.533;0.533;0.549;0.533;0.037;0.491;0.533;0.993;0.826;0.826;0.642;0.993;0.268;0.311;0.198
ENST00000341049_90_90;0.524;1.0;0.826;0.826;0.938;0.826;0.039;0.775;0.826;0.528;0.533;0.533;0.321;0.528;0.064;0.038;0.048
ENST00000393467_90_90;0.533;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.533;0.624;0.624;0.305;0.533;0.076;0.0;0.0
ENST00000393468_90_90;0.533;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.533;0.624;0.624;0.305;0.533;0.076;0.0;0.0
ENST00000393470_90_90;0.549;0.938;0.88;0.88;1.0;0.88;0.041;0.826;0.88;0.554;0.562;0.562;0.338;0.554;0.068;0.04;0.051
ENST00000405348_90_90;0.533;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.533;0.624;0.624;0.305;0.533;0.076;0.0;0.0
ENST00000451122_90_90;0.037;0.039;0.0;0.0;0.041;0.0;1.0;0.0;0.0;0.039;0.0;0.0;0.052;0.039;0.0;0.059;0.118
ENST00000456473_90_90;0.491;0.775;0.939;0.939;0.826;0.939;0.0;1.0;0.939;0.491;0.575;0.575;0.319;0.491;0.079;0.0;0.0
ENST00000614113_90_90;0.533;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.533;0.624;0.624;0.305;0.533;0.076;0.0;0.0
ENSMUST00000007799_90_90;0.993;0.528;0.533;0.533;0.554;0.533;0.039;0.491;0.533;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000115453_90_90;0.826;0.533;0.624;0.624;0.562;0.624;0.0;0.575;0.624;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115454_90_90;0.826;0.533;0.624;0.624;0.562;0.624;0.0;0.575;0.624;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115455_90_90;0.642;0.321;0.305;0.305;0.338;0.305;0.052;0.319;0.305;0.648;0.571;0.571;1.0;0.648;0.413;0.35;0.198
ENSMUST00000115456_90_90;0.993;0.528;0.533;0.533;0.554;0.533;0.039;0.491;0.533;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000123439_90_90;0.268;0.064;0.076;0.076;0.068;0.076;0.0;0.079;0.076;0.268;0.324;0.324;0.413;0.268;1.0;0.319;0.069
ENSMUST00000150901_90_90;0.311;0.038;0.0;0.0;0.04;0.0;0.059;0.0;0.0;0.316;0.165;0.165;0.35;0.316;0.319;1.0;0.381
ENSMUST00000177234_90_90;0.198;0.048;0.0;0.0;0.051;0.0;0.118;0.0;0.0;0.202;0.031;0.031;0.198;0.202;0.069;0.381;1.0
