;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.825;0.736;0.891;0.059;0.243;0.148;0.215;0.261;0.166;0.059;0.825;1.0;0.733
ENSCAFT00000008030_90_90;0.825;1.0;0.842;0.736;0.057;0.235;0.1;0.207;0.166;0.162;0.057;1.0;0.825;0.766
ENST00000293217_90_90;0.736;0.842;1.0;0.818;0.097;0.333;0.069;0.215;0.215;0.166;0.097;0.842;0.736;0.679
ENST00000301608_90_90;0.891;0.736;0.818;1.0;0.103;0.297;0.152;0.225;0.327;0.172;0.103;0.736;0.891;0.699
ENST00000572047_90_90;0.059;0.057;0.097;0.103;1.0;0.196;0.0;0.0;0.262;0.0;1.0;0.057;0.059;0.0
ENST00000573078_90_90;0.243;0.235;0.333;0.297;0.196;1.0;0.35;0.0;0.553;0.0;0.196;0.235;0.243;0.187
ENST00000576743_90_90;0.148;0.1;0.069;0.152;0.0;0.35;1.0;0.0;0.483;0.0;0.0;0.1;0.148;0.111
ENST00000587927_90_90;0.215;0.207;0.215;0.225;0.0;0.0;0.0;1.0;0.0;0.448;0.0;0.207;0.215;0.23
ENST00000588176_90_90;0.261;0.166;0.215;0.327;0.262;0.553;0.483;0.0;1.0;0.0;0.262;0.166;0.261;0.114
ENST00000588968_90_90;0.166;0.162;0.166;0.172;0.0;0.0;0.0;0.448;0.0;1.0;0.0;0.162;0.166;0.177
ENST00000589301_90_90;0.059;0.057;0.097;0.103;1.0;0.196;0.0;0.0;0.262;0.0;1.0;0.057;0.059;0.0
ENSMUST00000066587_90_90;0.825;1.0;0.842;0.736;0.057;0.235;0.1;0.207;0.166;0.162;0.057;1.0;0.825;0.766
ENSMUST00000072948_90_90;1.0;0.825;0.736;0.891;0.059;0.243;0.148;0.215;0.261;0.166;0.059;0.825;1.0;0.733
ENSMUST00000148601_90_90;0.733;0.766;0.679;0.699;0.0;0.187;0.111;0.23;0.114;0.177;0.0;0.766;0.733;1.0
