;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.633;0.612;0.576;0.566;0.595;0.926;0.585;0.575;0.585;0.547;0.536;0.932;0.774;0.935
transcript17_ggor;1.0;1.0;0.633;0.612;0.576;0.566;0.595;0.926;0.585;0.575;0.585;0.547;0.536;0.932;0.774;0.935
transcript11_ggor;0.633;0.633;1.0;0.97;0.495;0.482;0.473;0.653;0.431;0.42;0.372;0.447;0.434;0.635;0.93;0.637
transcript18_ggor;0.612;0.612;0.97;1.0;0.466;0.453;0.443;0.616;0.405;0.394;0.346;0.421;0.408;0.614;0.93;0.616
transcript12_ppan;0.576;0.576;0.495;0.466;1.0;0.984;1.0;1.0;0.987;0.971;0.907;0.97;0.962;0.607;0.582;0.618
transcript19_ppan;0.566;0.566;0.482;0.453;0.984;1.0;0.983;0.984;0.971;0.987;0.891;0.954;0.977;0.598;0.565;0.608
transcript20_ppan;0.595;0.595;0.473;0.443;1.0;0.983;1.0;1.0;0.986;0.969;0.957;0.968;0.96;0.595;0.558;0.606
transcript12_ptro;0.926;0.926;0.653;0.616;1.0;0.984;1.0;1.0;0.995;0.979;0.914;0.977;0.969;1.0;0.848;0.995
transcript12_hsap;0.585;0.585;0.431;0.405;0.987;0.971;0.986;0.995;1.0;0.984;0.92;0.959;0.952;0.62;0.5;0.638
transcript19_hsap;0.575;0.575;0.42;0.394;0.971;0.987;0.969;0.979;0.984;1.0;0.904;0.944;0.967;0.61;0.486;0.628
transcript20_hsap;0.585;0.585;0.372;0.346;0.907;0.891;0.957;0.914;0.92;0.904;1.0;0.88;0.872;0.568;0.466;0.585
transcript12_ggor;0.547;0.547;0.447;0.421;0.97;0.954;0.968;0.977;0.959;0.944;0.88;1.0;0.976;0.552;0.475;0.556
transcript19_ggor;0.536;0.536;0.434;0.408;0.962;0.977;0.96;0.969;0.952;0.967;0.872;0.976;1.0;0.547;0.458;0.552
transcript8_pabe;0.932;0.932;0.635;0.614;0.607;0.598;0.595;1.0;0.62;0.61;0.568;0.552;0.547;1.0;0.818;0.978
transcript18_hsap;0.774;0.774;0.93;0.93;0.582;0.565;0.558;0.848;0.5;0.486;0.466;0.475;0.458;0.818;1.0;0.846
transcript21_hsap;0.935;0.935;0.637;0.616;0.618;0.608;0.606;0.995;0.638;0.628;0.585;0.556;0.552;0.978;0.846;1.0
