;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.606;1.0;0.222;0.643;1.0;1.0;1.0;1.0;1.0;0.182;0.606;1.0;0.939
transcript8_ENSHGLG00100006079;0.606;1.0;0.556;0.167;0.4;0.357;0.357;0.357;0.613;0.606;0.13;0.905;0.606;0.594
transcript6_ENSPCIG00000036398;1.0;0.556;1.0;0.2;0.643;1.0;1.0;1.0;1.0;1.0;0.185;0.556;1.0;1.0
transcript7_ENSPCIG00000036398;0.222;0.167;0.2;1.0;0.364;0.429;0.429;0.429;0.222;0.222;0.222;0.167;0.222;0.222
transcript7_ENSMUNG00000007775;0.643;0.4;0.643;0.364;1.0;0.643;0.643;0.643;0.643;0.643;0.333;0.364;0.643;0.643
transcript16_ENSMUNG00000007775;1.0;0.357;1.0;0.429;0.643;1.0;1.0;1.0;1.0;1.0;0.214;0.429;1.0;1.0
transcript23_ENSMUNG00000007775;1.0;0.357;1.0;0.429;0.643;1.0;1.0;1.0;1.0;1.0;0.214;0.429;1.0;1.0
transcript16_ENSMUNG00000002377;1.0;0.357;1.0;0.429;0.643;1.0;1.0;1.0;1.0;1.0;0.214;0.429;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.613;1.0;0.222;0.643;1.0;1.0;1.0;1.0;1.0;0.194;0.613;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.606;1.0;0.222;0.643;1.0;1.0;1.0;1.0;1.0;0.182;0.606;1.0;0.939
transcript7_ENSXMAG00000026005;0.182;0.13;0.185;0.222;0.333;0.214;0.214;0.214;0.194;0.182;1.0;0.13;0.182;0.194
transcript8_ENSXMAG00000026005;0.606;0.905;0.556;0.167;0.364;0.429;0.429;0.429;0.613;0.606;0.13;1.0;0.606;0.594
transcript9_ENSXMAG00000026005;1.0;0.606;1.0;0.222;0.643;1.0;1.0;1.0;1.0;1.0;0.182;0.606;1.0;0.939
transcript10_ENSXMAG00000026005;0.939;0.594;1.0;0.222;0.643;1.0;1.0;1.0;1.0;0.939;0.194;0.594;0.939;1.0
