;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript34_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;0.975;0.975;1.0;0.291;1.0;1.0;1.0;0.97;0.986;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;0.975;0.975;1.0;0.297;1.0;1.0;1.0;0.968;0.985;1.0
transcript27_ENSRNOG00000031503;0.975;0.975;1.0;1.0;0.978;0.365;0.935;0.978;0.935;0.893;0.915;0.978
transcript34_ENSRNOG00000031503;0.975;0.975;1.0;1.0;0.978;0.365;0.935;0.978;0.935;0.893;0.915;0.978
transcript27_ENSMUGG00000013649;1.0;1.0;0.978;0.978;1.0;0.332;0.964;1.0;0.964;0.935;0.952;1.0
transcript37_ENSMUGG00000013649;0.291;0.297;0.365;0.365;0.332;1.0;0.272;0.332;0.272;0.238;0.258;0.332
transcript38_ENSMUGG00000013649;1.0;1.0;0.935;0.935;0.964;0.272;1.0;0.964;1.0;0.97;0.986;0.964
transcript40_ENSMUGG00000013649;1.0;1.0;0.978;0.978;1.0;0.332;0.964;1.0;0.964;0.935;0.952;1.0
transcript45_ENSMUGG00000013649;1.0;1.0;0.935;0.935;0.964;0.272;1.0;0.964;1.0;0.97;0.986;0.964
transcript46_ENSMUGG00000013649;0.97;0.968;0.893;0.893;0.935;0.238;0.97;0.935;0.97;1.0;0.984;0.935
transcript49_ENSMUGG00000013649;0.986;0.985;0.915;0.915;0.952;0.258;0.986;0.952;0.986;0.984;1.0;0.952
transcript39_ENSMUGG00000013592;1.0;1.0;0.978;0.978;1.0;0.332;0.964;1.0;0.964;0.935;0.952;1.0
