;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.886;0.886;0.886;0.773;0.748;0.773;0.687;0.773;0.609;0.522;0.69;0.621;0.665;0.597;0.644;0.708;0.706;0.625;0.451;0.708;0.852;0.759;0.763;0.785;0.785;0.796;0.704;0.772;0.759;0.56;0.611;0.683;0.849;0.849;0.849
transcript38_ENSCGRG00015005362;0.886;1.0;1.0;1.0;0.853;0.828;0.853;0.764;0.853;0.644;0.557;0.77;0.698;0.73;0.659;0.699;0.76;0.758;0.677;0.505;0.76;0.962;0.862;0.844;0.895;0.895;0.906;0.806;0.879;0.862;0.661;0.676;0.751;0.959;0.959;0.959
transcript38_ENSCGRG00000018457;0.886;1.0;1.0;1.0;0.853;0.828;0.853;0.764;0.853;0.644;0.557;0.77;0.698;0.73;0.659;0.699;0.76;0.758;0.677;0.505;0.76;0.962;0.862;0.844;0.895;0.895;0.906;0.806;0.879;0.862;0.661;0.676;0.751;0.959;0.959;0.959
transcript38_ENSSTOG00000019743;0.886;1.0;1.0;1.0;0.853;0.828;0.853;0.764;0.853;0.644;0.557;0.77;0.698;0.73;0.659;0.699;0.76;0.758;0.677;0.505;0.76;0.962;0.862;0.844;0.895;0.895;0.906;0.806;0.879;0.862;0.661;0.676;0.751;0.959;0.959;0.959
transcript37_ENSMUGG00000013649;0.773;0.853;0.853;0.853;1.0;0.969;1.0;0.882;1.0;0.747;0.635;0.889;0.793;0.841;0.743;0.819;0.621;0.62;0.566;0.425;0.621;0.859;0.772;0.973;0.792;0.792;0.775;0.704;0.776;0.772;0.62;0.766;0.867;0.862;0.862;0.862
transcript37_ENSMUGG00000013592;0.748;0.828;0.828;0.828;0.969;1.0;0.969;0.854;0.969;0.736;0.625;0.862;0.769;0.81;0.716;0.845;0.609;0.608;0.553;0.413;0.609;0.832;0.747;0.943;0.768;0.768;0.753;0.684;0.752;0.747;0.597;0.739;0.836;0.835;0.835;0.835
transcript37_ENSCGRG00001010245;0.773;0.853;0.853;0.853;1.0;0.969;1.0;0.882;1.0;0.747;0.635;0.889;0.793;0.841;0.743;0.819;0.621;0.62;0.566;0.425;0.621;0.859;0.772;0.973;0.792;0.792;0.775;0.704;0.776;0.772;0.62;0.766;0.867;0.862;0.862;0.862
transcript37_ENSPEMG00000024651;0.687;0.764;0.764;0.764;0.882;0.854;0.882;1.0;0.882;0.633;0.717;0.803;0.896;0.757;0.84;0.706;0.579;0.577;0.632;0.388;0.579;0.757;0.861;0.858;0.712;0.712;0.702;0.785;0.699;0.861;0.529;0.868;0.779;0.76;0.76;0.76
transcript37_ENSSTOG00000019743;0.773;0.853;0.853;0.853;1.0;0.969;1.0;0.882;1.0;0.747;0.635;0.889;0.793;0.841;0.743;0.819;0.621;0.62;0.566;0.425;0.621;0.859;0.772;0.973;0.792;0.792;0.775;0.704;0.776;0.772;0.62;0.766;0.867;0.862;0.862;0.862
transcript57_ENSMUGG00000013649;0.609;0.644;0.644;0.644;0.747;0.736;0.747;0.633;0.747;1.0;0.847;0.69;0.588;0.642;0.538;0.868;0.417;0.415;0.359;0.318;0.417;0.683;0.587;0.774;0.616;0.616;0.587;0.508;0.6;0.587;0.549;0.533;0.631;0.686;0.686;0.686
