;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.821;0.939;0.8;0.939;0.351;0.82;0.329;0.324;0.822;0.297;0.941;0.822;0.393;0.03;0.112
ENSCAFT00000043863_90_90;0.821;1.0;0.766;0.915;0.766;0.391;0.653;0.347;0.377;0.944;0.321;0.774;0.944;0.395;0.039;0.107
ENST00000264183_90_90;0.939;0.766;1.0;0.815;1.0;0.358;0.875;0.334;0.328;0.766;0.302;0.921;0.766;0.401;0.031;0.114
ENST00000349213_90_90;0.8;0.915;0.815;1.0;0.815;0.447;0.696;0.355;0.385;0.915;0.366;0.754;0.915;0.448;0.04;0.146
ENST00000366603_90_90;0.939;0.766;1.0;0.815;1.0;0.358;0.875;0.334;0.328;0.766;0.302;0.921;0.766;0.401;0.031;0.114
ENST00000418304_90_90;0.351;0.391;0.358;0.447;0.358;1.0;0.391;0.0;0.0;0.391;0.813;0.318;0.391;0.795;0.0;0.32
ENST00000421364_90_90;0.82;0.653;0.875;0.696;0.875;0.391;1.0;0.367;0.251;0.653;0.333;0.806;0.653;0.439;0.058;0.123
ENST00000444620_90_90;0.329;0.347;0.334;0.355;0.334;0.0;0.367;1.0;0.516;0.347;0.0;0.324;0.347;0.0;0.086;0.0
ENST00000474953_90_90;0.324;0.377;0.328;0.385;0.328;0.0;0.251;0.516;1.0;0.377;0.0;0.319;0.377;0.0;0.09;0.0
ENSMUST00000039538_90_90;0.822;0.944;0.766;0.915;0.766;0.391;0.653;0.347;0.377;1.0;0.357;0.807;1.0;0.434;0.039;0.14
ENSMUST00000110533_90_90;0.297;0.321;0.302;0.366;0.302;0.813;0.333;0.0;0.0;0.357;1.0;0.293;0.357;0.729;0.0;0.35
ENSMUST00000110534_90_90;0.941;0.774;0.921;0.754;0.921;0.318;0.806;0.324;0.319;0.807;0.293;1.0;0.807;0.385;0.029;0.108
ENSMUST00000110536_90_90;0.822;0.944;0.766;0.915;0.766;0.391;0.653;0.347;0.377;1.0;0.357;0.807;1.0;0.434;0.039;0.14
ENSMUST00000129488_90_90;0.393;0.395;0.401;0.448;0.401;0.795;0.439;0.0;0.0;0.434;0.729;0.385;0.434;1.0;0.0;0.285
ENSMUST00000151151_90_90;0.03;0.039;0.031;0.04;0.031;0.0;0.058;0.086;0.09;0.039;0.0;0.029;0.039;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.112;0.107;0.114;0.146;0.114;0.32;0.123;0.0;0.0;0.14;0.35;0.108;0.14;0.285;0.0;1.0
