;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.898;0.587;0.893;0.746;0.385;0.903;0.746;0.903;0.746;0.903;0.593;0.279;0.076;0.12
ENST00000360194_90_90;0.898;1.0;0.587;0.942;0.79;0.385;0.949;0.79;0.86;0.707;0.86;0.593;0.248;0.076;0.12
ENST00000525338_90_90;0.587;0.587;1.0;0.59;0.678;0.455;0.56;0.678;0.526;0.638;0.526;0.557;0.319;0.134;0.125
ENST00000528985_90_90;0.893;0.942;0.59;1.0;0.742;0.387;0.898;0.742;0.855;0.702;0.855;0.596;0.25;0.076;0.121
ENST00000529731_90_90;0.746;0.79;0.678;0.742;1.0;0.311;0.842;1.0;0.754;0.897;0.754;0.416;0.362;0.082;0.139
ENST00000530043_90_90;0.385;0.385;0.455;0.387;0.311;1.0;0.368;0.311;0.337;0.278;0.337;0.534;0.225;0.194;0.0
ENST00000533050_90_90;0.903;0.949;0.56;0.898;0.842;0.368;1.0;0.842;0.907;0.754;0.907;0.572;0.299;0.071;0.115
ENST00000627851_90_90;0.746;0.79;0.678;0.742;1.0;0.311;0.842;1.0;0.754;0.897;0.754;0.416;0.362;0.082;0.139
ENSMUST00000059057_90_90;0.903;0.86;0.526;0.855;0.754;0.337;0.907;0.754;1.0;0.842;1.0;0.607;0.299;0.045;0.115
ENSMUST00000063782_90_90;0.746;0.707;0.638;0.702;0.897;0.278;0.754;0.897;0.842;1.0;0.842;0.449;0.362;0.054;0.139
ENSMUST00000121564_90_90;0.903;0.86;0.526;0.855;0.754;0.337;0.907;0.754;1.0;0.842;1.0;0.607;0.299;0.045;0.115
ENSMUST00000125087_90_90;0.593;0.593;0.557;0.596;0.416;0.534;0.572;0.416;0.607;0.449;0.607;1.0;0.291;0.075;0.0
ENSMUST00000133739_90_90;0.279;0.248;0.319;0.25;0.362;0.225;0.299;0.362;0.299;0.362;0.299;0.291;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.076;0.076;0.134;0.076;0.082;0.194;0.071;0.082;0.045;0.054;0.045;0.075;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.12;0.12;0.125;0.121;0.139;0.0;0.115;0.139;0.115;0.139;0.115;0.0;0.0;0.0;1.0
