nucHom;degHom;tsm
1.0;1.0;1.0
0.934;0.901;0.917
0.989;1.0;0.994
0.954;0.958;0.956
0.982;0.99;0.986
0.656;0.939;0.797
0.679;0.997;0.838
0.568;0.942;0.755
0.557;0.916;0.737
0.973;0.964;0.968
0.937;0.924;0.931
0.957;0.974;0.966
0.921;0.93;0.925
0.962;0.964;0.963
0.966;0.96;0.963
0.982;0.992;0.987
0.923;0.96;0.942
0.322;0.225;0.274
0.673;0.601;0.637
0.967;0.971;0.969
0.988;1.0;0.994
0.622;0.549;0.586
0.974;1.0;0.987
0.664;0.733;0.699
0.596;0.648;0.622
0.759;0.919;0.839
0.787;0.957;0.872
0.974;1.0;0.987
0.912;0.905;0.909
0.66;0.947;0.803
0.709;0.988;0.849
0.982;1.0;0.991
0.982;1.0;0.991
0.83;0.931;0.881
0.802;0.918;0.86
0.863;0.927;0.895
0.662;0.974;0.818
0.525;0.833;0.679
0.136;0.221;0.178
0.077;0.103;0.09
0.0;0.0;0.0
0.0;0.0;0.0
0.013;0.028;0.021
0.458;0.779;0.619
0.662;0.974;0.818
0.662;0.974;0.818
0.457;1.0;0.729
0.451;0.984;0.718
0.98;0.983;0.982
0.015;0.025;0.02
0.01;0.019;0.014
0.037;0.061;0.049
0.058;0.029;0.044
0.62;0.541;0.581
0.051;0.052;0.051
0.052;0.081;0.067
0.064;0.098;0.081
0.671;0.593;0.632
0.015;0.025;0.02
0.046;0.071;0.058
0.015;0.025;0.02
0.029;0.044;0.036
0.103;0.146;0.124
0.034;0.054;0.044
0.077;0.117;0.097
0.113;0.163;0.138
0.071;0.109;0.09
0.167;0.211;0.189
0.091;0.065;0.078
0.671;0.593;0.632
0.103;0.146;0.124
0.203;0.217;0.21
0.026;0.033;0.029
0.064;0.098;0.081
0.588;0.48;0.534
0.088;0.134;0.111
0.056;0.063;0.059
0.006;0.013;0.009
0.272;0.347;0.309
0.044;0.073;0.058
0.329;0.29;0.309
0.055;0.061;0.058
0.026;0.033;0.029
0.071;0.109;0.09
0.066;0.104;0.085
0.98;0.983;0.982
0.052;0.079;0.066
0.322;0.223;0.273
0.006;0.013;0.009
0.272;0.347;0.309
0.608;1.0;0.804
0.58;0.941;0.76
0.608;1.0;0.804
0.892;0.859;0.875
0.918;1.0;0.959
0.979;1.0;0.99
0.944;1.0;0.972
0.935;0.975;0.955
0.92;0.967;0.944
0.92;0.967;0.944
0.96;1.0;0.98
0.61;1.0;0.805
0.581;0.941;0.761
0.269;1.0;0.635
0.0;0.0;0.0
0.269;1.0;0.635
0.982;1.0;0.991
0.982;1.0;0.991
0.673;0.609;0.641
0.673;0.609;0.641
0.035;0.059;0.047
0.039;0.038;0.038
0.037;0.061;0.049
0.006;0.013;0.009
0.988;1.0;0.994
0.406;0.518;0.462
0.934;0.901;0.917
1.0;1.0;1.0
0.923;0.896;0.909
0.887;0.854;0.871
0.916;0.885;0.901
0.584;0.802;0.693
0.608;0.86;0.734
0.608;0.942;0.775
0.595;0.916;0.756
0.907;0.863;0.885
0.872;0.823;0.847
0.892;0.873;0.883
0.856;0.829;0.843
0.897;0.863;0.88
0.9;0.859;0.879
0.916;0.887;0.901
0.857;0.856;0.857
0.345;0.252;0.298
0.607;0.497;0.552
0.901;0.866;0.883
0.922;0.896;0.909
0.556;0.445;0.501
0.913;0.905;0.909
0.696;0.811;0.754
0.625;0.716;0.67
0.714;0.824;0.769
0.741;0.862;0.801
0.912;0.905;0.909
0.972;1.0;0.986
0.591;0.765;0.678
0.639;0.806;0.723
0.916;0.895;0.905
0.916;0.895;0.905
0.767;0.826;0.796
0.742;0.814;0.778
0.797;0.822;0.809
0.631;0.9;0.766
0.491;0.755;0.623
0.092;0.129;0.111
0.083;0.117;0.1
0.0;0.0;0.0
0.0;0.0;0.0
0.013;0.032;0.022
0.4;0.661;0.53
0.631;0.9;0.766
0.631;0.9;0.766
0.441;0.905;0.673
0.434;0.889;0.661
0.914;0.881;0.897
0.016;0.028;0.022
0.01;0.021;0.015
0.009;0.011;0.01
0.062;0.033;0.048
0.554;0.438;0.496
0.055;0.058;0.057
0.056;0.091;0.073
0.069;0.109;0.089
0.605;0.491;0.548
