;id_transcript;orthoorthologues;tsm_scores
0;ENSBTAT00000033630_98;ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.917:0.9940000000000001:0.986:0.797:0.838:0.755:0.737:0.968:0.9309999999999999:0.966:0.925:0.963:0.963:0.987:0.9420000000000001:0.637:0.9940000000000001:0.987:0.6990000000000001:0.8390000000000001:0.872:0.987:0.909:0.8029999999999999:0.8490000000000001:0.991:0.991:0.8809999999999999:0.86:0.895:0.818:0.679:0.619:0.818:0.818:0.7290000000000001:0.718:0.982:0.632:0.632:0.534:0.982:0.804:0.76:0.804:0.875:0.9590000000000001:0.99:0.972:0.955:0.9440000000000001:0.9440000000000001:0.98:0.805:0.7609999999999999:0.635:0.635:0.991:0.991:0.6409999999999999:0.6409999999999999:0.9940000000000001:0.462
1;ENSBTAT00000087068_98;ENSBTAT00000033630_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.917:0.909:0.9009999999999999:0.693:0.7340000000000001:0.775:0.7559999999999999:0.885:0.847:0.883:0.843:0.88:0.879:0.9009999999999999:0.857:0.552:0.909:0.909:0.754:0.769:0.8009999999999999:0.909:0.986:0.6779999999999999:0.723:0.905:0.905:0.7959999999999999:0.778:0.809:0.7659999999999999:0.623:0.53:0.7659999999999999:0.7659999999999999:0.6729999999999999:0.6609999999999999:0.897:0.5479999999999999:0.5479999999999999:0.451:0.897:0.7040000000000001:0.6609999999999999:0.7040000000000001:0.845:0.929:0.899:0.888:0.871:0.855:0.855:0.8909999999999999:0.7040000000000001:0.66:0.644:0.644:0.905:0.905:0.555:0.555:0.9059999999999999:0.47600000000000003
2;ENSBTAT00000007048_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.9940000000000001:0.909:0.982:0.7559999999999999:0.8220000000000001:0.758:0.7390000000000001:0.9620000000000001:0.9229999999999999:0.9590000000000001:0.915:0.9520000000000001:0.948:0.99:0.951:0.58:0.9990000000000001:0.9840000000000001:0.6970000000000001:0.84:0.873:0.9840000000000001:0.905:0.8:0.8590000000000001:0.996:0.996:0.8490000000000001:0.857:0.888:0.8140000000000001:0.7040000000000001:0.6609999999999999:0.8140000000000001:0.8140000000000001:0.728:0.7290000000000001:0.9840000000000001:0.5720000000000001:0.5720000000000001:0.465:0.9840000000000001:0.797:0.7290000000000001:0.797:0.8690000000000001:0.96:0.992:0.958:0.941:0.9540000000000001:0.9540000000000001:0.986:0.799:0.73:0.659:0.6579999999999999:0.993:0.993:0.581:0.581:0.998:0.479
3;ENSBTAT00000074158_98;ENSCAFT00000071083_98;0.99
4;ENSBTAT00000082276_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.986:0.9009999999999999:0.982:0.7440000000000001:0.809:0.759:0.74:0.971:0.9329999999999999:0.9490000000000001:0.924:0.9620000000000001:0.958:1.0:0.961:0.586:0.9890000000000001:0.976:0.6970000000000001:0.84:0.873:0.976:0.897:0.8029999999999999:0.862:1.0:1.0:0.841:0.8490000000000001:0.879:0.797:0.6859999999999999:0.644:0.797:0.797:0.716:0.716:0.998:0.58:0.58:0.47100000000000003:0.998:0.785:0.7170000000000001:0.785:0.8690000000000001:0.96:0.9940000000000001:0.95:0.9329999999999999:0.958:0.958:0.99:0.7859999999999999:0.7170000000000001:0.637:0.635:1.0:1.0:0.586:0.586:0.992:0.473
5;ENSBTAT00000033639_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.797:0.693:0.7559999999999999:0.7440000000000001:0.9079999999999999:0.502:0.47600000000000003:0.691:0.72:0.754:0.6829999999999999:0.7190000000000001:0.677:0.746:0.7140000000000001:0.377:0.7559999999999999:0.815:0.298:0.647:0.6409999999999999:0.826:0.726:0.7929999999999999:0.77:0.758:0.758:0.823:0.753:0.7709999999999999:0.765:0.78:0.8220000000000001:0.765:0.765:0.76:0.716:0.742:0.37200000000000005:0.37200000000000005:0.24600000000000002:0.742:0.929:0.9990000000000001:0.929:0.711:0.7040000000000001:0.794:0.815:0.7959999999999999:0.758:0.758:0.758:0.9209999999999999:0.99:0.631:0.6629999999999999:0.75:0.75:0.384:0.384:0.782:0.599
6;ENSBTAT00000074469_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.838:0.7340000000000001:0.8220000000000001:0.809:0.9079999999999999:0.494:0.452:0.754:0.7829999999999999:0.818:0.748:0.782:0.74:0.81:0.787:0.345:0.8220000000000001:0.833:0.304:0.626:0.621:0.847:0.746:0.785:0.794:0.8240000000000001:0.8240000000000001:0.871:0.7879999999999999:0.805:0.84:0.856:0.9:0.84:0.84:0.8340000000000001:0.7929999999999999:0.807:0.341:0.341:0.22399999999999998:0.807:0.99:0.92:0.99:0.725:0.718:0.8170000000000001:0.861:0.843:0.818:0.818:0.818:0.992:0.9229999999999999:0.725:0.758:0.818:0.818:0.349:0.349:0.818:0.6459999999999999
7;ENSBTAT00000026865_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000070142_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.755:0.775:0.758:0.759:0.502:0.494:0.8809999999999999:0.762:0.6890000000000001:0.7020000000000001:0.691:0.762:0.767:0.759:0.674:0.873:0.758:0.767:0.9009999999999999:0.879:0.924:0.767:0.785:0.6509999999999999:0.647:0.759:0.759:0.595:0.591:0.5820000000000001:0.55:0.16399999999999998:0.0:0.55:0.55:0.0:0.0:0.7509999999999999:0.865:0.865:0.915:0.7509999999999999:0.498:0.5:0.498:0.813:0.87:0.782:0.742:0.742:0.711:0.711:0.748:0.499:0.5:0.0:0.0:0.759:0.759:0.873:0.873:0.759:0.0
8;ENSBTAT00000070142_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSCAFT00000006338_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.737:0.7559999999999999:0.7390000000000001:0.74:0.47600000000000003:0.452:0.8809999999999999:0.7440000000000001:0.67:0.684:0.6709999999999999:0.743:0.748:0.74:0.655:0.852:0.7390000000000001:0.7440000000000001:0.95:0.83:0.875:0.7440000000000001:0.762:0.605:0.601:0.74:0.74:0.575:0.5710000000000001:0.561:0.63:0.24100000000000002:0.075:0.63:0.63:0.513:0.513:0.732:0.8440000000000001:0.8440000000000001:0.828:0.732:0.457:0.45799999999999996:0.457:0.7809999999999999:0.8390000000000001:0.76:0.723:0.7240000000000001:0.691:0.691:0.728:0.457:0.45899999999999996:0.0:0.0:0.74:0.74:0.852:0.852:0.74:0.045
9;ENSCAFT00000006338_98;ENSBTAT00000033630_98:ENSBTAT00000087068_98:ENSBTAT00000007048_98:ENSBTAT00000082276_98:ENSBTAT00000033639_98:ENSBTAT00000074469_98:ENSBTAT00000026865_98:ENSBTAT00000070142_98:ENSCAFT00000050118_98:ENSCAFT00000065435_98:ENSCAFT00000065492_98:ENSCAFT00000080791_98:ENSCAFT00000082469_98:ENSCAFT00000011194_98:ENSCAFT00000063372_98:ENSCAFT00000069748_98:ENSCAFT00000071679_98:ENSCAFT00000015090_98:ENSCAFT00000031424_98:ENSCAFT00000073073_98:ENSCAFT00000087699_98:ENSCAFT00020000926_98:ENSCAFT00020000929_98:ENSCAFT00020013664_98:ENSCAFT00020013669_98:ENSCAFT00020014994_98:ENSCAFT00020015002_98:ENSCAFT00020032568_98:ENSCAFT00020032581_98:ENSCAFT00020032583_98:ENST00000275884_98:ENST00000461883_98:ENST00000492720_98:ENST00000496613_98:ENST00000537639_98:ENST00000357640_98:ENST00000369752_98:ENST00000313726_98:ENST00000526757_98:ENST00000530438_98:ENST00000530991_98:ENST00000534127_98:ENST00000393274_98:ENST00000393276_98:ENST00000393277_98:ENSGALT00000000210_98:ENSGALT00000101036_98:ENSGALT00000003168_98:ENSGALT00000020969_98:ENSGALT00000079220_98:ENSGALT00000009535_98:ENSGALT00000050891_98:ENSGALT00000104435_98:ENSMUST00000172288_98:ENSMUST00000173206_98:ENSMUST00000029508_98:ENSMUST00000183271_98:ENSMUST00000077909_98:ENSMUST00000079282_98:ENSMUST00000084738_98:ENSMUST00000168005_98:ENSMUST00000036877_98:ENSMUST00000154149_98;0.968:0.885:0.9620000000000001:0.971:0.691:0.754:0.762:0.7440000000000001:0.94:0.917:0.9229999999999999:0.97:0.956:0.971:0.9309999999999999:0.55:0.9640000000000001:0.953:0.703:0.8440000000000001:0.877:0.953:0.875:0.787:0.861:0.971:0.971:0.825:0.8390000000000001:0.8640000000000001:0.738:0.637:0.589:0.738:0.738:0.6829999999999999:0.6940000000000001:0.968:0.545:0.545:0.475:0.968:0.73:0.6629999999999999:0.73:0.8909999999999999:0.945:0.99:0.9229999999999999:0.907:0.9359999999999999:0.9359999999999999:0.9620000000000001:0.731:0.6629999999999999:0.541:0.54:0.971:0.971:0.552:0.552:0.9740000000000001:0.462
