;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.588;0.978;0.913;0.997;0.949;0.585;0.225;0.974
ENST00000306107_90_90;1.0;1.0;0.588;0.978;0.913;0.997;0.949;0.585;0.225;0.974
ENST00000465413_90_90;0.588;0.588;1.0;0.566;0.644;0.586;0.538;0.995;0.0;0.564
ENST00000472644_90_90;0.978;0.978;0.566;1.0;0.89;0.974;0.926;0.563;0.23;0.996
ENST00000486979_90_90;0.913;0.913;0.644;0.89;1.0;0.909;0.861;0.642;0.137;0.887
ENSMUST00000023312_90_90;0.997;0.997;0.586;0.974;0.909;1.0;0.951;0.587;0.225;0.978
ENSMUST00000164728_90_90;0.949;0.949;0.538;0.926;0.861;0.951;1.0;0.538;0.236;0.929
ENSMUST00000167115_90_90;0.585;0.585;0.995;0.563;0.642;0.587;0.538;1.0;0.0;0.564
ENSMUST00000168071_90_90;0.225;0.225;0.0;0.23;0.137;0.225;0.236;0.0;1.0;0.23
ENSMUST00000170035_90_90;0.974;0.974;0.564;0.996;0.887;0.978;0.929;0.564;0.23;1.0
