;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.965;0.575;0.17;0.385;0.201;0.111;0.096;0.06;0.096;0.085;0.065;0.98;0.415;0.415;0.415;0.553;0.327;0.415;0.415;0.356;0.025;0.245;0.09;0.241
ENST00000319481_90_90;0.965;1.0;0.609;0.166;0.402;0.201;0.129;0.096;0.06;0.096;0.081;0.06;0.964;0.391;0.391;0.391;0.525;0.327;0.391;0.391;0.356;0.025;0.222;0.09;0.217
ENST00000357041_90_90;0.575;0.609;1.0;0.0;0.663;0.335;0.209;0.0;0.0;0.0;0.126;0.093;0.595;0.649;0.649;0.649;0.873;0.548;0.649;0.649;0.0;0.041;0.368;0.0;0.36
ENST00000399441_90_90;0.17;0.166;0.0;1.0;0.0;0.0;0.0;0.362;0.241;0.505;0.0;0.0;0.179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.495;0.0;0.0;0.566;0.0
ENST00000399443_90_90;0.385;0.402;0.663;0.0;1.0;0.476;0.355;0.0;0.0;0.0;0.0;0.145;0.397;0.95;0.95;0.95;0.713;0.803;0.95;0.95;0.0;0.069;0.561;0.0;0.295
ENST00000578013_90_90;0.201;0.201;0.335;0.0;0.476;1.0;0.066;0.0;0.0;0.0;0.0;0.0;0.206;0.476;0.476;0.476;0.362;0.597;0.476;0.476;0.0;0.0;0.087;0.0;0.0
ENST00000578055_90_90;0.111;0.129;0.209;0.0;0.355;0.066;1.0;0.0;0.0;0.0;0.0;0.416;0.117;0.304;0.304;0.304;0.221;0.135;0.304;0.304;0.0;0.219;0.345;0.0;0.349
ENST00000578091_90_90;0.096;0.096;0.0;0.362;0.0;0.0;0.0;1.0;0.73;0.654;0.0;0.0;0.101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.279;0.0;0.0;0.47;0.0
ENST00000579851_90_90;0.06;0.06;0.0;0.241;0.0;0.0;0.0;0.73;1.0;0.438;0.0;0.0;0.063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.175;0.0;0.0;0.395;0.0
ENST00000582645_90_90;0.096;0.096;0.0;0.505;0.0;0.0;0.0;0.654;0.438;1.0;0.0;0.0;0.101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.279;0.0;0.0;0.47;0.0
ENST00000584119_90_90;0.085;0.081;0.126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.09;0.0;0.0;0.0;0.047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.065;0.06;0.093;0.0;0.145;0.0;0.416;0.0;0.0;0.0;0.0;1.0;0.069;0.179;0.179;0.179;0.13;0.085;0.179;0.179;0.0;0.0;0.256;0.0;0.259
ENSMUST00000074352_90_90;0.98;0.964;0.595;0.179;0.397;0.206;0.117;0.101;0.063;0.101;0.09;0.069;1.0;0.402;0.402;0.402;0.552;0.32;0.402;0.402;0.308;0.023;0.235;0.086;0.242
ENSMUST00000117361_90_90;0.415;0.391;0.649;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000118313_90_90;0.415;0.391;0.649;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119043_90_90;0.415;0.391;0.649;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119512_90_90;0.553;0.525;0.873;0.0;0.713;0.362;0.221;0.0;0.0;0.0;0.047;0.13;0.552;0.725;0.725;0.725;1.0;0.568;0.725;0.725;0.0;0.044;0.432;0.0;0.437
ENSMUST00000121774_90_90;0.327;0.327;0.548;0.0;0.803;0.597;0.135;0.0;0.0;0.0;0.0;0.085;0.32;0.769;0.769;0.769;0.568;1.0;0.769;0.769;0.0;0.0;0.381;0.0;0.132
ENSMUST00000121808_90_90;0.415;0.391;0.649;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000121888_90_90;0.415;0.391;0.649;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000122175_90_90;0.356;0.356;0.0;0.495;0.0;0.0;0.0;0.279;0.175;0.279;0.0;0.0;0.308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.223;0.0
ENSMUST00000124570_90_90;0.025;0.025;0.041;0.0;0.069;0.0;0.219;0.0;0.0;0.0;0.0;0.0;0.023;0.063;0.063;0.063;0.044;0.0;0.063;0.063;0.0;1.0;0.093;0.0;0.081
ENSMUST00000143077_90_90;0.245;0.222;0.368;0.0;0.561;0.087;0.345;0.0;0.0;0.0;0.0;0.256;0.235;0.612;0.612;0.612;0.432;0.381;0.612;0.612;0.0;0.093;1.0;0.0;0.412
ENSMUST00000147197_90_90;0.09;0.09;0.0;0.566;0.0;0.0;0.0;0.47;0.395;0.47;0.0;0.0;0.086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.223;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.241;0.217;0.36;0.0;0.295;0.0;0.349;0.0;0.0;0.0;0.0;0.259;0.242;0.3;0.3;0.3;0.437;0.132;0.3;0.3;0.0;0.081;0.412;0.0;1.0
