;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript8_ENSAOCG00000015695;1.0;0.991;0.621;0.92;0.855;0.855;0.86;0.86;0.881;0.851;0.884;0.898;0.878;0.804;0.744;0.737;0.737;0.677;0.737;0.885;0.86;0.87;0.898;0.878;0.87
transcript8_ENSAPOG00000023408;0.991;1.0;0.617;0.927;0.861;0.861;0.866;0.866;0.887;0.858;0.89;0.905;0.883;0.81;0.75;0.743;0.743;0.683;0.744;0.892;0.866;0.876;0.905;0.883;0.876
transcript42_ENSAPOG00000023408;0.621;0.617;1.0;0.687;0.702;0.702;0.707;0.707;0.73;0.689;0.673;0.664;0.667;0.653;0.592;0.853;0.853;0.782;0.852;0.677;0.707;0.72;0.664;0.666;0.72
transcript26_ENSAOCG00000015695;0.92;0.927;0.687;1.0;0.93;0.93;0.935;0.935;0.957;0.917;0.962;0.976;0.954;0.88;0.82;0.813;0.813;0.753;0.812;0.904;0.935;0.945;0.976;0.955;0.945
transcript7_ENSAPOG00000016134;0.855;0.861;0.702;0.93;1.0;1.0;0.995;0.995;0.973;0.977;0.938;0.952;0.931;0.904;0.844;0.829;0.829;0.768;0.828;0.964;0.995;0.96;0.952;0.931;0.96
transcript7_ENSAPOG00000023408;0.855;0.861;0.702;0.93;1.0;1.0;0.995;0.995;0.973;0.977;0.938;0.952;0.931;0.904;0.844;0.829;0.829;0.768;0.828;0.964;0.995;0.96;0.952;0.931;0.96
transcript27_ENSAPOG00000016134;0.86;0.866;0.707;0.935;0.995;0.995;1.0;1.0;0.977;0.981;0.942;0.956;0.935;0.9;0.84;0.833;0.833;0.773;0.832;0.969;1.0;0.965;0.956;0.935;0.965
transcript27_ENSAPOG00000023408;0.86;0.866;0.707;0.935;0.995;0.995;1.0;1.0;0.977;0.981;0.942;0.956;0.935;0.9;0.84;0.833;0.833;0.773;0.832;0.969;1.0;0.965;0.956;0.935;0.965
transcript33_ENSAPOG00000016134;0.881;0.887;0.73;0.957;0.973;0.973;0.977;0.977;1.0;0.959;0.921;0.935;0.914;0.923;0.863;0.856;0.856;0.796;0.855;0.947;0.977;0.987;0.935;0.914;0.987
transcript35_ENSAPOG00000016134;0.851;0.858;0.689;0.917;0.977;0.977;0.981;0.981;0.959;1.0;0.924;0.938;0.917;0.882;0.822;0.815;0.815;0.755;0.814;0.95;0.981;0.947;0.938;0.917;0.947
