;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.544;0.944;0.911;0.818;0.758;0.469;0.189;0.771
ENST00000306107_90_90;1.0;1.0;0.544;0.944;0.911;0.818;0.758;0.469;0.189;0.771
ENST00000465413_90_90;0.544;0.544;1.0;0.491;0.595;0.47;0.411;0.742;0.0;0.423
ENST00000472644_90_90;0.944;0.944;0.491;1.0;0.854;0.771;0.712;0.423;0.198;0.804
ENST00000486979_90_90;0.911;0.911;0.595;0.854;1.0;0.738;0.679;0.512;0.107;0.692
ENSMUST00000023312_90_90;0.818;0.818;0.47;0.771;0.738;1.0;0.86;0.562;0.228;0.948
ENSMUST00000164728_90_90;0.758;0.758;0.411;0.712;0.679;0.86;1.0;0.448;0.243;0.81
ENSMUST00000167115_90_90;0.469;0.469;0.742;0.423;0.512;0.562;0.448;1.0;0.0;0.513
ENSMUST00000168071_90_90;0.189;0.189;0.0;0.198;0.107;0.228;0.243;0.0;1.0;0.24
ENSMUST00000170035_90_90;0.771;0.771;0.423;0.804;0.692;0.948;0.81;0.513;0.24;1.0
