id_transcript;block_sequence
ENSCAFT00000015434_90_90;1.2.5.6.8.9.10.11.12.15.17
ENST00000306107_90_90;1.2.5.6.8.9.10.11.12.15.17
ENST00000465413_90_90;7.8.10.11.12.15.17
ENST00000472644_90_90;1.2.5.6.8.9.10.12.15.17
ENST00000486979_90_90;2.5.6.8.9.10.11.12.15.17
ENSMUST00000023312_90_90;1.2.3.6.8.9.10.11.12.13.16.17
ENSMUST00000164728_90_90;1.2.3.6.8.9.10.11.12.13.14
ENSMUST00000167115_90_90;0.8.10.11.12.13.16.17
ENSMUST00000168071_90_90;1.2.3.4
ENSMUST00000170035_90_90;1.2.3.6.8.9.10.12.13.16.17
