;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.928;0.467;0.652;0.976;0.905;0.167;0.335;0.184;0.394;0.8;0.928;1.0
ENSCAFT00000009525_90_90;0.928;1.0;0.502;0.703;0.905;0.975;0.18;0.361;0.133;0.424;0.862;1.0;0.928
ENST00000305852_90_90;0.467;0.502;1.0;0.697;0.479;0.516;0.0;0.651;0.232;0.735;0.38;0.503;0.467
ENST00000357996_90_90;0.652;0.703;0.697;1.0;0.646;0.696;0.256;0.48;0.17;0.529;0.588;0.705;0.654
ENST00000379245_90_90;0.976;0.905;0.479;0.646;1.0;0.929;0.166;0.322;0.177;0.378;0.803;0.903;0.975
ENST00000405912_90_90;0.905;0.975;0.516;0.696;0.929;1.0;0.178;0.346;0.126;0.405;0.864;0.973;0.903
ENST00000413938_90_90;0.167;0.18;0.0;0.256;0.166;0.178;1.0;0.0;0.0;0.0;0.207;0.18;0.167
ENST00000414288_90_90;0.335;0.361;0.651;0.48;0.322;0.346;0.0;1.0;0.296;0.649;0.23;0.362;0.336
ENST00000432869_90_90;0.184;0.133;0.232;0.17;0.177;0.126;0.0;0.296;1.0;0.232;0.011;0.133;0.185
ENST00000441005_90_90;0.394;0.424;0.735;0.529;0.378;0.405;0.0;0.649;0.232;1.0;0.279;0.424;0.394
ENST00000451623_90_90;0.8;0.862;0.38;0.588;0.803;0.864;0.207;0.23;0.011;0.279;1.0;0.861;0.799
ENSMUST00000070039_90_90;0.928;1.0;0.503;0.705;0.903;0.973;0.18;0.362;0.133;0.424;0.861;1.0;0.928
ENSMUST00000112487_90_90;1.0;0.928;0.467;0.654;0.975;0.903;0.167;0.336;0.185;0.394;0.799;0.928;1.0
