;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.996;0.77;0.799;0.392;0.69;0.208;0.335;0.247;0.997;0.771;0.222
ENST00000301244_90_90;0.996;1.0;0.774;0.802;0.383;0.693;0.208;0.287;0.247;0.993;0.767;0.221
ENST00000454580_90_90;0.77;0.774;1.0;0.673;0.492;0.467;0.042;0.355;0.084;0.767;0.991;0.286
ENST00000587090_90_90;0.799;0.802;0.673;1.0;0.475;0.495;0.259;0.345;0.309;0.796;0.667;0.087
ENST00000587334_90_90;0.392;0.383;0.492;0.475;1.0;0.175;0.0;0.233;0.0;0.393;0.508;0.0
ENST00000587516_90_90;0.69;0.693;0.467;0.495;0.175;1.0;0.229;0.371;0.217;0.688;0.462;0.184
ENST00000590510_90_90;0.208;0.208;0.042;0.259;0.0;0.229;1.0;0.0;0.84;0.208;0.042;0.102
ENST00000590738_90_90;0.335;0.287;0.355;0.345;0.233;0.371;0.0;1.0;0.0;0.332;0.429;0.005
ENST00000592007_90_90;0.247;0.247;0.084;0.309;0.0;0.217;0.84;0.0;1.0;0.248;0.085;0.203
ENSMUST00000098604_90_90;0.997;0.993;0.767;0.796;0.393;0.688;0.208;0.332;0.248;1.0;0.774;0.207
ENSMUST00000108236_90_90;0.771;0.767;0.991;0.667;0.508;0.462;0.042;0.429;0.085;0.774;1.0;0.263
ENSMUST00000207601_90_90;0.222;0.221;0.286;0.087;0.0;0.184;0.102;0.005;0.203;0.207;0.263;1.0
