;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.737;0.738;0.74;0.329;0.327;0.467;0.329;0.73;0.994;0.99;0.616;0.674
ENST00000336604_90_90;0.737;1.0;0.998;0.995;0.453;0.454;0.453;0.453;0.984;0.741;0.736;0.447;0.458
ENST00000356896_90_90;0.738;0.998;1.0;0.993;0.455;0.453;0.453;0.455;0.986;0.74;0.735;0.446;0.459
ENST00000396840_90_90;0.74;0.995;0.993;1.0;0.448;0.448;0.456;0.448;0.979;0.744;0.74;0.449;0.46
ENST00000436152_90_90;0.329;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.328;0.33;0.017;0.468
ENST00000465801_90_90;0.327;0.454;0.453;0.448;0.996;1.0;0.0;0.996;0.447;0.328;0.33;0.017;0.466
ENST00000487279_90_90;0.467;0.453;0.453;0.456;0.0;0.0;1.0;0.0;0.446;0.47;0.472;0.71;0.147
ENST00000615885_90_90;0.329;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.328;0.33;0.017;0.468
ENST00000619571_90_90;0.73;0.984;0.986;0.979;0.448;0.447;0.446;0.448;1.0;0.731;0.726;0.44;0.454
ENSMUST00000117675_90_90;0.994;0.741;0.74;0.744;0.328;0.328;0.47;0.328;0.731;1.0;0.995;0.619;0.674
ENSMUST00000119527_90_90;0.99;0.736;0.735;0.74;0.33;0.33;0.472;0.33;0.726;0.995;1.0;0.622;0.672
ENSMUST00000144364_90_90;0.616;0.447;0.446;0.449;0.017;0.017;0.71;0.017;0.44;0.619;0.622;1.0;0.304
ENSMUST00000148835_90_90;0.674;0.458;0.459;0.46;0.468;0.466;0.147;0.468;0.454;0.674;0.672;0.304;1.0
