;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;;0.225;0.255;0.314;0.191;0.179;0.168;0.193;0.264;0.161;0.194;0.177;0.247;0.865;0.957;0.933;0.057;0.643;0.573;0.59;0.362;0.205;0.34;0.621
ENST00000391851_90_90;0.225;;;;;;;;;;;;;0.242;0.225;0.231;0.0;0.261;0.129;0.205;0.292;0.0;0.056;0.232
ENST00000454376_90_90;0.255;;;;;;;;;;;;;0.275;0.255;0.263;0.0;0.251;0.124;0.221;0.28;0.0;0.054;0.269
ENST00000524771_90_90;0.314;;;;;;;;;;;;;0.343;0.314;0.325;0.0;0.263;0.168;0.295;0.338;0.0;0.092;0.362
ENST00000526224_90_90;0.191;;;;;;;;;;;;;0.21;0.191;0.198;0.0;0.264;0.058;0.16;0.387;0.0;0.0;0.275
ENST00000527382_90_90;0.179;;;;;;;;;;;;;0.196;0.179;0.185;0.0;0.243;0.055;0.146;0.34;0.0;0.0;0.251
ENST00000528623_90_90;0.168;;;;;;;;;;;;;0.19;0.168;0.176;0.0;0.25;0.166;0.282;0.429;0.0;0.0;0.268
ENST00000529284_90_90;0.193;;;;;;;;;;;;;0.212;0.193;0.2;0.0;0.267;0.059;0.162;0.394;0.0;0.0;0.279
ENST00000529836_90_90;0.264;;;;;;;;;;;;;0.294;0.264;0.275;0.0;0.38;0.132;0.267;0.631;0.0;0.0;0.409
ENST00000532489_90_90;0.161;;;;;;;;;;;;;0.173;0.161;0.166;0.0;0.212;0.05;0.124;0.279;0.0;0.0;0.214
ENST00000534280_90_90;0.194;;;;;;;;;;;;;0.217;0.194;0.203;0.0;0.088;0.159;0.273;0.019;0.0;0.113;0.2
ENST00000534465_90_90;0.177;;;;;;;;;;;;;0.194;0.177;0.183;0.0;0.239;0.053;0.144;0.334;0.0;0.0;0.247
ENST00000610806_90_90;0.247;;;;;;;;;;;;;0.268;0.247;0.256;0.0;0.294;0.144;0.232;0.343;0.0;0.064;0.263
ENSMUST00000045325_90_90;0.865;0.242;0.275;0.343;0.21;0.196;0.19;0.212;0.294;0.173;0.217;0.194;0.268;;;;;;;;;;;
ENSMUST00000107843_90_90;0.957;0.225;0.255;0.314;0.191;0.179;0.168;0.193;0.264;0.161;0.194;0.177;0.247;;;;;;;;;;;
ENSMUST00000207370_90_90;0.933;0.231;0.263;0.325;0.198;0.185;0.176;0.2;0.275;0.166;0.203;0.183;0.256;;;;;;;;;;;
ENSMUST00000207522_90_90;0.057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;
ENSMUST00000207659_90_90;0.643;0.261;0.251;0.263;0.264;0.243;0.25;0.267;0.38;0.212;0.088;0.239;0.294;;;;;;;;;;;
ENSMUST00000208312_90_90;0.573;0.129;0.124;0.168;0.058;0.055;0.166;0.059;0.132;0.05;0.159;0.053;0.144;;;;;;;;;;;
ENSMUST00000208778_90_90;0.59;0.205;0.221;0.295;0.16;0.146;0.282;0.162;0.267;0.124;0.273;0.144;0.232;;;;;;;;;;;
ENSMUST00000208829_90_90;0.362;0.292;0.28;0.338;0.387;0.34;0.429;0.394;0.631;0.279;0.019;0.334;0.343;;;;;;;;;;;
ENSMUST00000208938_90_90;0.205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;
ENSMUST00000209056_90_90;0.34;0.056;0.054;0.092;0.0;0.0;0.0;0.0;0.0;0.0;0.113;0.0;0.064;;;;;;;;;;;
ENSMUST00000209124_90_90;0.621;0.232;0.269;0.362;0.275;0.251;0.268;0.279;0.409;0.214;0.2;0.247;0.263;;;;;;;;;;;
