;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.766;0.753;0.698;0.685;0.692;0.74;0.721;0.726;0.966;0.966
transcript7_MGP-PahariEiJ-G0020237;0.766;1.0;0.947;0.908;0.89;0.899;0.905;0.903;0.911;0.74;0.74
transcript37_MGP-PahariEiJ-G0020237;0.753;0.947;1.0;0.861;0.844;0.853;0.957;0.955;0.963;0.778;0.778
transcript39_MGP-PahariEiJ-G0020237;0.698;0.908;0.861;1.0;0.98;0.99;0.818;0.816;0.824;0.675;0.675
transcript9_MGP-PahariEiJ-G0020237;0.685;0.89;0.844;0.98;1.0;0.989;0.801;0.799;0.807;0.663;0.663
transcript49_MGP-PahariEiJ-G0020237;0.692;0.899;0.853;0.99;0.989;1.0;0.81;0.808;0.816;0.67;0.67
transcript50_MGP-PahariEiJ-G0020237;0.74;0.905;0.957;0.818;0.801;0.81;1.0;0.912;0.92;0.766;0.766
transcript52_MGP-PahariEiJ-G0020237;0.721;0.903;0.955;0.816;0.799;0.808;0.912;1.0;0.992;0.746;0.746
transcript51_MGP-PahariEiJ-G0020237;0.726;0.911;0.963;0.824;0.807;0.816;0.92;0.992;1.0;0.75;0.75
transcript37_ENSRNOG00000031503;0.966;0.74;0.778;0.675;0.663;0.67;0.766;0.746;0.75;1.0;1.0
transcript44_ENSRNOG00000031503;0.966;0.74;0.778;0.675;0.663;0.67;0.766;0.746;0.75;1.0;1.0
