;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.928;0.471;0.652;0.986;0.914;0.168;0.334;0.184;0.398;0.8;0.928;1.0
ENSCAFT00000009525_90_90;0.928;1.0;0.507;0.703;0.914;0.985;0.181;0.36;0.132;0.429;0.862;1.0;0.928
ENST00000305852_90_90;0.471;0.507;1.0;0.697;0.479;0.516;0.0;0.651;0.232;0.735;0.38;0.509;0.472
ENST00000357996_90_90;0.652;0.703;0.697;1.0;0.646;0.696;0.256;0.48;0.17;0.529;0.588;0.705;0.654
ENST00000379245_90_90;0.986;0.914;0.479;0.646;1.0;0.929;0.166;0.322;0.177;0.378;0.803;0.914;0.986
ENST00000405912_90_90;0.914;0.985;0.516;0.696;0.929;1.0;0.178;0.346;0.126;0.405;0.864;0.985;0.914
ENST00000413938_90_90;0.168;0.181;0.0;0.256;0.166;0.178;1.0;0.0;0.0;0.0;0.207;0.181;0.168
ENST00000414288_90_90;0.334;0.36;0.651;0.48;0.322;0.346;0.0;1.0;0.296;0.649;0.23;0.361;0.335
ENST00000432869_90_90;0.184;0.132;0.232;0.17;0.177;0.126;0.0;0.296;1.0;0.232;0.011;0.132;0.184
ENST00000441005_90_90;0.398;0.429;0.735;0.529;0.378;0.405;0.0;0.649;0.232;1.0;0.279;0.43;0.399
ENST00000451623_90_90;0.8;0.862;0.38;0.588;0.803;0.864;0.207;0.23;0.011;0.279;1.0;0.861;0.799
ENSMUST00000070039_90_90;0.928;1.0;0.509;0.705;0.914;0.985;0.181;0.361;0.132;0.43;0.861;1.0;0.928
ENSMUST00000112487_90_90;1.0;0.928;0.472;0.654;0.986;0.914;0.168;0.335;0.184;0.399;0.799;0.928;1.0
