;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.936;0.936;1.0;0.802;0.429;0.381;1.0;0.249;0.958;0.893;0.893;0.252
ENST00000347662_90_90;0.936;1.0;1.0;0.936;0.855;0.37;0.404;0.936;0.268;0.893;0.954;0.954;0.271
ENST00000351691_90_90;0.936;1.0;1.0;0.936;0.855;0.37;0.404;0.936;0.268;0.893;0.954;0.954;0.271
ENST00000392745_90_90;1.0;0.936;0.936;1.0;0.802;0.429;0.381;1.0;0.249;0.958;0.893;0.893;0.252
ENST00000539721_90_90;0.802;0.855;0.855;0.802;1.0;0.243;0.351;0.802;0.319;0.76;0.809;0.809;0.322
ENST00000558700_90_90;0.429;0.37;0.37;0.429;0.243;1.0;0.238;0.429;0.061;0.452;0.389;0.389;0.122
ENST00000559734_90_90;0.381;0.404;0.404;0.381;0.351;0.238;1.0;0.381;0.0;0.392;0.417;0.417;0.0
ENST00000560371_90_90;1.0;0.936;0.936;1.0;0.802;0.429;0.381;1.0;0.249;0.958;0.893;0.893;0.252
ENST00000560463_90_90;0.249;0.268;0.268;0.249;0.319;0.061;0.0;0.249;1.0;0.207;0.222;0.222;0.774
ENSMUST00000021706_90_90;0.958;0.893;0.893;0.958;0.76;0.452;0.392;0.958;0.207;1.0;0.932;0.932;0.268
ENSMUST00000060274_90_90;0.893;0.954;0.954;0.893;0.809;0.389;0.417;0.893;0.222;0.932;1.0;1.0;0.289
ENSMUST00000117269_90_90;0.893;0.954;0.954;0.893;0.809;0.389;0.417;0.893;0.222;0.932;1.0;1.0;0.289
ENSMUST00000139162_90_90;0.252;0.271;0.271;0.252;0.322;0.122;0.0;0.252;0.774;0.268;0.289;0.289;1.0
