;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.859;0.861;0.861;0.794;0.915;0.735;0.847;0.865;0.868;0.868;0.056;0.854;0.899;0.854;0.759;0.85;0.85;0.779;0.915;0.863;0.613;0.863;0.796;0.608;0.576;0.859;0.608;0.859;0.792;0.859
transcript10_ENSMPUG00000020072;0.859;1.0;0.998;0.998;0.788;0.938;0.872;0.984;1.0;0.997;0.997;0.05;0.997;0.947;0.997;0.909;1.0;1.0;0.929;0.944;1.0;0.75;1.0;0.933;0.749;0.718;1.0;0.749;1.0;0.79;1.0
transcript17_ENSMPUG00000020072;0.861;0.998;1.0;1.0;0.79;0.941;0.874;0.986;0.997;1.0;1.0;0.048;1.0;0.944;1.0;0.907;0.997;0.997;0.926;0.941;0.997;0.747;0.997;0.93;0.747;0.715;0.998;0.747;0.998;0.788;0.998
transcript20_ENSMPUG00000020072;0.861;0.998;1.0;1.0;0.79;0.941;0.874;0.986;0.997;1.0;1.0;0.048;1.0;0.944;1.0;0.907;0.997;0.997;0.926;0.941;0.997;0.747;0.997;0.93;0.747;0.715;0.998;0.747;0.998;0.788;0.998
transcript22_ENSMPUG00000020072;0.794;0.788;0.79;0.79;1.0;0.731;0.664;0.776;0.794;0.796;0.796;0.063;0.756;0.701;0.756;0.697;0.788;0.788;0.717;0.849;0.801;0.551;0.801;0.734;0.538;0.506;0.788;0.538;0.788;0.997;0.788
transcript23_ENSMPUG00000020072;0.915;0.938;0.941;0.941;0.731;1.0;0.815;0.927;0.937;0.939;0.939;0.05;0.947;0.997;0.947;0.847;0.938;0.938;0.867;0.879;0.935;0.685;0.935;0.868;0.688;0.656;0.938;0.688;0.938;0.729;0.938
transcript24_ENSMPUG00000020072;0.735;0.872;0.874;0.874;0.664;0.815;1.0;0.861;0.879;0.881;0.881;0.054;0.883;0.828;0.883;0.776;0.867;0.867;0.796;0.823;0.879;0.629;0.879;0.812;0.622;0.59;0.872;0.622;0.872;0.663;0.872
transcript25_ENSMPUG00000020072;0.847;0.984;0.986;0.986;0.776;0.927;0.861;1.0;0.982;0.984;0.984;0.048;0.987;0.931;0.987;0.89;0.98;0.98;0.909;0.927;0.984;0.757;0.984;0.917;0.758;0.725;0.984;0.758;0.984;0.774;0.984
transcript10_ENSECAG00000007947;0.865;1.0;0.997;0.997;0.794;0.937;0.879;0.982;1.0;0.998;0.998;0.05;0.997;0.948;0.997;0.907;1.0;1.0;0.929;0.947;1.0;0.765;1.0;0.928;0.757;0.725;1.0;0.757;1.0;0.786;1.0
transcript12_ENSECAG00000007947;0.868;0.997;1.0;1.0;0.796;0.939;0.881;0.984;0.998;1.0;1.0;0.047;1.0;0.945;1.0;0.904;0.997;0.997;0.927;0.944;0.997;0.763;0.997;0.925;0.755;0.723;0.998;0.755;0.998;0.784;0.998
transcript17_ENSECAG00000007947;0.868;0.997;1.0;1.0;0.796;0.939;0.881;0.984;0.998;1.0;1.0;0.047;1.0;0.945;1.0;0.904;0.997;0.997;0.927;0.944;0.997;0.763;0.997;0.925;0.755;0.723;0.998;0.755;0.998;0.784;0.998
transcript9_ENSMLUG00000027828;0.056;0.05;0.048;0.048;0.063;0.05;0.054;0.048;0.05;0.047;0.047;1.0;0.046;0.05;0.046;0.047;0.042;0.042;0.046;0.049;0.046;0.06;0.046;0.05;0.063;0.065;0.048;0.063;0.048;0.064;0.048
transcript13_ENSMLUG00000027828;0.854;0.997;1.0;1.0;0.756;0.947;0.883;0.987;0.997;1.0;1.0;0.046;1.0;0.945;1.0;0.888;0.997;0.997;0.91;0.93;0.997;0.761;0.997;0.912;0.759;0.736;0.998;0.759;0.998;0.747;0.998
transcript14_ENSMLUG00000027828;0.899;0.947;0.944;0.944;0.701;0.997;0.828;0.931;0.948;0.945;0.945;0.05;0.945;1.0;0.945;0.84;0.95;0.95;0.863;0.877;0.944;0.708;0.944;0.858;0.708;0.686;0.948;0.708;0.948;0.697;0.948
transcript22_ENSMLUG00000027828;0.854;0.997;1.0;1.0;0.756;0.947;0.883;0.987;0.997;1.0;1.0;0.046;1.0;0.945;1.0;0.888;0.997;0.997;0.91;0.93;0.997;0.761;0.997;0.912;0.759;0.736;0.998;0.759;0.998;0.747;0.998
transcript7_ENSSTOG00000019743;0.759;0.909;0.907;0.907;0.697;0.847;0.776;0.89;0.907;0.904;0.904;0.047;0.888;0.84;0.888;1.0;0.906;0.906;0.979;0.849;0.914;0.663;0.914;0.985;0.65;0.626;0.906;0.65;0.906;0.684;0.906
transcript9_ENSSTOG00000019743;0.85;1.0;0.997;0.997;0.788;0.938;0.867;0.98;1.0;0.997;0.997;0.042;0.997;0.95;0.997;0.906;1.0;1.0;0.925;0.934;1.0;0.749;1.0;0.929;0.744;0.72;1.0;0.744;1.0;0.778;1.0
transcript17_ENSSTOG00000019743;0.85;1.0;0.997;0.997;0.788;0.938;0.867;0.98;1.0;0.997;0.997;0.042;0.997;0.95;0.997;0.906;1.0;1.0;0.925;0.934;1.0;0.749;1.0;0.929;0.744;0.72;1.0;0.744;1.0;0.778;1.0
transcript26_ENSSTOG00000019743;0.779;0.929;0.926;0.926;0.717;0.867;0.796;0.909;0.929;0.927;0.927;0.046;0.91;0.863;0.91;0.979;0.925;0.925;1.0;0.863;0.929;0.677;0.929;1.0;0.669;0.645;0.925;0.669;0.925;0.703;0.925
transcript7_ENSCCNG00000000226;0.915;0.944;0.941;0.941;0.849;0.879;0.823;0.927;0.947;0.944;0.944;0.049;0.93;0.877;0.93;0.849;0.934;0.934;0.863;1.0;0.942;0.696;0.942;0.868;0.696;0.664;0.942;0.696;0.942;0.84;0.942
transcript9_ENSCCNG00000000226;0.863;1.0;0.997;0.997;0.801;0.935;0.879;0.984;1.0;0.997;0.997;0.046;0.997;0.944;0.997;0.914;1.0;1.0;0.929;0.942;1.0;0.754;1.0;0.926;0.754;0.722;1.0;0.754;1.0;0.791;1.0
transcript18_ENSCCNG00000000226;0.613;0.75;0.747;0.747;0.551;0.685;0.629;0.757;0.765;0.763;0.763;0.06;0.761;0.708;0.761;0.663;0.749;0.749;0.677;0.696;0.754;1.0;0.754;0.68;1.0;0.957;0.754;1.0;0.754;0.545;0.754
transcript24_ENSCCNG00000000226;0.863;1.0;0.997;0.997;0.801;0.935;0.879;0.984;1.0;0.997;0.997;0.046;0.997;0.944;0.997;0.914;1.0;1.0;0.929;0.942;1.0;0.754;1.0;0.926;0.754;0.722;1.0;0.754;1.0;0.791;1.0
transcript26_ENSCCNG00000000226;0.796;0.933;0.93;0.93;0.734;0.868;0.812;0.917;0.928;0.925;0.925;0.05;0.912;0.858;0.912;0.985;0.929;0.929;1.0;0.868;0.926;0.68;0.926;1.0;0.68;0.647;0.926;0.68;0.926;0.717;0.926
transcript7_ENSCPOG00000024843;0.608;0.749;0.747;0.747;0.538;0.688;0.622;0.758;0.757;0.755;0.755;0.063;0.759;0.708;0.759;0.65;0.744;0.744;0.669;0.696;0.754;1.0;0.754;0.68;1.0;0.963;0.75;1.0;0.75;0.532;0.75
transcript9_ENSCPOG00000024843;0.576;0.718;0.715;0.715;0.506;0.656;0.59;0.725;0.725;0.723;0.723;0.065;0.736;0.686;0.736;0.626;0.72;0.72;0.645;0.664;0.722;0.957;0.722;0.647;0.963;1.0;0.722;0.963;0.722;0.504;0.722
transcript17_ENSCPOG00000024843;0.859;1.0;0.998;0.998;0.788;0.938;0.872;0.984;1.0;0.998;0.998;0.048;0.998;0.948;0.998;0.906;1.0;1.0;0.925;0.942;1.0;0.754;1.0;0.926;0.75;0.722;1.0;0.75;1.0;0.782;1.0
transcript18_ENSCPOG00000024843;0.608;0.749;0.747;0.747;0.538;0.688;0.622;0.758;0.757;0.755;0.755;0.063;0.759;0.708;0.759;0.65;0.744;0.744;0.669;0.696;0.754;1.0;0.754;0.68;1.0;0.963;0.75;1.0;0.75;0.532;0.75
transcript24_ENSCPOG00000024843;0.859;1.0;0.998;0.998;0.788;0.938;0.872;0.984;1.0;0.998;0.998;0.048;0.998;0.948;0.998;0.906;1.0;1.0;0.925;0.942;1.0;0.754;1.0;0.926;0.75;0.722;1.0;0.75;1.0;0.782;1.0
transcript32_ENSCPOG00000024843;0.792;0.79;0.788;0.788;0.997;0.729;0.663;0.774;0.786;0.784;0.784;0.064;0.747;0.697;0.747;0.684;0.778;0.778;0.703;0.84;0.791;0.545;0.791;0.717;0.532;0.504;0.782;0.532;0.782;1.0;0.782
transcript33_ENSCPOG00000024843;0.859;1.0;0.998;0.998;0.788;0.938;0.872;0.984;1.0;0.998;0.998;0.048;0.998;0.948;0.998;0.906;1.0;1.0;0.925;0.942;1.0;0.754;1.0;0.926;0.75;0.722;1.0;0.75;1.0;0.782;1.0
